Candidate_ID,Candidate_Name,Parent_Seed_ID,Parent_Name,Transformation_Code,Design_Change,Attachment_Position,Design_Rationale,Linker_Type,Reactive_Group,Preparation_Type,Synthesis_Level,Parent_Tanimoto_r3,Max_Train_Tanimoto_r3,Risk_Flags
CAND_R2_001,APN-DOPO-amino,TRAIN_019,APN-DOPO,amino,Added amino at aromatic atom 3.,peripheral_aromatic,Introduced one aryl amino group to add a P–N motif and a potential epoxy co-curing site.,aryl-amino,NH2,Co-curing,B,0.7052631578947368,0.7052631578947368,none
CAND_R2_002,APN-DOPO-hydroxy,TRAIN_019,APN-DOPO,hydroxy,Added hydroxy at aromatic atom 3.,peripheral_aromatic,Introduced one phenolic hydroxyl group; kept as Additive unless a validated pre-reaction route is available.,aryl-hydroxy,OH,Additive,B,0.7052631578947368,0.7052631578947368,none
CAND_R2_003,APN-DOPO-hydroxymethyl,TRAIN_019,APN-DOPO,hydroxymethyl,Added hydroxymethyl at aromatic atom 3.,peripheral_aromatic,Introduced one hydroxymethyl group to increase polarity; not automatically treated as an epoxy-reactive group.,aryl-hydroxymethyl,CH2OH,Additive,B,0.6979166666666666,0.6979166666666666,candidate may be outside strict in-domain threshold
CAND_R2_004,APN-DOPO-carboxamide,TRAIN_019,APN-DOPO,carboxamide,Added carboxamide at aromatic atom 3.,peripheral_aromatic,"Introduced one primary carboxamide as a polar, hydrogen-bonding substituent.",aryl-carboxamide,amide,Additive,B,0.6767676767676768,0.6767676767676768,candidate may be outside strict in-domain threshold
CAND_R2_005,APN-DOPO-boronic-acid,TRAIN_019,APN-DOPO,boronic_acid,Added boronic_acid at aromatic atom 3.,peripheral_aromatic,Introduced one aryl boronic acid group to create a P–B candidate.,aryl-boronic-acid,B(OH)2,Additive,B,0.6836734693877551,0.6836734693877551,candidate may be outside strict in-domain threshold
CAND_R2_006,APN-DOPO-pinacol-boronate,TRAIN_019,APN-DOPO,pinacol_boronate,Added pinacol_boronate at aromatic atom 3.,peripheral_aromatic,Introduced one pinacol boronate to create a more protected P–B analogue.,aryl-pinacol-boronate,pinacol boronate,Additive,B,0.6320754716981132,0.6320754716981132,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_007,APN-DOPO-trimethoxysilyl,TRAIN_019,APN-DOPO,trimethoxysilyl,Added trimethoxysilyl at aromatic atom 3.,peripheral_aromatic,Introduced one trialkoxysilane unit; secondary siloxane-network formation requires hydrolysis/condensation conditions.,aryl-trimethoxysilyl,Si(OCH3)3,Additive + Secondary Crosslinking,B,0.6633663366336634,0.6633663366336634,candidate may be outside strict in-domain threshold
CAND_R2_008,APN-DOPO-triethoxysilyl,TRAIN_019,APN-DOPO,triethoxysilyl,Added triethoxysilyl at aromatic atom 3.,peripheral_aromatic,Introduced one triethoxysilane unit as a P–Si candidate.,aryl-triethoxysilyl,Si(OC2H5)3,Additive + Secondary Crosslinking,B,0.6442307692307693,0.6442307692307693,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_009,APN-DOPO-disiloxane,TRAIN_019,APN-DOPO,disiloxane,Added disiloxane at aromatic atom 3.,peripheral_aromatic,Introduced a short disiloxane substituent without assuming epoxy-network reactivity.,short-disiloxane,none,Additive,B,0.6504854368932039,0.6504854368932039,candidate may be outside strict in-domain threshold
CAND_R2_010,APN-DOPO-glycidyloxy,TRAIN_019,APN-DOPO,glycidyloxy,Added glycidyloxy at aromatic atom 3.,peripheral_aromatic,Introduced one glycidyl ether group for co-curing with the epoxy hardener.,aryl-glycidyl-ether,epoxy,Co-curing,B,0.6699029126213593,0.6699029126213593,candidate may be outside strict in-domain threshold
CAND_R2_011,APN-DOPO-diaminotriazine,TRAIN_019,APN-DOPO,diaminotriazine,Added diaminotriazine at aromatic atom 3.,peripheral_aromatic,Introduced one diamino-triazine substituent to add nitrogen and potential co-curing sites.,"diamino-1,3,5-triazine",NH2,Co-curing,B,0.6476190476190476,0.6476190476190476,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_012,APN-DOPO-piperazine,TRAIN_019,APN-DOPO,piperazine,Added piperazine at aromatic atom 3.,peripheral_aromatic,Introduced a monosubstituted piperazine unit retaining one secondary N–H site.,piperazine,NH,Co-curing,B,0.6261682242990654,0.6261682242990654,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_013,APN-DOPO-benzamide-linker,TRAIN_019,APN-DOPO,benzamide_linker,Added benzamide_linker at aromatic atom 3.,peripheral_aromatic,Introduced a benzamide substituent; amide nitrogen is not treated as a normal amine curing site.,benzamide,amide,Additive,B,0.6146788990825688,0.6146788990825688,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_014,APN-DOPO-phenyl,TRAIN_019,APN-DOPO,phenyl,Added phenyl at aromatic atom 3.,peripheral_aromatic,Extended the aromatic linker by one phenyl group.,phenyl,none,Additive,B,0.67,0.67,candidate may be outside strict in-domain threshold
CAND_R2_015,APN-DOPO-biphenyl,TRAIN_019,APN-DOPO,biphenyl,Added biphenyl at aromatic atom 3.,peripheral_aromatic,Extended the rigid aromatic linker to a biphenyl unit.,biphenyl,none,Additive,B,0.638095238095238,0.638095238095238,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_016,APN-DOPO-nitrile-to-amide,TRAIN_019,APN-DOPO,nitrile_to_amide,Converted one nitrile to a primary amide. Regioisomer 2.,site_2,Converted one nitrile to a primary amide.,nitrile-to-amide,amide,Additive,B,0.7608695652173914,0.7608695652173914,none
CAND_R2_017,APN-DOPO-nitrile-to-amide-all,TRAIN_019,APN-DOPO,nitrile_to_amide_all,Converted one nitrile to a primary amide. Converted all matching groups.,all_sites,Converted one nitrile to a primary amide. All equivalent sites were changed.,nitrile-to-amide-all,amide,Additive,B,0.6631578947368421,0.6631578947368421,candidate may be outside strict in-domain threshold
CAND_R2_018,APN-DOPO-nitrile-to-acid,TRAIN_019,APN-DOPO,nitrile_to_acid,Converted one nitrile to a carboxylic acid. Regioisomer 1.,site_1,Converted one nitrile to a carboxylic acid.,nitrile-to-carboxylic-acid,COOH,Additive,B,0.7692307692307693,0.7692307692307693,none
CAND_R2_019,APN-DOPO-nitrile-to-acid-2,TRAIN_019,APN-DOPO,nitrile_to_acid,Converted one nitrile to a carboxylic acid. Regioisomer 2.,site_2,Converted one nitrile to a carboxylic acid.,nitrile-to-carboxylic-acid,COOH,Additive,B,0.7608695652173914,0.7608695652173914,none
CAND_R2_020,APN-DOPO-nitrile-to-acid-all,TRAIN_019,APN-DOPO,nitrile_to_acid_all,Converted one nitrile to a carboxylic acid. Converted all matching groups.,all_sites,Converted one nitrile to a carboxylic acid. All equivalent sites were changed.,nitrile-to-carboxylic-acid-all,COOH,Additive,B,0.6702127659574468,0.6702127659574468,candidate may be outside strict in-domain threshold
CAND_R2_021,APN-DOPO-nitrile-to-aminomethyl,TRAIN_019,APN-DOPO,nitrile_to_aminomethyl,Reduced one nitrile to an aminomethyl group. Regioisomer 1.,site_1,Reduced one nitrile to an aminomethyl group.,nitrile-to-aminomethyl,NH2,Co-curing,B,0.7692307692307693,0.7692307692307693,none
CAND_R2_022,APN-DOPO-nitrile-to-aminomethyl-2,TRAIN_019,APN-DOPO,nitrile_to_aminomethyl,Reduced one nitrile to an aminomethyl group. Regioisomer 2.,site_2,Reduced one nitrile to an aminomethyl group.,nitrile-to-aminomethyl,NH2,Co-curing,B,0.7692307692307693,0.7692307692307693,none
CAND_R2_023,APN-DOPO-nitrile-to-aminomethyl-all,TRAIN_019,APN-DOPO,nitrile_to_aminomethyl_all,Reduced one nitrile to an aminomethyl group. Converted all matching groups.,all_sites,Reduced one nitrile to an aminomethyl group. All equivalent sites were changed.,nitrile-to-aminomethyl-all,NH2,Co-curing,B,0.6774193548387096,0.6774193548387096,candidate may be outside strict in-domain threshold
CAND_R2_024,APN-DOPO-NH-methyl,TRAIN_019,APN-DOPO,NH_methyl,"Methylated one free N–H site, reducing curing activity. Regioisomer 1.",NH_site_1,"Methylated one free N–H site, reducing curing activity.",N-methyl,none,Additive,B,0.6161616161616161,0.6228070175438597,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_025,APN-DOPO-NH-hydroxyethyl,TRAIN_019,APN-DOPO,NH_hydroxyethyl,Introduced one hydroxyethyl substituent on an N–H site. Regioisomer 1.,NH_site_1,Introduced one hydroxyethyl substituent on an N–H site.,N-hydroxyethyl,OH,Additive,B,0.5714285714285714,0.6814159292035398,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_026,APN-DOPO-NH-glycidyl,TRAIN_019,APN-DOPO,NH_glycidyl,Introduced one glycidyl substituent on an N–H site. Regioisomer 1.,NH_site_1,Introduced one glycidyl substituent on an N–H site.,N-glycidyl,epoxy,Co-curing,B,0.5754716981132075,0.6551724137931034,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_027,CTP-DOPO-amino,TRAIN_041,CTP-DOPO,amino,Added amino at aromatic atom 157.,peripheral_aromatic,Introduced one aryl amino group to add a P–N motif and a potential epoxy co-curing site.,aryl-amino,NH2,Co-curing,C,0.8333333333333334,0.8333333333333334,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_028,CTP-DOPO-hydroxy,TRAIN_041,CTP-DOPO,hydroxy,Added hydroxy at aromatic atom 157.,peripheral_aromatic,Introduced one phenolic hydroxyl group; kept as Additive unless a validated pre-reaction route is available.,aryl-hydroxy,OH,Additive,C,0.8522727272727273,0.8522727272727273,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
