Candidate_ID,Candidate_Name,Parent_Seed_ID,Parent_Name,Transformation_Code,Design_Change,Attachment_Position,Canonical_SMILES,Molecular_Formula,Molecular_Weight,DOPO_Count_Computed,Design_Family,Linker_Type,Reactive_Group,Preparation_Type,Synthesis_Level,Strict_Screening_Eligible,Parent_Tanimoto_r3,Max_Train_Tanimoto_r3,Nearest_Training_ID,Nearest_Training_Name,Fragment_Count,Formal_Charge,Radical_Electrons,Heavy_Atom_Count,Risk_Flags
CAND_R2_001,APN-DOPO-amino,TRAIN_019,APN-DOPO,amino,Added amino at aromatic atom 3.,peripheral_aromatic,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(N)c1C#N,C27H19N4O3P,478.4480000000002,1,P-N,aryl-amino,NH2,Co-curing,B,True,0.7052631578947368,0.7052631578947368,TRAIN_019,APN-DOPO,1,0,0,35,none
CAND_R2_002,APN-DOPO-hydroxy,TRAIN_019,APN-DOPO,hydroxy,Added hydroxy at aromatic atom 3.,peripheral_aromatic,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(O)c1C#N,C27H18N3O4P,479.4320000000002,1,P-N,aryl-hydroxy,OH,Additive,B,True,0.7052631578947368,0.7052631578947368,TRAIN_019,APN-DOPO,1,0,0,35,none
CAND_R2_003,APN-DOPO-hydroxymethyl,TRAIN_019,APN-DOPO,hydroxymethyl,Added hydroxymethyl at aromatic atom 3.,peripheral_aromatic,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(CO)c1C#N,C28H20N3O4P,493.45900000000023,1,P-N,aryl-hydroxymethyl,CH2OH,Additive,B,True,0.6979166666666666,0.6979166666666666,TRAIN_019,APN-DOPO,1,0,0,36,candidate may be outside strict in-domain threshold
CAND_R2_004,APN-DOPO-carboxamide,TRAIN_019,APN-DOPO,carboxamide,Added carboxamide at aromatic atom 3.,peripheral_aromatic,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C(N)=O)c1C#N,C28H19N4O4P,506.45800000000025,1,P-N,aryl-carboxamide,amide,Additive,B,True,0.6767676767676768,0.6767676767676768,TRAIN_019,APN-DOPO,1,0,0,37,candidate may be outside strict in-domain threshold
CAND_R2_005,APN-DOPO-boronic-acid,TRAIN_019,APN-DOPO,boronic_acid,Added boronic_acid at aromatic atom 3.,peripheral_aromatic,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(B(O)O)c1C#N,C27H19BN3O5P,507.2510000000002,1,P-N-B,aryl-boronic-acid,B(OH)2,Additive,B,True,0.6836734693877551,0.6836734693877551,TRAIN_019,APN-DOPO,1,0,0,37,candidate may be outside strict in-domain threshold
CAND_R2_006,APN-DOPO-pinacol-boronate,TRAIN_019,APN-DOPO,pinacol_boronate,Added pinacol_boronate at aromatic atom 3.,peripheral_aromatic,CC1(C)OB(c2cc(Oc3cccc(NCP4(=O)Oc5ccccc5-c5ccccc54)c3)cc(C#N)c2C#N)OC1(C)C,C33H29BN3O5P,589.3970000000002,1,P-N-B,aryl-pinacol-boronate,pinacol boronate,Additive,B,True,0.6320754716981132,0.6320754716981132,TRAIN_019,APN-DOPO,1,0,0,43,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_007,APN-DOPO-trimethoxysilyl,TRAIN_019,APN-DOPO,trimethoxysilyl,Added trimethoxysilyl at aromatic atom 3.,peripheral_aromatic,CO[Si](OC)(OC)c1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C#N)c1C#N,C30H26N3O6PSi,583.6130000000002,1,P-N-Si,aryl-trimethoxysilyl,Si(OCH3)3,Additive + Secondary Crosslinking,B,True,0.6633663366336634,0.6633663366336634,TRAIN_019,APN-DOPO,1,0,0,41,candidate may be outside strict in-domain threshold
CAND_R2_008,APN-DOPO-triethoxysilyl,TRAIN_019,APN-DOPO,triethoxysilyl,Added triethoxysilyl at aromatic atom 3.,peripheral_aromatic,CCO[Si](OCC)(OCC)c1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C#N)c1C#N,C33H32N3O6PSi,625.694,1,P-N-Si,aryl-triethoxysilyl,Si(OC2H5)3,Additive + Secondary Crosslinking,B,True,0.6442307692307693,0.6442307692307693,TRAIN_019,APN-DOPO,1,0,0,44,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_009,APN-DOPO-disiloxane,TRAIN_019,APN-DOPO,disiloxane,Added disiloxane at aromatic atom 3.,peripheral_aromatic,C[Si](C)(C)O[Si](C)(C)c1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C#N)c1C#N,C32H32N3O4PSi2,609.7710000000002,1,P-N-Si,short-disiloxane,none,Additive,B,True,0.6504854368932039,0.6504854368932039,TRAIN_019,APN-DOPO,1,0,0,42,candidate may be outside strict in-domain threshold
CAND_R2_010,APN-DOPO-glycidyloxy,TRAIN_019,APN-DOPO,glycidyloxy,Added glycidyloxy at aromatic atom 3.,peripheral_aromatic,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(OCC2CO2)c1C#N,C30H22N3O5P,535.4960000000002,1,P-N,aryl-glycidyl-ether,epoxy,Co-curing,B,True,0.6699029126213593,0.6699029126213593,TRAIN_019,APN-DOPO,1,0,0,39,candidate may be outside strict in-domain threshold
