Parent_Seed_ID,Parent_Name,New_Candidates,Strict_B,Exploratory_C,Mean_Parent_Tanimoto,Mean_Max_Train_Tanimoto
TRAIN_004,DGEBDB,16,16,0,0.7440595723739845,0.7440595723739845
TRAIN_007,DOPO-HPM,18,18,0,0.7091080490229671,0.7091080490229671
TRAIN_010,TDA,33,33,0,0.7399221753991319,0.7399221753991319
TRAIN_018,DTB,30,30,0,0.727545144716711,0.727545144716711
TRAIN_019,APN-DOPO,26,26,0,0.6741842232364649,0.6817355107301998
TRAIN_020,PBD,29,27,2,0.754019939779745,0.754019939779745
TRAIN_041,CTP-DOPO,17,0,17,0.7554092858380297,0.7554092858380297
TRAIN_042,D-AZ,18,8,10,0.5331877070257686,0.5331877070257686
TRAIN_055,PAD,22,22,0,0.7669077097938444,0.7669077097938444
TRAIN_057,DIB,18,18,0,0.7341651140113635,0.7341651140113635
TRAIN_075,DOPO-PEPA,14,14,0,0.6232811112600537,0.6232811112600537
TRAIN_077,DSD,28,26,2,0.7327674852927129,0.7327674852927129
TRAIN_080,DOPO-PPO,22,22,0,0.7399346036282126,0.7399346036282126
TRAIN_090,DOPT,20,15,5,0.5835183033552284,0.5835183033552284
TRAIN_103,TetraDSi,11,0,11,0.8261333418203695,0.8261333418203695
TRAIN_107,BDHDP,16,0,16,0.7892320801195828,0.7892320801195828
TRAIN_112,Ti-POSS-bisDOPO,8,8,0,0.7980309965788653,0.7980309965788653
TRAIN_122,BDO,23,23,0,0.7306163090160946,0.7344006837532909
TRAIN_136,TDCA-DOPO-2,15,15,0,0.7900344177874832,0.7900344177874832
TRAIN_137,TDCA-DOPO-3,15,15,0,0.8020449130640308,0.8020449130640308
