Design_Seed_Rank,Candidate_ID,Candidate_Name,SMILES_raw,Canonical_SMILES,Synergy_type,Preparation_Method,Reference_ID,Source_Type,Design_Family,DOPO_Count,Linker_Type,Reactive_Group,Preparation_Type,Synthesis_Level,Molecular_Weight,Murcko_Scaffold,P_molecular_wt_pct,N_molecular_wt_pct,S_molecular_wt_pct,B_molecular_wt_pct,Si_molecular_wt_pct,Training_Duplicate,Screening_Eligible,Notes,n_formulations,median_loading,median_LOI,median_PHRR,median_THR,median_Tg,median_TS,score_LOI,score_PHRR,score_THR,score_Tg,score_TS,available_objectives,design_priority_score
1,TRAIN_017,APN-DOPO,O=P(C1=C2C=CC=C1)(C([H])(NC3=CC=CC(OC4=CC=C(C(C#N)=C4)C#N)=C3)[H])OC5=C2C=CC=C5,N#Cc1ccc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,P-N,DOPO-based (additive+ Secondary Crosslinking),https://doi.org/10.1016/j.cej.2021.130404,training_seed,P-N,1,review_manually,NH2/NH,DOPO-based (additive+ Secondary Crosslinking),A,463.43300000000016,O=P1(CNc2cccc(Oc3ccccc3)c2)Oc2ccccc2-c2ccccc21,6.683598276341994,9.067330121074672,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery.",4,12.5,43.349999999999994,255.49,47.025000000000006,197.5,,1.0,1.0,1.0,1.0,,4,1.0
2,TRAIN_041,CTP-DOPO,OC(C=C1)=CC=C1NC(P2(C3=C(C4=CC=CC=C4O2)C=CC=C3)=O)C(C=C5)=CC=C5OP6(OC7=CC=C(C(P8(C9=C(C%10=CC=CC=C%10O8)C=CC=C9)=O)NC%11=CC=C(O)C=C%11)C=C7)=NP(OC%12=CC=C(C(P%13(C%14=C(C%15=CC=CC=C%15O%13)C=CC=C%14)=O)NC%16=CC=C(O)C=C%16)C=C%12)(OC%17=CC=C(C(P%18(C%19=C(C%20=CC=CC=C%20O%18)C=CC=C%19)=O)NC%21=CC=C(O)C=C%21)C=C%17)=NP(OC%22=CC=C(C(P%23(C%24=C(C%25=CC=CC=C%25O%23)C=CC=C%24)=O)NC%26=CC=C(O)C=C%26)C=C%22)(OC%27=CC=C(C(P%28(C%29=C(C%30=CC=CC=C%30O%28)C=CC=C%29)=O)NC%31=CC=C(O)C=C%31)C=C%27)=N6,O=P1(C(Nc2ccc(O)cc2)c2ccc(OP3(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)Oc2ccccc2-c2ccccc21,P-N,DOPO-based (additive),https://doi.org/10.1016/j.polymdegradstab.2015.11.018,training_seed,P-N,6,review_manually,NH2/NH;OH,DOPO-based (additive),A,2705.3669999999925,O=P1(C(Nc2ccccc2)c2ccc(OP3(Oc4ccc(C(Nc5ccccc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccccc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccccc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccccc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccccc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)Oc2ccccc2-c2ccccc21,10.304184238219834,4.659737477392175,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery.",4,11.149999999999999,37.55,349.9,51.7,,,1.0,1.0,0.9881124430252126,,,3,0.9960374810084042
3,TRAIN_020,PBD,O=P(C1=C2C=CC=C1)(C(C3=CC=C(C(P4(C5=C(C6=C(O4)C=CC=C6)C=CC=C5)=O)NC7=CC=CC(OC8=CC=C(C(C#N)=C8)C#N)=C7)C=C3)NC9=CC=CC(OC%10=CC=C(C(C#N)=C%10)C#N)=C9)OC%11=C2C=CC=C%11,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5ccc(C#N)c(C#N)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,P-N,DOPO-based (additive+ Secondary Crosslinking),https://doi.org/10.1016/j.compositesb.2021.109162,training_seed,P-N,2,review_manually,NH2/NH,DOPO-based (additive+ Secondary Crosslinking),A,1000.9480000000001,O=P1(C(Nc2cccc(Oc3ccccc3)c2)c2ccc(C(Nc3cccc(Oc4ccccc4)c3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)Oc2ccccc2-c2ccccc21,6.188932891618745,8.3962403641348,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery.",6,7.5,45.65,245.845,64.525,199.5,,1.0,1.0,0.7914559861382114,1.0,,4,0.9478639965345529
4,TRAIN_136,TDCA-DOPO-2,O=P1(C2=C(C3=C(O1)C=CC=C3)C=CC=C2)C(OP(C4=CC=CC=C4)(C5=CC=CC=C5)=O)C(C=C6)=CC=C6C(P7(C8=C(C9=C(O7)C=CC=C9)C=CC=C8)=O)OP(C%10=CC=CC=C%10)(C%11=CC=CC=C%11)=O,O=P(OC(c1ccc(C(OP(=O)(c2ccccc2)c2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)P1(=O)Oc2ccccc2-c2ccccc21)(c1ccccc1)c1ccccc1,P-only,DOPO-based (additive),https://doi.org/10.1007/s00289-023-04997-x,training_seed,P-only,2,review_manually,none,DOPO-based (additive),A,966.8400000000001,O=P(OC(c1ccc(C(OP(=O)(c2ccccc2)c2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)P1(=O)Oc2ccccc2-c2ccccc21)(c1ccccc1)c1ccccc1,12.814529808448139,0.0,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery.",1,2.03,33.0,376.6,45.69,,,0.540952890792291,0.9702376445846477,1.0,,,3,0.837063511792313
5,TRAIN_005,DOPO-HPM,O=C(CC(P1(C2=C(C3=C(O1)C=CC=C3)C=CC=C2)=O)C4=O)N4C(C=C5)=CC=C5OCC(CN6C(N(C(N(C6=O)CC7CO7)=O)CC8CO8)=O)O,O=C1CC(P2(=O)Oc3ccccc3-c3ccccc32)C(=O)N1c1ccc(OCC(O)Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,P-N,DOPO-based (Co-curing),https://doi.org/10.1016/j.polymdegradstab.2015.05.019,training_seed,P-N,1,review_manually,OH;epoxy,DOPO-based (Co-curing),A,702.6130000000002,O=C1CC(P2(=O)Oc3ccccc3-c3ccccc32)C(=O)N1c1ccc(OCCCn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,4.408401210908423,7.974233326169597,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery.",5,17.01,36.5,602.0,60.0,,,0.9156852248394003,0.7174230634419909,0.8608415976324556,,,3,0.831316628637949
6,TRAIN_090,DOPT,CC1=CC=C(S(=O)(NP2(C3=C(C4=C(O2)C=CC=C4)C=CC=C3)=O)=O)C=C1,Cc1ccc(S(=O)(=O)NP2(=O)Oc3ccccc3-c3ccccc32)cc1,P-N-S,DOPO-based (Co-curing),https://doi.org/10.1016/j.firesaf.2021.103472,training_seed,P-N-S,1,review_manually,none,DOPO-based (Co-curing),A,385.3810000000001,O=P1(NS(=O)(=O)c2ccccc2)Oc2ccccc2-c2ccccc21,8.037241067930177,3.6345849951087357,8.320856503045036,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery.",3,4.98,37.5,580.0,54.2,165.7,81.6,1.0,0.7420988433228181,0.9497778510394425,0.6509627201966406,0.8127253148555644,5,0.8311129458828932
7,TRAIN_056,DIB,O=P(C1=C2C=CC=C1)(C(NC3=CC=C(NC(P4(C5=C(C6=C(O4)C=CC=C6)C=CC=C5)=O)C7=CNC=N7)C=C3)C8=CNC=N8)OC9=C2C=CC=C9,O=P1(C(Nc2ccc(NC(c3c[nH]cn3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)c2c[nH]cn2)Oc2ccccc2-c2ccccc21,P-N,DOPO-based (Co-curing),https://doi.org/10.1016/j.polymdegradstab.2018.11.021,training_seed,P-N,2,review_manually,NH2/NH,DOPO-based (Co-curing),A,696.6440000000001,O=P1(C(Nc2ccc(NC(c3c[nH]cn3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)c2c[nH]cn2)Oc2ccccc2-c2ccccc21,8.892346736640233,12.063837483707603,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery.",4,7.0,36.349999999999994,628.5,59.55,,,0.8996252676659521,0.6876999649491763,0.8677418241898943,,,3,0.8183556856016742
8,TRAIN_021,DTB,CCC(O)CN1C(N(C(N(C1=O)CC(O)CP2(C3=C(C4=C(O2)C=CC=C4)C=CC=C3)=O)=O)CC(O)COB(OC)O)=O,CCC(O)Cn1c(=O)n(CC(O)COB(O)OC)c(=O)n(CC(O)CP2(=O)Oc3ccccc3-c3ccccc32)c1=O,P-N-B,DOPO-based (additive),https://doi.org/10.1016/j.polymdegradstab.2016.09.023,training_seed,P-N-B,1,review_manually,OH,DOPO-based (additive),A,605.3460000000002,O=c1[nH]c(=O)n(CCCP2(=O)Oc3ccccc3-c3ccccc32)c(=O)[nH]1,5.116743151850345,6.941649899396376,0.0,1.7860859739719097,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery.",4,12.5,34.2,457.0,58.55,,,0.6694325481798716,0.8800588853838065,0.8830756609842023,,,3,0.8108556981826268
9,TRAIN_076,DSD,O=P(C1=C2C=CC=C1)(C(NC3=CC=C(S(=O)(C4=CC=C(NC(P5(C6=C(C7=C(O5)C=CC=C7)C=CC=C6)=O)C8=CC=CC=C8O)C=C4)=O)C=C3)C9=CC=CC=C9O)OC%10=C2C=CC=C%10,O=P1(C(Nc2ccc(S(=O)(=O)c3ccc(NC(c4ccccc4O)P4(=O)Oc5ccccc5-c5ccccc54)cc3)cc2)c2ccccc2O)Oc2ccccc2-c2ccccc21,P-N-S,DOPO-based (Co-curing),https://doi.org/10.3390/polym12020317,training_seed,P-N-S,2,review_manually,NH2/NH;OH,DOPO-based (Co-curing),A,888.8750000000001,O=P1(C(Nc2ccc(S(=O)(=O)c3ccc(NC(c4ccccc4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)cc2)c2ccccc2)Oc2ccccc2-c2ccccc21,6.9692588946702285,3.151624244128814,3.607593868654197,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery.",3,6.0,34.2,,,174.9,86.6,0.6694325481798716,,,0.8017206063088899,0.9297719930708367,3,0.8003083825198661
10,TRAIN_080,DOPO-PPO,O=P(OC1=CC=C(C(P2(C3=C(C4=C(O2)C=CC=C4)C=CC=C3)=O)O)C=C1)(OC5=CC=C(C(P6(C7=C(C8=C(O6)C=CC=C8)C=CC=C7)=O)O)C=C5)C9=CC=CC=C9,O=P(Oc1ccc(C(O)P2(=O)Oc3ccccc3-c3ccccc32)cc1)(Oc1ccc(C(O)P2(=O)Oc3ccccc3-c3ccccc32)cc1)c1ccccc1,P-only,DOPO-based (Co-curing),https://doi.org/10.1016/j.firesaf.2020.102994,training_seed,P-only,2,review_manually,OH,DOPO-based (Co-curing),A,798.6610000000001,O=P1(Cc2ccc(OP(=O)(Oc3ccc(CP4(=O)Oc5ccccc5-c5ccccc54)cc3)c3ccccc3)cc2)Oc2ccccc2-c2ccccc21,11.634723618656725,0.0,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery.",1,8.6,34.2,601.0,61.5,184.0,,0.6694325481798716,0.7185446898002104,0.8378408424409935,0.9508398197460057,,4,0.7941644750417702
