Candidate_ID,Candidate_Name,SMILES_raw,Source_Type,Reference_ID,Design_Family,DOPO_Count,Linker_Type,Reactive_Group,Preparation_Type,Synthesis_Level,Notes
CAND_R2_001,APN-DOPO-amino,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(N)c1C#N,designed,Designed,P-N,1,aryl-amino,NH2,Co-curing,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added amino at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.705; Max_Train_Tanimoto_r3=0.705; Risk=none. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_002,APN-DOPO-hydroxy,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(O)c1C#N,designed,Designed,P-N,1,aryl-hydroxy,OH,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added hydroxy at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.705; Max_Train_Tanimoto_r3=0.705; Risk=none. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_003,APN-DOPO-hydroxymethyl,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(CO)c1C#N,designed,Designed,P-N,1,aryl-hydroxymethyl,CH2OH,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added hydroxymethyl at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.698; Max_Train_Tanimoto_r3=0.698; Risk=candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_004,APN-DOPO-carboxamide,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C(N)=O)c1C#N,designed,Designed,P-N,1,aryl-carboxamide,amide,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added carboxamide at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.677; Max_Train_Tanimoto_r3=0.677; Risk=candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_005,APN-DOPO-boronic-acid,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(B(O)O)c1C#N,designed,Designed,P-N-B,1,aryl-boronic-acid,B(OH)2,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added boronic_acid at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.684; Max_Train_Tanimoto_r3=0.684; Risk=candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_006,APN-DOPO-pinacol-boronate,CC1(C)OB(c2cc(Oc3cccc(NCP4(=O)Oc5ccccc5-c5ccccc54)c3)cc(C#N)c2C#N)OC1(C)C,designed,Designed,P-N-B,1,aryl-pinacol-boronate,pinacol boronate,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added pinacol_boronate at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.632; Max_Train_Tanimoto_r3=0.632; Risk=large structural change from parent; candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_007,APN-DOPO-trimethoxysilyl,CO[Si](OC)(OC)c1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C#N)c1C#N,designed,Designed,P-N-Si,1,aryl-trimethoxysilyl,Si(OCH3)3,Additive + Secondary Crosslinking,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added trimethoxysilyl at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.663; Max_Train_Tanimoto_r3=0.663; Risk=candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_008,APN-DOPO-triethoxysilyl,CCO[Si](OCC)(OCC)c1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C#N)c1C#N,designed,Designed,P-N-Si,1,aryl-triethoxysilyl,Si(OC2H5)3,Additive + Secondary Crosslinking,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added triethoxysilyl at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.644; Max_Train_Tanimoto_r3=0.644; Risk=large structural change from parent; candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_009,APN-DOPO-disiloxane,C[Si](C)(C)O[Si](C)(C)c1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C#N)c1C#N,designed,Designed,P-N-Si,1,short-disiloxane,none,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added disiloxane at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.650; Max_Train_Tanimoto_r3=0.650; Risk=candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_010,APN-DOPO-glycidyloxy,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(OCC2CO2)c1C#N,designed,Designed,P-N,1,aryl-glycidyl-ether,epoxy,Co-curing,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added glycidyloxy at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.670; Max_Train_Tanimoto_r3=0.670; Risk=candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
