cid,Name,Synonyms,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,MeSH_Headings,Annotation_Content,Linked_BioAssays,Data_Source,Data_Source_Category,Tagged_by_PubChem,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count,Exact_Mass,Monoisotopic_Mass,Charge,Covalent_Unit_Count,Isotopic_Atom_Count,Total_Atom_Stereo_Count,Defined_Atom_Stereo_Count,Undefined_Atom_Stereo_Count,Total_Bond_Stereo_Count,Defined_Bond_Stereo_Count,Undefined_Bond_Stereo_Count,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Linked_PubChem_Patent_Family_Count,Annotation_Type_Count,Create_Date,Query_ID,Source_Type,Source_Database,Source_File,SMILES_raw,Canonical_SMILES,Computed_InChIKey,Computed_Formula,Computed_MW,Murcko_Scaffold_SMILES,Computed_DOPO_Count,Computed_Formal_Charge,Computed_Fragment_Count,Computed_Isotopic_Atom_Count,smiles_valid,contains_DOPO,single_component,neutral,non_isotopic,P_molecular_wt_pct,N_molecular_wt_pct,S_molecular_wt_pct,B_molecular_wt_pct,Si_molecular_wt_pct,Candidate_ID,Candidate_Name,Synthesis_Level,synthesis_feasible,PubChem_Canonical_Duplicate,is_unique_pubchem,Standardization_Eligible,Exclusion_Reason,Model_Identity_SMILES,Training_Duplicate,Designed_Duplicate,Training_ModelIdentity_Duplicate,Designed_ModelIdentity_Duplicate,PubChem_ModelIdentity_Duplicate,Matched_Training_Candidate_ID,Matched_Designed_Candidate_ID,Existing_Structure_Duplicate,Public_Record,Public_Source_Eligible,candidate_feasible,Public_Exclusion_Reason
132535600,"6H-Dibenz[c,e][1,2]oxaphosphorin, 6,6'-(1-phenyl-1,2-ethanediyl)bis-, 6,6'-dioxide","1631149-46-6|6H-Dibenz(c,e)(1,2)oxaphosphorin, 6,6'-(1-phenyl-1,2-ethanediyl)bis-, 6,6'-dioxide|6H-Dibenz[c,e][1,2]oxaphosphorin, 6,6'-(1-phenyl-1,2-ethanediyl)bis-, 6,6'-dioxide|RefChem:309579|SCHEMBL22767567|DTXSID201131303|6,6'-(1-Phenylethane-1,2-diyl)di(6H-6lambda~5~-dibenzo[c,e][1,2]oxaphosphinin-6-one)|6H-Dibenz[c,e][1,2]oxaphosphorin, 6,6a(2)-(1-phenyl-1,2-ethanediyl)bis-, 6,6a(2)-dioxide",C32H24O4P2,"InChI=1S/C32H24O4P2/c33-37(30-20-10-6-16-26(30)24-14-4-8-18-28(24)35-37)22-32(23-12-2-1-3-13-23)38(34)31-21-11-7-17-27(31)25-15-5-9-19-29(25)36-38/h1-21,32H,22H2",C1=CC=C(C=C1)C(CP2(=O)C3=CC=CC=C3C4=CC=CC=C4O2)P5(=O)C6=CC=CC=C6C7=CC=CC=C7O5,FYBLUDBCAHYMHK-UHFFFAOYSA-N,"6-[2-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)-2-phenylethyl]benzo[c][2,1]benzoxaphosphinine 6-oxide",,Classification|Patents|Safety and Hazards|Toxicity,,Alfa Chemistry|EPA DSSTox|Google Patents|Japan Chemical Substance Dictionary (Nikkaji)|MolGenie|PATENTSCOPE (WIPO)|PubChem Reference Collection|SureChEMBL,Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,,534.5,52.6,930,6.3,38,0,4,4,534.11499,534.11499,0,1,0,3,0,3,0,0,0,0,4,4,4,20180408,Q1,pubchem,PubChem,pubchem_Q1_substructure_raw.csv,C1=CC=C(C=C1)C(CP2(=O)C3=CC=CC=C3C4=CC=CC=C4O2)P5(=O)C6=CC=CC=C6C7=CC=CC=C7O5,O=P1(CC(c2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)Oc2ccccc2-c2ccccc21,FYBLUDBCAHYMHK-UHFFFAOYSA-N,C32H24O4P2,534.4880000000002,O=P1(CC(c2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)Oc2ccccc2-c2ccccc21,2,0,1,0,True,True,True,True,True,11.590157309425091,0.0,0.0,0.0,0.0,PUBCHEM_132535600,"6H-Dibenz[c,e][1,2]oxaphosphorin, 6,6'-(1-phenyl-1,2-ethanediyl)bis-, 6,6'-dioxide",PUBLIC_UNVERIFIED,False,False,True,True,,O=P1(CC(c2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)Oc2ccccc2-c2ccccc21,True,False,True,False,False,TRAIN_019,,True,True,False,False,duplicate_training_structure;duplicate_training_model_identity
6454648,"Butanedioic acid, 2-[(6-oxido-6H-dibenz[c,e][1,2]oxaphosphorin-6-yl)methyl]-","DTXSID00886624|EC 426-480-5|Butanedioic acid, ((6-oxido-6H-dibenz(c,e)(1,2)oxaphosphorin-6-yl)methyl)-|2-(10-oxo-10H-9-oxa-10-phosphaphenanthren-10-ylmethyl)succinic acid|Butanedioic acid, [(6-oxido-6H-dibenz[c,e][1,2]oxaphosphorin-6-yl)methyl]-|Butanedioic acid, 2-((6-oxido-6H-dibenz(c,e)(1,2)oxaphosphorin-6-yl)methyl)-|Butanedioic acid, 2-[(6-oxido-6H-dibenz[c,e][1,2]oxaphosphorin-6-yl)methyl]-|RefChem:570869|DTXCID201025948|426-480-5|800-432-7|63562-33-4|(6H-Dibenz[c,e][1,2]oxaphosphorin-6-ylmethyl)-p-oxide-butanedioic acid|2-[(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]butanedioic acid|9,10-Dihydro-10-(2,3-dicarboxypropyl)-9-oxa-10-phosphaphenanthrene 10-oxide|MFCD13152156|Ukanol|2-[(6-Oxido-6H-dibenzo[c,e][1,2]oxaphosphinin-6-yl)methyl]succinic Acid|2-((6-Oxidodibenzo[c,e][1,2]oxaphosphinin-6-yl)methyl)succinic acid|C17H15O6P|SCHEMBL31238|SCHEMBL29451242|(6H-Dibenz[c,e][1,2]oxaphosphorin-6-ylmethyl)-p-oxide-butanedioicacid|AKOS015901325|AS-73244|SY104768|DB-073344|CS-0364180|NS00006764|O0567|F11524|F230418|2-[(6-Oxo-6H-6lambda~5~-dibenzo[c,e][1,2]oxaphosphinin-6-yl)methyl]butanedioic acid|2-({9-oxo-8-oxa-9??-phosphatricyclo[8.4.0.0(2),?]tetradeca-1(10),2,4,6,11,13-hexaen-9-yl}methyl)butanedioic acid",C17H15O6P,"InChI=1S/C17H15O6P/c18-16(19)9-11(17(20)21)10-24(22)15-8-4-2-6-13(15)12-5-1-3-7-14(12)23-24/h1-8,11H,9-10H2,(H,18,19)(H,20,21)",C1=CC=C2C(=C1)C3=CC=CC=C3P(=O)(O2)CC(CC(=O)O)C(=O)O,XZAXQWXHBDKYJI-UHFFFAOYSA-N,"2-[(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]butanedioic acid",,Classification|Patents|Safety and Hazards|Use and Manufacturing,,"001Chemical|10X CHEM|A2B Chem|AA BLOCKS|Aaron Chemicals LLC|AbaChemScene|abcr GmbH|ABI Chem|Accel Scientific|Accela ChemBio Inc.|Achemo Scientific Limited|Acmec Biochemical|Activate Scientific|AEchem Scientific Corp., USA|AiFChem, an XtalPi Company|AKos Consulting & Solutions|Aladdin Scientific|Alfa Chemistry|Alichem|Amadis Chemical|Ambeed|Ambinter|AN PharmaTech|Angel Pharmatech Ltd.|Angene Chemical|AppChem|Ark Pharm, Inc.|AstaTech, Inc.|Aurora Fine Chemicals LLC|BenchChem|BePharm Ltd.|Biocore|BLD Pharm|BOC Sciences|Chem-Space.com Database|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemMol|ChemoSapiens|ChemSpider|ChemTik|Combi-Blocks|Cooke Chemical Co., Ltd|CymitQuimica|Debye Scientific Co., Ltd|DiscoveryGate|eMolecules|eNovation Chemicals|EPA DSSTox|EPA Substance Registry Services|Finetech Industry Limited|Fluorochem|Google Patents|Hairui Chemical|Hunan Chemfish Pharmaceutical Co., Ltd.|IBM|iChemical Technology USA Inc|ISpharm|J&H Chemical Co.,ltd|Japan Chemical Substance Dictionary (Nikkaji)|Key Organics/BIONET|King Scientific|LEAPCHEM|Matrix Scientific|Mcule|MolCore|Molecule Market|MolGenie|Molport|MuseChem|NextBio|NextMove Software|NORMAN Suspect List Exchange|OChem|OXCHEM CORPORATION|PATENTSCOPE (WIPO)|PubChem Reference Collection|RR Scientific|SCRIPDB|Smolecule|Starshine Chemical|SureChEMBL|SynHet - Synthetic Heterocycles|TCI (Tokyo Chemical Industry)|THE BioTek|ToxPlanet|Win-Win Chemical|Yick-Vic Chemicals & Pharmaceuticals (HK) Ltd.|ZeroPM - Zero Pollution of Persistent, Mobile Substances",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,,346.27,101.0,547,1.5,24,2,6,5,346.060638,346.060638,0,1,0,2,0,2,0,0,0,0,416,179,4,20060429,Q1,pubchem,PubChem,pubchem_Q1_substructure_raw.csv,C1=CC=C2C(=C1)C3=CC=CC=C3P(=O)(O2)CC(CC(=O)O)C(=O)O,O=C(O)CC(CP1(=O)Oc2ccccc2-c2ccccc21)C(=O)O,XZAXQWXHBDKYJI-UHFFFAOYSA-N,C17H15O6P,346.27500000000003,O=[PH]1Oc2ccccc2-c2ccccc21,1,0,1,0,True,True,True,True,True,8.94491372464082,0.0,0.0,0.0,0.0,PUBCHEM_6454648,"Butanedioic acid, 2-[(6-oxido-6H-dibenz[c,e][1,2]oxaphosphorin-6-yl)methyl]-",PUBLIC_UNVERIFIED,False,False,True,True,,O=C(O)CC(CP1(=O)Oc2ccccc2-c2ccccc21)C(=O)O,True,False,True,False,False,TRAIN_004,,True,True,False,False,duplicate_training_structure;duplicate_training_model_identity
67536010,"6-[4-[2-(4-Fluorophenyl)ethenyl]-2,5-dimethoxyphenyl]benzo[c][2,1]benzoxaphosphinine 6-oxide",SCHEMBL2790793,C28H22FO4P,"InChI=1S/C28H22FO4P/c1-31-25-18-28(26(32-2)17-20(25)14-11-19-12-15-21(29)16-13-19)34(30)27-10-6-4-8-23(27)22-7-3-5-9-24(22)33-34/h3-18H,1-2H3",COC1=CC(=C(C=C1C=CC2=CC=C(C=C2)F)OC)P3(=O)C4=CC=CC=C4C5=CC=CC=C5O3,LPRTVIHWKAFMIB-UHFFFAOYSA-N,"6-[4-[2-(4-fluorophenyl)ethenyl]-2,5-dimethoxyphenyl]benzo[c][2,1]benzoxaphosphinine 6-oxide",,Classification|Patents,,Google Patents|IBM|PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,,472.4,44.8,751,6.4,34,0,5,5,472.123962,472.123962,0,1,0,1,0,1,1,0,1,0,5,1,2,20121130,Q1,pubchem,PubChem,pubchem_Q1_substructure_raw.csv,COC1=CC(=C(C=C1C=CC2=CC=C(C=C2)F)OC)P3(=O)C4=CC=CC=C4C5=CC=CC=C5O3,COc1cc(P2(=O)Oc3ccccc3-c3ccccc32)c(OC)cc1C=Cc1ccc(F)cc1,LPRTVIHWKAFMIB-UHFFFAOYSA-N,C28H22FO4P,472.45200000000017,O=P1(c2ccc(C=Cc3ccccc3)cc2)Oc2ccccc2-c2ccccc21,1,0,1,0,True,True,True,True,True,6.55600992270114,0.0,0.0,0.0,0.0,PUBCHEM_67536010,"6-[4-[2-(4-Fluorophenyl)ethenyl]-2,5-dimethoxyphenyl]benzo[c][2,1]benzoxaphosphinine 6-oxide",PUBLIC_UNVERIFIED,False,False,True,True,,COc1cc(P2(=O)Oc3ccccc3-c3ccccc32)c(OC)cc1C=Cc1ccc(F)cc1,False,False,False,False,True,,,True,True,False,False,duplicate_pubchem_model_identity
72315474,"6-[4-[2-(4-Fluorophenyl)ethenyl]-2,5-dimethoxyphenyl]-2-phenylbenzo[c][2,1]benzoxaphosphinine 6-oxide",,C34H26FO4P,"InChI=1S/C34H26FO4P/c1-37-31-22-34(32(38-2)21-26(31)15-12-23-13-17-27(35)18-14-23)40(36)33-11-7-6-10-28(33)29-20-25(16-19-30(29)39-40)24-8-4-3-5-9-24/h3-22H,1-2H3",COC1=CC(=C(C=C1C=CC2=CC=C(C=C2)F)OC)P3(=O)C4=CC=CC=C4C5=C(O3)C=CC(=C5)C6=CC=CC=C6,DXHXKMIMSJAQAH-UHFFFAOYSA-N,"6-[4-[2-(4-fluorophenyl)ethenyl]-2,5-dimethoxyphenyl]-2-phenylbenzo[c][2,1]benzoxaphosphinine 6-oxide",,Classification|Patents,,IBM,Research and Development,,548.5,44.8,896,8.0,40,0,5,6,548.155273,548.155273,0,1,0,1,0,1,1,0,1,0,2,1,2,20131230,Q1,pubchem,PubChem,pubchem_Q1_substructure_raw.csv,COC1=CC(=C(C=C1C=CC2=CC=C(C=C2)F)OC)P3(=O)C4=CC=CC=C4C5=C(O3)C=CC(=C5)C6=CC=CC=C6,COc1cc(P2(=O)Oc3ccc(-c4ccccc4)cc3-c3ccccc32)c(OC)cc1C=Cc1ccc(F)cc1,DXHXKMIMSJAQAH-UHFFFAOYSA-N,C34H26FO4P,548.5500000000003,O=P1(c2ccc(C=Cc3ccccc3)cc2)Oc2ccc(-c3ccccc3)cc2-c2ccccc21,1,0,1,0,True,True,True,True,True,5.64652265062437,0.0,0.0,0.0,0.0,PUBCHEM_72315474,"6-[4-[2-(4-Fluorophenyl)ethenyl]-2,5-dimethoxyphenyl]-2-phenylbenzo[c][2,1]benzoxaphosphinine 6-oxide",PUBLIC_UNVERIFIED,False,False,True,True,,COc1cc(P2(=O)Oc3ccc(-c4ccccc4)cc3-c3ccccc32)c(OC)cc1C=Cc1ccc(F)cc1,False,False,False,False,True,,,True,True,False,False,duplicate_pubchem_model_identity
11617008,"4-[Hydroxy-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]phenol",SCHEMBL31274,C19H15O4P,"InChI=1S/C19H15O4P/c20-14-11-9-13(10-12-14)19(21)24(22)18-8-4-2-6-16(18)15-5-1-3-7-17(15)23-24/h1-12,19-21H",C1=CC=C2C(=C1)C3=CC=CC=C3P(=O)(O2)C(C4=CC=C(C=C4)O)O,GOLLPTWZKKNOHY-UHFFFAOYSA-N,"4-[hydroxy-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]phenol",,Patents|Spectral Information,,DiscoveryGate|Google Patents|Japan Chemical Substance Dictionary (Nikkaji)|NextBio|PATENTSCOPE (WIPO)|SureChEMBL|Thomson Pharma,Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,,338.3,66.8,488,3.1,24,2,4,2,338.070801,338.070801,0,1,0,2,0,2,0,0,0,0,52,19,2,20061026,Q1,pubchem,PubChem,pubchem_Q1_substructure_raw.csv,C1=CC=C2C(=C1)C3=CC=CC=C3P(=O)(O2)C(C4=CC=C(C=C4)O)O,O=P1(C(O)c2ccc(O)cc2)Oc2ccccc2-c2ccccc21,GOLLPTWZKKNOHY-UHFFFAOYSA-N,C19H15O4P,338.299,O=P1(Cc2ccccc2)Oc2ccccc2-c2ccccc21,1,0,1,0,True,True,True,True,True,9.155805958634229,0.0,0.0,0.0,0.0,PUBCHEM_11617008,"4-[Hydroxy-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]phenol",PUBLIC_UNVERIFIED,False,False,True,True,,O=P1(C(O)c2ccc(O)cc2)Oc2ccccc2-c2ccccc21,True,False,True,False,False,TRAIN_068,,True,True,False,False,duplicate_training_structure;duplicate_training_model_identity
23106976,"6-Methylbenzo[c][2,1]benzoxaphosphinine 6-oxide",SCHEMBL822893,C13H11O2P,"InChI=1S/C13H11O2P/c1-16(14)13-9-5-3-7-11(13)10-6-2-4-8-12(10)15-16/h2-9H,1H3",CP1(=O)C2=CC=CC=C2C3=CC=CC=C3O1,KZJBHSXMURQXRM-UHFFFAOYSA-N,"6-methylbenzo[c][2,1]benzoxaphosphinine 6-oxide",,Patents|Spectral Information,,DiscoveryGate|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|PATENTSCOPE (WIPO)|SCRIPDB|SureChEMBL,Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,,230.2,26.3,315,2.5,16,0,2,0,230.049667,230.049667,0,1,0,1,0,1,0,0,0,0,275,157,2,20071205,Q1,pubchem,PubChem,pubchem_Q1_substructure_raw.csv,CP1(=O)C2=CC=CC=C2C3=CC=CC=C3O1,CP1(=O)Oc2ccccc2-c2ccccc21,KZJBHSXMURQXRM-UHFFFAOYSA-N,C13H11O2P,230.203,O=[PH]1Oc2ccccc2-c2ccccc21,1,0,1,0,True,True,True,True,True,13.4550809502917,0.0,0.0,0.0,0.0,PUBCHEM_23106976,"6-Methylbenzo[c][2,1]benzoxaphosphinine 6-oxide",PUBLIC_UNVERIFIED,False,False,True,True,,CP1(=O)Oc2ccccc2-c2ccccc21,False,False,False,False,True,,,True,True,False,False,duplicate_pubchem_model_identity
166447618,"(6R)-6-phenoxybenzo[c][2,1]benzoxaphosphinine 6-oxide",,C18H13O3P,InChI=1S/C18H13O3P/c19-22(20-14-8-2-1-3-9-14)18-13-7-5-11-16(18)15-10-4-6-12-17(15)21-22/h1-13H/t22-/m1/s1,C1=CC=C(C=C1)O[P@]2(=O)C3=CC=CC=C3C4=CC=CC=C4O2,AIMPPKXBQGHGON-JOCHJYFZSA-N,"(6R)-6-phenoxybenzo[c][2,1]benzoxaphosphinine 6-oxide",,Literature,,Thieme Chemistry,Journal Publishers|Subscription Services,,308.3,35.5,432,4.4,22,0,3,2,308.060242,308.060242,0,1,0,1,1,0,0,0,0,1,0,0,1,20230112,Q1,pubchem,PubChem,pubchem_Q1_substructure_raw.csv,C1=CC=C(C=C1)O[P@]2(=O)C3=CC=CC=C3C4=CC=CC=C4O2,O=[P@]1(Oc2ccccc2)Oc2ccccc2-c2ccccc21,AIMPPKXBQGHGON-JOCHJYFZSA-N,C18H13O3P,308.273,O=[P@]1(Oc2ccccc2)Oc2ccccc2-c2ccccc21,1,0,1,0,True,True,True,True,True,10.0475876901318,0.0,0.0,0.0,0.0,PUBCHEM_166447618,"(6R)-6-phenoxybenzo[c][2,1]benzoxaphosphinine 6-oxide",PUBLIC_UNVERIFIED,False,False,True,True,,O=P1(Oc2ccccc2)Oc2ccccc2-c2ccccc21,False,False,False,False,True,,,True,True,False,False,duplicate_pubchem_model_identity
14686894,"Furan-2-yl-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methanol",,C17H13O4P,"InChI=1S/C17H13O4P/c18-17(15-9-5-11-20-15)22(19)16-10-4-2-7-13(16)12-6-1-3-8-14(12)21-22/h1-11,17-18H",C1=CC=C2C(=C1)C3=CC=CC=C3P(=O)(O2)C(C4=CC=CO4)O,JJFBKVQKIGUWEN-UHFFFAOYSA-N,"furan-2-yl-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methanol",,Spectral Information,,ChemSpider|DiscoveryGate|Japan Chemical Substance Dictionary (Nikkaji),Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,,312.26,59.7,454,2.5,22,1,4,2,312.055145,312.055145,0,1,0,2,0,2,0,0,0,0,0,0,1,20070209,Q1,pubchem,PubChem,pubchem_Q1_substructure_raw.csv,C1=CC=C2C(=C1)C3=CC=CC=C3P(=O)(O2)C(C4=CC=CO4)O,O=P1(C(O)c2ccco2)Oc2ccccc2-c2ccccc21,JJFBKVQKIGUWEN-UHFFFAOYSA-N,C17H13O4P,312.261,O=P1(Cc2ccco2)Oc2ccccc2-c2ccccc21,1,0,1,0,True,True,True,True,True,9.919266254831696,0.0,0.0,0.0,0.0,PUBCHEM_14686894,"Furan-2-yl-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methanol",PUBLIC_UNVERIFIED,False,False,True,True,,O=P1(C(O)c2ccco2)Oc2ccccc2-c2ccccc21,True,False,True,False,False,TRAIN_025,,True,True,False,False,duplicate_training_structure;duplicate_training_model_identity
11546110,"4-[(4-Hydroxyphenyl)-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]phenol",SCHEMBL3245930,C25H19O4P,"InChI=1S/C25H19O4P/c26-19-13-9-17(10-14-19)25(18-11-15-20(27)16-12-18)30(28)24-8-4-2-6-22(24)21-5-1-3-7-23(21)29-30/h1-16,25-27H",C1=CC=C2C(=C1)C3=CC=CC=C3P(=O)(O2)C(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,KYHUPKPCOIBBSB-UHFFFAOYSA-N,"4-[(4-hydroxyphenyl)-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]phenol",,Patents,,ChemSpider|DiscoveryGate|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|NextBio|PATENTSCOPE (WIPO)|SCRIPDB|SureChEMBL|Thomson Pharma,Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,,414.4,66.8,601,5.0,30,2,4,3,414.102081,414.102081,0,1,0,1,0,1,0,0,0,0,26,6,1,20061026,Q1,pubchem,PubChem,pubchem_Q1_substructure_raw.csv,C1=CC=C2C(=C1)C3=CC=CC=C3P(=O)(O2)C(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,O=P1(C(c2ccc(O)cc2)c2ccc(O)cc2)Oc2ccccc2-c2ccccc21,KYHUPKPCOIBBSB-UHFFFAOYSA-N,C25H19O4P,414.3970000000001,O=P1(C(c2ccccc2)c2ccccc2)Oc2ccccc2-c2ccccc21,1,0,1,0,True,True,True,True,True,7.474474960002123,0.0,0.0,0.0,0.0,PUBCHEM_11546110,"4-[(4-Hydroxyphenyl)-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]phenol",PUBLIC_UNVERIFIED,False,False,True,True,,O=P1(C(c2ccc(O)cc2)c2ccc(O)cc2)Oc2ccccc2-c2ccccc21,True,False,True,False,False,TRAIN_049,,True,True,False,False,duplicate_training_structure;duplicate_training_model_identity
20662890,"3-(6-Oxobenzo[c][2,1]benzoxaphosphinin-6-yl)oxolane-2,5-dione",SCHEMBL12166146|SCHEMBL29780716,C16H11O5P,"InChI=1S/C16H11O5P/c17-15-9-14(16(18)20-15)22(19)13-8-4-2-6-11(13)10-5-1-3-7-12(10)21-22/h1-8,14H,9H2",C1C(C(=O)OC1=O)P2(=O)C3=CC=CC=C3C4=CC=CC=C4O2,RHVODNOOIKYOGT-UHFFFAOYSA-N,"3-(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)oxolane-2,5-dione",,Patents,,DiscoveryGate|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|PATENTSCOPE (WIPO)|SCRIPDB|SureChEMBL,Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,,314.23,69.7,545,1.9,22,0,5,1,314.034424,314.034424,0,1,0,2,0,2,0,0,0,0,9,8,1,20071205,Q1,pubchem,PubChem,pubchem_Q1_substructure_raw.csv,C1C(C(=O)OC1=O)P2(=O)C3=CC=CC=C3C4=CC=CC=C4O2,O=C1CC(P2(=O)Oc3ccccc3-c3ccccc32)C(=O)O1,RHVODNOOIKYOGT-UHFFFAOYSA-N,C16H11O5P,314.23300000000006,O=C1CC(P2(=O)Oc3ccccc3-c3ccccc32)C(=O)O1,1,0,1,0,True,True,True,True,True,9.857016926930015,0.0,0.0,0.0,0.0,PUBCHEM_20662890,"3-(6-Oxobenzo[c][2,1]benzoxaphosphinin-6-yl)oxolane-2,5-dione",PUBLIC_UNVERIFIED,False,False,True,True,,O=C1CC(P2(=O)Oc3ccccc3-c3ccccc32)C(=O)O1,True,False,True,False,False,TRAIN_016,,True,True,False,False,duplicate_training_structure;duplicate_training_model_identity
