ID,Smiles,Bond_Type,Target_Bond_Label,BDE(kJ/mol),Canonical_SMILES,Bond_Type_norm,Model_Use,Linkage_Type,Target_Bond_Label_clean,Target_Bond_Subtype,Target_X_atom_class,Target_Bond_Count,Potential_PX_Bond_Count,Classification_Reason
1,O=P(C1=CC=CC=C21)(NC3CCCCNC3=O)OC4=C2C=CC=C4,P-N,DOPO_P-N,395,O=C1NCCCCC1NP1(=O)Oc2ccccc2-c2ccccc21,P-N,Use_pc_pn_model,DOPO-N,DOPO_P-N,DOPO_P-N_alkyl_amine_N,alkyl_amine_N,1,1,selected_all_P-N_bonds; selected 1 target P-N bond(s) from 1 total P-N bond(s); subtype=DOPO_P-N_alkyl_amine_N
2,CC1=CC=C(S(=O)(NP2(C3=C(C4=C(O2)C=CC=C4)C=CC=C3)=O)=O)C=C1,P-N,DOPO_P-N,401.2,Cc1ccc(S(=O)(=O)NP2(=O)Oc3ccccc3-c3ccccc32)cc1,P-N,Use_pc_pn_model,DOPO-N,DOPO_P-N,DOPO_P-N_sulfonamide_N,sulfonamide_N,1,1,selected_all_P-N_bonds; selected 1 target P-N bond(s) from 1 total P-N bond(s); subtype=DOPO_P-N_sulfonamide_N
3,O=P(C1=C2C=CC=C1)(C(NC3=NNC=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,233,O=P1(C(Nc2nc[nH]n2)c2cccs2)Oc2ccccc2-c2ccccc21,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
4,O=P(C1=C2C=CC=C1)(C(NC3=NNC(O)=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,263.3,O=P1(C(Nc2n[nH]c(O)n2)c2cccs2)Oc2ccccc2-c2ccccc21,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
5,O=P(C1=C2C=CC=C1)(C(NC3=NNC(OC)=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,263.5,COc1nc(NC(c2cccs2)P2(=O)Oc3ccccc3-c3ccccc32)n[nH]1,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
6,O=P(C1=C2C=CC=C1)(C(NC3=NNC(N)=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,261.6,Nc1nc(NC(c2cccs2)P2(=O)Oc3ccccc3-c3ccccc32)n[nH]1,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
7,O=P(C1=C2C=CC=C1)(C(NC3=NNC(C=O)=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,262.6,O=Cc1nc(NC(c2cccs2)P2(=O)Oc3ccccc3-c3ccccc32)n[nH]1,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
8,O=P(C1=C2C=CC=C1)(C(NC3=NNC(C(O)=O)=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,263.2,O=C(O)c1nc(NC(c2cccs2)P2(=O)Oc3ccccc3-c3ccccc32)n[nH]1,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
9,O=P(C1=C2C=CC=C1)(C(NC3=NNC(C(F)(F)F)=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,263.3,O=P1(C(Nc2n[nH]c(C(F)(F)F)n2)c2cccs2)Oc2ccccc2-c2ccccc21,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
10,O=P(C1=C2C=CC=C1)(C(NC3=NN(O)C=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,264.2,O=P1(C(Nc2ncn(O)n2)c2cccs2)Oc2ccccc2-c2ccccc21,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
11,O=P(C1=C2C=CC=C1)(C(NC3=NN(OC)C=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,264.6,COn1cnc(NC(c2cccs2)P2(=O)Oc3ccccc3-c3ccccc32)n1,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
12,O=P(C1=C2C=CC=C1)(C(NC3=NN(N)C=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,262.8,Nn1cnc(NC(c2cccs2)P2(=O)Oc3ccccc3-c3ccccc32)n1,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
13,O=P(C1=C2C=CC=C1)(C(NC3=NN(C=O)C=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,263.5,O=Cn1cnc(NC(c2cccs2)P2(=O)Oc3ccccc3-c3ccccc32)n1,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
14,O=P(C1=C2C=CC=C1)(C(NC3=NN(C(O)=O)C=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,263.5,O=C(O)n1cnc(NC(c2cccs2)P2(=O)Oc3ccccc3-c3ccccc32)n1,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
15,O=P(C1=C2C=CC=C1)(C(NC3=NN(C(F)(F)F)C=N3)C4=CC=CS4)OC5=C2C=CC=C5,P-C,DOPO_P-C,263.9,O=P1(C(Nc2ncn(C(F)(F)F)n2)c2cccs2)Oc2ccccc2-c2ccccc21,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
16,CNC(P1(C2=C(C3=C(O1)C=CC=C3)C=CC=C2)=O)C4=CC=CS4,P-C,DOPO_P-C,263.6,CNC(c1cccs1)P1(=O)Oc2ccccc2-c2ccccc21,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
17,O=S(C(C=C1)=CC=C1NC(P(OC2=C3C=CC=C2)(C4=CC=CC=C43)=O)C5=CC=CS5)(NC6=NC=CS6)=O,P-C,DOPO_P-C,242.1,O=P1(C(Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)c2cccs2)Oc2ccccc2-c2ccccc21,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
18,O=S(C(C=C1)=CC=C1NC(P(OC2=C3C=CC=C2)(C4=CC=CC=C43)=O)C5=CC=CS5)(NC6=NC(O)=CS6)=O,P-C,DOPO_P-C,243.1,O=P1(C(Nc2ccc(S(=O)(=O)Nc3nc(O)cs3)cc2)c2cccs2)Oc2ccccc2-c2ccccc21,P-C,Use_pc_pn_model,DOPO-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,1,2,selected_nonaromatic_nonring_external_P-C; selected 1 target P-C bond(s) from 2 total P-C bond(s); subtype=DOPO_P-C_aliphatic_sp3
