feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
EP_matrix_TS,ep_baseline,3.748408643447901,3.748408643447901,-0.7569695831387006,-0.7569695831387006,1.0,1.0,0.6,0.4,1.8,5,5
EP_matrix_TS_sq,ep_baseline,2.3492130969351552,2.3492130969351552,-0.3775539686879674,-0.3775539686879674,1.0,1.0,0.8,0.2,1.8,5,5
EP_matrix_TS_sqrt,ep_baseline,1.9824542200234052,1.9824542200234052,-0.2992090103486409,-0.2992090103486409,1.0,1.0,0.8,0.2,3.2,5,5
Synergy_x_EP_matrix_TS,formulation_interaction,0.6740061919483751,0.6740061919483751,-0.17783551378155393,-0.17783551378155393,1.0,1.0,1.0,0.0,6.8,5,5
main_HBD,other,0.3564632139035464,0.3564632139035464,-0.053388121979310074,-0.053388121979310074,1.0,0.8,0.6,0.6,14.0,5,5
P_Si_loading_ratio,formulation_loading,0.4439105069557533,0.5548881336946916,-0.12610555900430517,-0.15763194875538147,0.8,0.8,0.5,0.5,46.6,4,5
main_morgan_r2_27,molecular_fingerprint,0.18705018790774447,0.18705018790774447,0.001292512983516543,0.001292512983516543,1.0,0.6,0.6,0.4,19.8,5,5
curing_morgan_r2_22,molecular_fingerprint,0.17983764702424349,0.17983764702424349,0.04127768683746352,0.04127768683746352,1.0,0.6,0.6,0.6,29.4,5,5
P_x_curing_FractionCSP3,molecular_descriptor,0.17665617208231105,0.17665617208231105,-0.013253044105784697,-0.013253044105784697,1.0,0.6,0.6,0.6,36.6,5,5
main_RotBonds,other,0.38404137468828303,0.48005171836035376,0.002078814632157577,0.0025985182901969717,0.8,0.6,0.75,0.75,49.0,4,5
P_N_loading_ratio,formulation_loading,0.17676559830645544,0.2209569978830693,-0.01842293679496044,-0.023028670993700547,0.8,0.6,1.0,0.0,52.8,4,5
main_NumHeteroAtoms,molecular_descriptor,0.1709272275380521,0.21365903442256512,-0.019922291795116436,-0.024902864743895546,0.8,0.6,0.5,0.5,65.6,4,5
main_morgan_r2_31,molecular_fingerprint,0.14541814671514186,0.24236357785856977,0.028965116336577567,0.048275193894295944,0.6,0.6,0.6666666666666666,0.6666666666666666,89.4,3,5
main_morgan_r2_14,molecular_fingerprint,0.38541734222601426,0.38541734222601426,-0.0871307519921713,-0.0871307519921713,1.0,0.4,0.6,0.4,42.6,5,5
main_NHOHCount,other,0.2071574535156564,0.2071574535156564,-0.01345143101740936,-0.01345143101740936,1.0,0.4,0.6,0.4,20.6,5,5
CuringAgent_Has_N,molecular_descriptor,0.18006564053125168,0.18006564053125168,-0.03841772217520919,-0.03841772217520919,1.0,0.4,0.75,0.75,41.8,5,5
P_content_log,elemental_composition,0.14467783474377627,0.14467783474377627,-0.051381569386901235,-0.051381569386901235,1.0,0.4,0.6,0.4,28.0,5,5
main_LogP,molecular_descriptor,0.1210177218775939,0.1210177218775939,-0.014585244890993627,-0.014585244890993627,1.0,0.4,0.8,0.2,29.2,5,5
main_morgan_r2_126,molecular_fingerprint,0.08966746812196841,0.08966746812196841,-0.03371058843744157,-0.03371058843744157,1.0,0.4,0.6,0.4,45.0,5,5
P_x_curing_TPSA,molecular_descriptor,0.14581907178425474,0.18227383973031844,0.0033803782428319987,0.0042254728035399985,0.8,0.4,0.5,0.5,58.4,4,5
main_morgan_r2_82,molecular_fingerprint,0.12182558355835707,0.15228197944794633,-0.0904973721659776,-0.113121715207472,0.8,0.4,0.5,0.5,65.6,4,5
P_content wt%,elemental_composition,0.10811279567955243,0.13514099459944054,-0.02072473427977256,-0.0259059178497157,0.8,0.4,0.75,0.25,74.8,4,5
P_x_curing_HBD,molecular_descriptor,0.12476144388554866,0.20793573980924776,-0.001879257897301495,-0.003132096495502492,0.6,0.4,0.6666666666666666,0.3333333333333333,109.2,3,5
main_MolMR,other,0.2792991187700556,0.2792991187700556,0.000969954481360635,0.000969954481360635,1.0,0.2,0.75,0.25,52.8,5,5
P_S_loading_ratio,formulation_loading,0.19154180670720206,0.19154180670720206,-0.07942616989170434,-0.07942616989170434,1.0,0.2,0.8,0.2,27.6,5,5
curing_LogP,molecular_descriptor,0.16071660999703172,0.16071660999703172,-0.002039276126267431,-0.002039276126267431,1.0,0.2,0.75,0.75,43.2,5,5
main_morgan_r2_0,molecular_fingerprint,0.15737463466199278,0.15737463466199278,-0.07414088009519337,-0.07414088009519337,1.0,0.2,0.6666666666666666,0.3333333333333333,76.8,5,5
main_Kappa3,other,0.1411609395840462,0.1411609395840462,-0.011384557715075638,-0.011384557715075638,1.0,0.2,0.6,0.4,43.0,5,5
main_RingCount,molecular_descriptor,0.11152001189267094,0.11152001189267094,-0.030339129136359118,-0.030339129136359118,1.0,0.2,0.6,0.6,40.2,5,5
P_content_sq,elemental_composition,0.10158192831287394,0.10158192831287394,-0.04043002845917006,-0.04043002845917006,1.0,0.2,0.6,0.4,47.0,5,5
curing_MolMR,molecular_descriptor,0.09730996551357285,0.09730996551357285,-0.03372778695259997,-0.03372778695259997,1.0,0.2,0.75,0.75,70.6,5,5
P_S_loading_product,formulation_loading,0.08811086201588123,0.08811086201588123,-0.08056625551734213,-0.08056625551734213,1.0,0.2,0.8,0.2,51.6,5,5
curing_NumHeteroAtoms,molecular_descriptor,0.08750965320275159,0.08750965320275159,0.03584415405536605,0.03584415405536605,1.0,0.2,0.5,0.5,53.8,5,5
Synergy_type_P-only,other,0.059266426817912186,0.059266426817912186,-0.006147184813804092,-0.006147184813804092,1.0,0.2,0.75,0.25,56.4,5,5
main_BertzCT,other,0.05683780358154476,0.05683780358154476,-0.011877798082299223,-0.011877798082299223,1.0,0.2,0.6,0.6,57.4,5,5
main_morgan_r2_107,molecular_fingerprint,0.04441839870524289,0.04441839870524289,0.0024261729527009605,0.0024261729527009605,1.0,0.2,0.6,0.4,66.0,5,5
main_morgan_r2_26,molecular_fingerprint,0.20233525071025554,0.25291906338781944,-0.0517325024116567,-0.06466562801457088,0.8,0.2,0.5,0.5,60.2,4,5
curing_MolWt,molecular_descriptor,0.1824898761804868,0.22811234522560847,-0.1318623637620121,-0.16482795470251513,0.8,0.2,0.6666666666666666,0.3333333333333333,89.8,4,5
N_loading_real_sqrt,formulation_loading,0.1258011074084253,0.15725138426053162,-0.006143871778220467,-0.007679839722775583,0.8,0.2,0.5,0.5,63.6,4,5
P_S_loading_sum,formulation_loading,0.11382781758824186,0.14228477198530232,0.008641024675565562,0.010801280844456954,0.8,0.2,0.5,0.5,63.0,4,5
N_content wt%,elemental_composition,0.10529594606751749,0.13161993258439686,0.001402316296152037,0.0017528953701900461,0.8,0.2,0.75,0.25,67.4,4,5
curing_TPSA,molecular_descriptor,0.10450814986247328,0.1306351873280916,0.01673541076037175,0.020919263450464687,0.8,0.2,1.0,1.0,80.4,4,5
P_B_loading_ratio,formulation_loading,0.08969097689332604,0.11211372111665756,-0.009939581966813407,-0.012424477458516759,0.8,0.2,0.6666666666666666,0.3333333333333333,80.0,4,5
main_HBA,other,0.08939948275393295,0.11174935344241618,-0.0003446019922314691,-0.00043075249028933643,0.8,0.2,0.5,0.5,72.8,4,5
curing_ExactMolWt,molecular_descriptor,0.057645378852736615,0.07205672356592077,-0.016771838057015404,-0.020964797571269254,0.8,0.2,0.5,0.5,82.8,4,5
main_morgan_r2_91,molecular_fingerprint,0.037304149699346936,0.046630187124183674,0.010003218129228568,0.01250402266153571,0.8,0.2,0.6666666666666666,0.6666666666666666,113.6,4,5
curing_morgan_r2_39,molecular_fingerprint,0.027602047564684505,0.03450255945585563,0.0002623137256749484,0.0003278921570936855,0.8,0.2,0.6666666666666666,0.3333333333333333,112.4,4,5
P_N_loading_sum,formulation_loading,0.13486179900844478,0.2247696650140746,-0.0004124895172792154,-0.0006874825287986923,0.6,0.2,0.6666666666666666,0.6666666666666666,103.8,3,5
main_morgan_r2_18,molecular_fingerprint,0.058440490241323986,0.09740081706887331,0.015770673521972582,0.026284455869954305,0.6,0.2,1.0,1.0,109.2,3,5
main_morgan_r2_66,molecular_fingerprint,0.04969408128431472,0.0828234688071912,-0.01889432246937083,-0.03149053744895138,0.6,0.2,1.0,0.0,120.0,3,5
P_loading_real_sqrt,formulation_loading,0.03269888542899951,0.05449814238166586,0.0011388241803073583,0.0018980403005122639,0.6,0.2,0.5,0.5,125.2,3,5
Synergy_type_P-N,other,0.08066043974966028,0.2016510993741507,0.024707410771262428,0.06176852692815607,0.4,0.2,0.5,0.5,130.4,2,5
main_FractionCSP3,molecular_descriptor,0.3224131873075076,1.612065936537538,0.04309682985127081,0.21548414925635404,0.2,0.2,1.0,1.0,163.0,1,5
Cure_Temp_Max,curing_and_preparation,0.1738008198304436,0.869004099152218,0.056423959064369034,0.28211979532184517,0.2,0.2,1.0,1.0,163.6,1,5
