feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
EP_matrix_TS,ep_baseline,4.964403271204846,0.09155116580523391,1,5,compact,SoftVote,140,140
EP_matrix_TS_sq,ep_baseline,2.43597101736681,-0.0624738530956852,2,5,compact,SoftVote,140,140
main_FractionCSP3,molecular_descriptor,1.612065936537538,0.21548414925635404,3,5,compact,SoftVote,140,140
EP_matrix_TS_sqrt,ep_baseline,0.9839243497841254,-0.09786108193171579,4,5,compact,SoftVote,140,140
P_Si_loading_ratio,formulation_loading,0.8287931970698789,-0.6192121571320773,5,5,compact,SoftVote,140,140
curing_MolWt,molecular_descriptor,0.7860377879922871,-0.653846463344254,6,5,compact,SoftVote,140,140
main_RotBonds,other,0.7147771637836091,0.024082993143493603,7,5,compact,SoftVote,140,140
CuringAgent_Has_N,molecular_descriptor,0.6726905614761636,-0.4197262520561408,8,5,compact,SoftVote,140,140
Synergy_x_EP_matrix_TS,formulation_interaction,0.611516026808471,-0.08982399465564876,9,5,compact,SoftVote,140,140
curing_LogP,molecular_descriptor,0.46260502936044284,-0.34551780093042195,10,5,compact,SoftVote,140,140
main_HBD,other,0.44211325257482215,0.013851492599631072,11,5,compact,SoftVote,140,140
curing_TPSA,molecular_descriptor,0.43612592118568444,0.028328901489821492,12,5,compact,SoftVote,140,140
curing_MolMR,molecular_descriptor,0.3874623781915548,-0.26772638413930927,13,5,compact,SoftVote,140,140
main_NumHeteroAtoms,molecular_descriptor,0.37181388042112096,-0.11070529872013136,14,5,compact,SoftVote,140,140
main_morgan_r2_27,molecular_fingerprint,0.3395242656068554,0.059453288509879076,15,5,compact,SoftVote,140,140
N_loading_real_sqrt,formulation_loading,0.32519797397490285,0.034696684346185086,16,5,compact,SoftVote,140,140
N_content wt%,elemental_composition,0.31398832677633776,0.10786389911649655,17,5,compact,SoftVote,140,140
P_x_curing_FractionCSP3,molecular_descriptor,0.2538947152988662,-0.14572836186929558,18,5,compact,SoftVote,140,140
P_content wt%,elemental_composition,0.2525023881233263,-0.026681919153611965,19,5,compact,SoftVote,140,140
P_S_loading_sum,formulation_loading,0.25160213414729193,0.04880385146042842,20,5,compact,SoftVote,140,140
main_AliphaticRings,molecular_descriptor,0.21653084632756922,-0.07633066084341975,21,5,compact,SoftVote,140,140
P_N_loading_ratio,formulation_loading,0.1915070952903415,-0.024217156619299195,22,5,compact,SoftVote,140,140
Synergy_type_P-N-S,other,0.1807583620668156,-0.03225188999026755,23,5,compact,SoftVote,140,140
main_NHOHCount,other,0.16489081440822176,-0.0157340120765455,24,5,compact,SoftVote,140,140
P_x_curing_TPSA,molecular_descriptor,0.1567220920457314,-0.02130435897048544,25,5,compact,SoftVote,140,140
main_MolWt,molecular_descriptor,0.15512335704995428,-0.0043552615539988885,26,5,compact,SoftVote,140,140
main_morgan_r2_26,molecular_fingerprint,0.1380728266404476,0.06596932116983875,27,5,compact,SoftVote,140,140
main_TPSA,molecular_descriptor,0.13642469263629756,-0.0396174986071225,28,5,compact,SoftVote,140,140
curing_ExactMolWt,molecular_descriptor,0.12987086538476356,-0.09119398045009522,29,5,compact,SoftVote,140,140
P_B_loading_ratio,formulation_loading,0.1297214001249118,0.022069633102721937,30,5,compact,SoftVote,140,140
P_S_loading_ratio,formulation_loading,0.11931342695304192,-0.017908805125884504,31,5,compact,SoftVote,140,140
curing_LabuteASA,molecular_descriptor,0.11241163907981372,-0.08237947729260973,32,5,compact,SoftVote,140,140
P_loading_real,formulation_loading,0.11075865205532077,0.00971880185969995,33,5,compact,SoftVote,140,140
main_morgan_r2_71,molecular_fingerprint,0.10982368365501236,-0.014998272462631577,34,5,compact,SoftVote,140,140
Preparation_Method_DOPO-based (reactive),curing_and_preparation,0.1095756792024719,0.04404365577136923,35,5,compact,SoftVote,140,140
P_content_log,elemental_composition,0.10944263884762123,-0.04046061545270882,36,5,compact,SoftVote,140,140
curing_FractionCSP3,molecular_descriptor,0.10706155394188438,-0.09335981849555135,37,5,compact,SoftVote,140,140
Synergy_type_P-only,other,0.10091197753969272,-0.03533744291441205,38,5,compact,SoftVote,140,140
main_morgan_r2_80,molecular_fingerprint,0.09830082231426138,-0.00308146987357274,39,5,compact,SoftVote,140,140
