feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
EP_matrix_Tg,ep_baseline,4.656069427890889,4.656069427890889,-0.3794908014155623,-0.3794908014155623,1.0,1.0,0.8,0.2,1.0,5,5
Cure_Temp_Max,curing_and_preparation,2.3996202452770072,2.3996202452770072,-0.3021596495204191,-0.3021596495204191,1.0,1.0,0.6,0.4,2.6,5,5
CuringAgent_Has_S,molecular_descriptor,2.387447170239972,2.387447170239972,-0.23173590761272642,-0.23173590761272642,1.0,1.0,0.6,0.6,3.0,5,5
EP_matrix_Tg_sq,ep_baseline,1.4471615976116898,1.4471615976116898,-0.13438292177896233,-0.13438292177896233,1.0,1.0,0.8,0.2,5.2,5,5
curing_MolMR,molecular_descriptor,1.4069906061608388,1.4069906061608388,0.09169853683333859,0.09169853683333859,1.0,1.0,0.6,0.6,4.4,5,5
main_BalabanJ,other,0.8614595048742825,0.8614595048742825,0.02173826966850291,0.02173826966850291,1.0,1.0,0.6,0.4,8.0,5,5
P_N_loading_ratio,formulation_loading,0.4328088040100151,0.4328088040100151,0.046538233533782725,0.046538233533782725,1.0,1.0,0.6,0.4,16.2,5,5
P_x_curing_LogP,molecular_descriptor,0.7027519844896409,0.7027519844896409,-0.035352740023157685,-0.035352740023157685,1.0,0.8,0.6,0.4,14.4,5,5
EP_matrix_Tg_sqrt,ep_baseline,0.6456296970108822,0.6456296970108822,-0.0680859068936684,-0.0680859068936684,1.0,0.8,0.8,0.2,12.6,5,5
main_FractionCSP3,molecular_descriptor,0.6311951194558857,0.6311951194558857,-0.08791733297948337,-0.08791733297948337,1.0,0.8,0.6,0.4,15.4,5,5
P_loading_x_Synergy,formulation_loading,0.5139944056508522,0.5139944056508522,0.04487071883158934,0.04487071883158934,1.0,0.8,0.6,0.4,16.0,5,5
P_S_loading_sum,formulation_loading,0.48403599750381743,0.48403599750381743,0.02949641561448314,0.02949641561448314,1.0,0.8,0.6,0.6,15.6,5,5
