feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
EP_matrix_Tg,ep_baseline,4.634338354419712,-0.7526234409870167,1,3,morgan_r3,XGB,270,270
CuringAgent_Has_S,molecular_descriptor,3.10621995774667,1.2566596366284004,2,3,morgan_r3,XGB,270,270
Cure_Temp_Max,curing_and_preparation,2.9150648054027175,-1.3704719016296765,3,3,morgan_r3,XGB,270,270
EP_matrix_Tg_sq,ep_baseline,1.673944190874333,-0.12427152115980993,4,3,morgan_r3,XGB,270,270
curing_MolMR,molecular_descriptor,1.3112819372689246,0.1878562876424338,5,3,morgan_r3,XGB,270,270
P_x_curing_LogP,molecular_descriptor,1.13703982790544,0.0472442205449463,6,3,morgan_r3,XGB,270,270
main_BalabanJ,other,0.918948402745494,0.21581461770589355,7,3,morgan_r3,XGB,270,270
curing_MolWt,molecular_descriptor,0.9169427097632757,0.5938822575500752,8,3,morgan_r3,XGB,270,270
curing_Kappa3,molecular_descriptor,0.8725939404483263,0.8725939404483263,9,3,morgan_r3,XGB,270,270
main_morgan_r3_501,molecular_fingerprint,0.5886027729309473,-0.05482216240889912,10,3,morgan_r3,XGB,270,270
main_FractionCSP3,molecular_descriptor,0.5341919642232823,0.39465316033986814,11,3,morgan_r3,XGB,270,270
P_loading_x_Synergy,formulation_loading,0.4905129497842347,-0.05146823026783142,12,3,morgan_r3,XGB,270,270
Synergy_x_EP_matrix_Tg,formulation_interaction,0.48582605451345434,-0.13236235521682016,13,3,morgan_r3,XGB,270,270
P_content wt%,elemental_composition,0.33753388286794583,0.01830121014105519,14,3,morgan_r3,XGB,270,270
curing_ExactMolWt,molecular_descriptor,0.2978802635205728,0.2617860187435548,15,3,morgan_r3,XGB,270,270
P_S_loading_ratio,formulation_loading,0.2966119764341663,0.04175567709840832,16,3,morgan_r3,XGB,270,270
Loading_total_FR wt%,formulation_loading,0.27782506241556904,0.043164589488846515,17,3,morgan_r3,XGB,270,270
P_N_loading_ratio,formulation_loading,0.2650236336396644,0.06369676280883138,18,3,morgan_r3,XGB,270,270
curing_RotBonds,molecular_descriptor,0.2479372869095662,0.2479372869095662,19,3,morgan_r3,XGB,270,270
P_S_loading_sum,formulation_loading,0.24520240866553242,0.0384164993146745,20,3,morgan_r3,XGB,270,270
EP_matrix_Tg_sqrt,ep_baseline,0.23593009527255265,-0.013685696306121032,21,3,morgan_r3,XGB,270,270
P_content_log,elemental_composition,0.2264129630214948,-0.04424490594641407,22,3,morgan_r3,XGB,270,270
N/P ratio,elemental_composition,0.215455917247778,0.06952197996537303,23,3,morgan_r3,XGB,270,270
P_x_CuringAgent_Has_N,molecular_descriptor,0.21213668641323846,0.002832008248919418,24,3,morgan_r3,XGB,270,270
P_x_curing_FractionCSP3,molecular_descriptor,0.1929436333869105,0.004595056474823239,25,3,morgan_r3,XGB,270,270
Loading_x_Synergy,formulation_loading,0.19018243359492365,0.032173019221906234,26,3,morgan_r3,XGB,270,270
curing_AromaticRings,molecular_descriptor,0.18840344759583882,0.07380089007059322,27,3,morgan_r3,XGB,270,270
curing_Kappa2,molecular_descriptor,0.18598898609944933,0.004362549372017387,28,3,morgan_r3,XGB,270,270
curing_TPSA,molecular_descriptor,0.18059190166493258,0.09873800167813897,29,3,morgan_r3,XGB,270,270
main_morgan_r3_119,molecular_fingerprint,0.1769018749975496,0.10346947332016292,30,3,morgan_r3,XGB,270,270
P_x_curing_HBA,molecular_descriptor,0.17449070067170805,0.047100802919465216,31,3,morgan_r3,XGB,270,270
main_morgan_r3_386,molecular_fingerprint,0.17255663983420355,0.12498160701917693,32,3,morgan_r3,XGB,270,270
curing_morgan_r3_80,molecular_fingerprint,0.15554700850560851,0.02116565929156626,33,3,morgan_r3,XGB,270,270
curing_RingCount,molecular_descriptor,0.1530303540701667,0.1530303540701667,34,3,morgan_r3,XGB,270,270
main_morgan_r3_146,molecular_fingerprint,0.1513033249063624,0.05869853955900503,35,3,morgan_r3,XGB,270,270
main_morgan_r3_131,molecular_fingerprint,0.14987470504284525,-0.051817994149557,36,3,morgan_r3,XGB,270,270
main_morgan_r3_389,molecular_fingerprint,0.1383949784766365,0.008850330140493403,37,3,morgan_r3,XGB,270,270
P_Si_loading_ratio,formulation_loading,0.13768362545899032,0.013784797030619095,38,3,morgan_r3,XGB,270,270
Preparation_Method_DOPO-based (Additive + Secondary Crosslinking),curing_and_preparation,0.13753723353095768,-0.13753723353095768,39,3,morgan_r3,XGB,270,270
main_morgan_r3_401,molecular_fingerprint,0.13001679668649252,0.06836443740441206,40,3,morgan_r3,XGB,270,270
P_x_curing_RotBonds,molecular_descriptor,0.12944147486860552,0.06025843336143428,41,3,morgan_r3,XGB,270,270
curing_HeavyAtomCount,molecular_descriptor,0.1247293905070465,0.0549608429102227,42,3,morgan_r3,XGB,270,270
P_x_curing_TPSA,molecular_descriptor,0.11926145977211286,0.02809596255654469,43,3,morgan_r3,XGB,270,270
main_morgan_r3_13,molecular_fingerprint,0.11018186931187902,0.08759614536952644,44,3,morgan_r3,XGB,270,270
curing_BalabanJ,molecular_descriptor,0.1028738612433275,0.08442762752374014,45,3,morgan_r3,XGB,270,270
P_N_loading_sum,formulation_loading,0.10196338307836815,-0.0002643418125808213,46,3,morgan_r3,XGB,270,270
main_morgan_r3_415,molecular_fingerprint,0.09946063929703085,-0.04893469798637349,47,3,morgan_r3,XGB,270,270
main_morgan_r3_425,molecular_fingerprint,0.09586949954753639,0.004155041183888291,48,3,morgan_r3,XGB,270,270
main_morgan_r3_209,molecular_fingerprint,0.09269222674664993,0.0016078184134352797,49,3,morgan_r3,XGB,270,270
main_morgan_r3_328,molecular_fingerprint,0.0857219958388143,0.04249262809339494,50,3,morgan_r3,XGB,270,270
P_x_curing_MolWt,molecular_descriptor,0.07997067460635056,0.03844002727367398,51,3,morgan_r3,XGB,270,270
main_morgan_r3_314,molecular_fingerprint,0.0788842230580081,0.04501485326639441,52,3,morgan_r3,XGB,270,270
main_morgan_r3_208,molecular_fingerprint,0.07796029559931617,-0.07796029559931617,53,3,morgan_r3,XGB,270,270
main_morgan_r3_243,molecular_fingerprint,0.06985083777444541,0.011632028606901362,54,3,morgan_r3,XGB,270,270
main_morgan_r3_21,molecular_fingerprint,0.06572879350382008,-0.008461298664721346,55,3,morgan_r3,XGB,270,270
main_morgan_r3_341,molecular_fingerprint,0.06535637153209084,0.02499649577360186,56,3,morgan_r3,XGB,270,270
P_Si_loading_sum,formulation_loading,0.06391685463876157,0.018768135666485043,57,3,morgan_r3,XGB,270,270
P_content_sq,elemental_composition,0.06002748475513526,0.018142051123496563,58,3,morgan_r3,XGB,270,270
main_morgan_r3_95,molecular_fingerprint,0.05961761752764384,0.03187978042496574,59,3,morgan_r3,XGB,270,270
P_x_curing_RingCount,molecular_descriptor,0.05837713778122434,0.0167076973689513,60,3,morgan_r3,XGB,270,270
main_morgan_r3_354,molecular_fingerprint,0.05710801434082286,0.0446516993445241,61,3,morgan_r3,XGB,270,270
P_content_x_EP_matrix_Tg,formulation_interaction,0.05681594029146555,0.018698858690396367,62,3,morgan_r3,XGB,270,270
main_morgan_r3_227,molecular_fingerprint,0.055013115840394894,0.0037533730452155908,63,3,morgan_r3,XGB,270,270
P_x_curing_HBD,molecular_descriptor,0.05474869839355556,0.015234574928827993,64,3,morgan_r3,XGB,270,270
main_morgan_r3_70,molecular_fingerprint,0.05325524344833357,0.017560378133008862,65,3,morgan_r3,XGB,270,270
main_morgan_r3_331,molecular_fingerprint,0.05199726989596254,0.010162420567745963,66,3,morgan_r3,XGB,270,270
