feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
EP_matrix_TS,ep_baseline,3.748408643447901,3.748408643447901,-0.7569695831387006,-0.7569695831387006,1.0,1.0,0.6,0.4,1.8,5,5,Medium
EP_matrix_TS_sq,ep_baseline,2.3492130969351552,2.3492130969351552,-0.3775539686879674,-0.3775539686879674,1.0,1.0,0.8,0.2,1.8,5,5,High
EP_matrix_TS_sqrt,ep_baseline,1.9824542200234048,1.9824542200234048,-0.2992090103486409,-0.2992090103486409,1.0,1.0,0.8,0.2,3.2,5,5,High
Synergy_x_EP_matrix_TS,formulation_interaction,0.6740061919483751,0.6740061919483751,-0.1778355137815539,-0.1778355137815539,1.0,1.0,1.0,0.0,6.8,5,5,High
P_Si_loading_ratio,formulation_loading,0.4439105069557533,0.5548881336946916,-0.1261055590043051,-0.1576319487553814,0.8,0.8,0.5,0.5,46.6,4,5,Low
main_morgan_r2_14,molecular_fingerprint,0.3854173422260142,0.3854173422260142,-0.0871307519921713,-0.0871307519921713,1.0,0.4,0.6,0.4,42.6,5,5,Low
main_RotBonds,other,0.384041374688283,0.4800517183603537,0.0020788146321575,0.0025985182901969,0.8,0.6,0.75,0.75,49.0,4,5,Medium
main_HBD,other,0.3564632139035464,0.3564632139035464,-0.05338812197931,-0.05338812197931,1.0,0.8,0.6,0.6,14.0,5,5,Medium
main_FractionCSP3,molecular_descriptor,0.3224131873075076,1.612065936537538,0.0430968298512708,0.215484149256354,0.2,0.2,1.0,1.0,163.0,1,5,Low
main_MolMR,other,0.2792991187700556,0.2792991187700556,0.0009699544813606,0.0009699544813606,1.0,0.2,0.75,0.25,52.8,5,5,Low
main_NHOHCount,other,0.2071574535156564,0.2071574535156564,-0.0134514310174093,-0.0134514310174093,1.0,0.4,0.6,0.4,20.6,5,5,Low
main_morgan_r2_26,molecular_fingerprint,0.2023352507102555,0.2529190633878194,-0.0517325024116567,-0.0646656280145708,0.8,0.2,0.5,0.5,60.2,4,5,Low
P_S_loading_ratio,formulation_loading,0.191541806707202,0.191541806707202,-0.0794261698917043,-0.0794261698917043,1.0,0.2,0.8,0.2,27.6,5,5,Low
main_morgan_r2_27,molecular_fingerprint,0.1870501879077444,0.1870501879077444,0.0012925129835165,0.0012925129835165,1.0,0.6,0.6,0.4,19.8,5,5,Medium
curing_MolWt,molecular_descriptor,0.1824898761804868,0.2281123452256084,-0.1318623637620121,-0.1648279547025151,0.8,0.2,0.6666666666666666,0.3333333333333333,89.8,4,5,Low
CuringAgent_Has_N,molecular_descriptor,0.1800656405312516,0.1800656405312516,-0.0384177221752091,-0.0384177221752091,1.0,0.4,0.75,0.75,41.8,5,5,Low
curing_morgan_r2_22,molecular_fingerprint,0.1798376470242434,0.1798376470242434,0.0412776868374635,0.0412776868374635,1.0,0.6,0.6,0.6,29.4,5,5,Medium
P_N_loading_ratio,formulation_loading,0.1767655983064554,0.2209569978830693,-0.0184229367949604,-0.0230286709937005,0.8,0.6,1.0,0.0,52.8,4,5,Medium
P_x_curing_FractionCSP3,molecular_descriptor,0.176656172082311,0.176656172082311,-0.0132530441057846,-0.0132530441057846,1.0,0.6,0.6,0.6,36.6,5,5,Medium
Cure_Temp_Max,curing_and_preparation,0.1738008198304436,0.869004099152218,0.056423959064369,0.2821197953218451,0.2,0.2,1.0,1.0,163.6,1,5,Low
main_NumHeteroAtoms,molecular_descriptor,0.1709272275380521,0.2136590344225651,-0.0199222917951164,-0.0249028647438955,0.8,0.6,0.5,0.5,65.6,4,5,Low
curing_LogP,molecular_descriptor,0.1607166099970317,0.1607166099970317,-0.0020392761262674,-0.0020392761262674,1.0,0.2,0.75,0.75,43.2,5,5,Low
main_morgan_r2_0,molecular_fingerprint,0.1573746346619927,0.1573746346619927,-0.0741408800951933,-0.0741408800951933,1.0,0.2,0.6666666666666666,0.3333333333333333,76.8,5,5,Low
P_x_curing_TPSA,molecular_descriptor,0.1458190717842547,0.1822738397303184,0.0033803782428319,0.0042254728035399,0.8,0.4,0.5,0.5,58.4,4,5,Low
main_morgan_r2_31,molecular_fingerprint,0.1454181467151418,0.2423635778585697,0.0289651163365775,0.0482751938942959,0.6,0.6,0.6666666666666666,0.6666666666666666,89.4,3,5,Low
P_content_log,elemental_composition,0.1446778347437762,0.1446778347437762,-0.0513815693869012,-0.0513815693869012,1.0,0.4,0.6,0.4,28.0,5,5,Low
main_Kappa3,other,0.1411609395840462,0.1411609395840462,-0.0113845577150756,-0.0113845577150756,1.0,0.2,0.6,0.4,43.0,5,5,Low
P_N_loading_sum,formulation_loading,0.1348617990084447,0.2247696650140746,-0.0004124895172792,-0.0006874825287986,0.6,0.2,0.6666666666666666,0.6666666666666666,103.8,3,5,Low
N_loading_real_sqrt,formulation_loading,0.1258011074084253,0.1572513842605316,-0.0061438717782204,-0.0076798397227755,0.8,0.2,0.5,0.5,63.6,4,5,Low
P_x_curing_HBD,molecular_descriptor,0.1247614438855486,0.2079357398092477,-0.0018792578973014,-0.0031320964955024,0.6,0.4,0.6666666666666666,0.3333333333333333,109.2,3,5,Low
main_morgan_r2_82,molecular_fingerprint,0.121825583558357,0.1522819794479463,-0.0904973721659776,-0.113121715207472,0.8,0.4,0.5,0.5,65.6,4,5,Low
main_LogP,molecular_descriptor,0.1210177218775939,0.1210177218775939,-0.0145852448909936,-0.0145852448909936,1.0,0.4,0.8,0.2,29.2,5,5,Low
P_S_loading_sum,formulation_loading,0.1138278175882418,0.1422847719853023,0.0086410246755655,0.0108012808444569,0.8,0.2,0.5,0.5,63.0,4,5,Low
main_RingCount,molecular_descriptor,0.1115200118926709,0.1115200118926709,-0.0303391291363591,-0.0303391291363591,1.0,0.2,0.6,0.6,40.2,5,5,Low
P_content wt%,elemental_composition,0.1081127956795524,0.1351409945994405,-0.0207247342797725,-0.0259059178497157,0.8,0.4,0.75,0.25,74.8,4,5,Low
N_content wt%,elemental_composition,0.1052959460675174,0.1316199325843968,0.001402316296152,0.00175289537019,0.8,0.2,0.75,0.25,67.4,4,5,Low
