feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
EP_matrix_Tg,ep_baseline,4.656069427890889,4.656069427890889,-0.3794908014155623,-0.3794908014155623,1.0,1.0,0.8,0.2,1.0,5,5,High
Cure_Temp_Max,curing_and_preparation,2.3996202452770072,2.3996202452770072,-0.3021596495204191,-0.3021596495204191,1.0,1.0,0.6,0.4,2.6,5,5,Medium
CuringAgent_Has_S,molecular_descriptor,2.387447170239972,2.387447170239972,-0.2317359076127264,-0.2317359076127264,1.0,1.0,0.6,0.6,3.0,5,5,Medium
EP_matrix_Tg_sq,ep_baseline,1.4471615976116898,1.4471615976116898,-0.1343829217789623,-0.1343829217789623,1.0,1.0,0.8,0.2,5.2,5,5,High
curing_MolMR,molecular_descriptor,1.4069906061608388,1.4069906061608388,0.0916985368333385,0.0916985368333385,1.0,1.0,0.6,0.6,4.4,5,5,Medium
main_BalabanJ,other,0.8614595048742825,0.8614595048742825,0.0217382696685029,0.0217382696685029,1.0,1.0,0.6,0.4,8.0,5,5,Medium
P_x_curing_LogP,molecular_descriptor,0.7027519844896409,0.7027519844896409,-0.0353527400231576,-0.0353527400231576,1.0,0.8,0.6,0.4,14.4,5,5,Medium
EP_matrix_Tg_sqrt,ep_baseline,0.6456296970108822,0.6456296970108822,-0.0680859068936684,-0.0680859068936684,1.0,0.8,0.8,0.2,12.6,5,5,High
main_FractionCSP3,molecular_descriptor,0.6311951194558857,0.6311951194558857,-0.0879173329794833,-0.0879173329794833,1.0,0.8,0.6,0.4,15.4,5,5,Medium
P_loading_x_Synergy,formulation_loading,0.5139944056508522,0.5139944056508522,0.0448707188315893,0.0448707188315893,1.0,0.8,0.6,0.4,16.0,5,5,Medium
P_S_loading_sum,formulation_loading,0.4840359975038174,0.4840359975038174,0.0294964156144831,0.0294964156144831,1.0,0.8,0.6,0.6,15.6,5,5,Medium
Synergy_x_EP_matrix_Tg,formulation_interaction,0.437980504587922,0.437980504587922,0.0152108917144756,0.0152108917144756,1.0,0.6,0.6,0.6,17.8,5,5,Medium
