task,feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level,source_csv,parent_variable,parent_variable_cn,parent_feature_group,mapping_type,transform_tags,mechanism_key,mapping_note,child_importance_rank
Tg,EP_matrix_Tg,ep_baseline,4.656069427890889,4.656069427890889,-0.3794908014155623,-0.3794908014155623,1.0,1.0,0.8,0.2,1.0,5,5,High,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,EP matrix Tg,未改性EP的Tg基线,ep_baseline,base_or_transform,none,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,1
Tg,Cure_Temp_Max,curing_and_preparation,2.3996202452770072,2.3996202452770072,-0.3021596495204191,-0.3021596495204191,1.0,1.0,0.6,0.4,2.6,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Maximum cure temperature,最高固化温度,curing_and_preparation,base_or_transform,none,cure_temperature,Base and mathematical transforms merged into one parent variable.,2
Tg,CuringAgent_Has_S,molecular_descriptor,2.387447170239972,2.387447170239972,-0.2317359076127264,-0.2317359076127264,1.0,1.0,0.6,0.6,3.0,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,CuringAgent_Has_S,CuringAgent_Has_S,molecular_descriptor,direct,none,other,Direct mapping; review manually if used in the manuscript.,3
Tg,EP_matrix_Tg_sq,ep_baseline,1.4471615976116898,1.4471615976116898,-0.1343829217789623,-0.1343829217789623,1.0,1.0,0.8,0.2,5.2,5,5,High,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,EP matrix Tg,未改性EP的Tg基线,ep_baseline,base_or_transform,square,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,4
Tg,curing_MolMR,molecular_descriptor,1.4069906061608388,1.4069906061608388,0.0916985368333385,0.0916985368333385,1.0,1.0,0.6,0.6,4.4,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Curing agent MolMR,固化剂MolMR,molecular_descriptor,molecular_descriptor,none,descriptor_molmr,Molecular descriptor retained at scope-specific parent level.,5
Tg,main_BalabanJ,other,0.8614595048742825,0.8614595048742825,0.0217382696685029,0.0217382696685029,1.0,1.0,0.6,0.4,8.0,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Main FR BalabanJ,主阻燃剂Balaban拓扑指数,molecular_descriptor,molecular_descriptor,none,descriptor_balabanj,Molecular descriptor retained at scope-specific parent level.,6
Tg,P_x_curing_LogP,molecular_descriptor,0.7027519844896409,0.7027519844896409,-0.0353527400231576,-0.0353527400231576,1.0,0.8,0.6,0.4,14.4,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,interaction,none,p_curing_logp,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,7
Tg,EP_matrix_Tg_sqrt,ep_baseline,0.6456296970108822,0.6456296970108822,-0.0680859068936684,-0.0680859068936684,1.0,0.8,0.8,0.2,12.6,5,5,High,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,EP matrix Tg,未改性EP的Tg基线,ep_baseline,base_or_transform,sqrt,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,8
Tg,main_FractionCSP3,molecular_descriptor,0.6311951194558857,0.6311951194558857,-0.0879173329794833,-0.0879173329794833,1.0,0.8,0.6,0.4,15.4,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Main FR FractionCSP3,主阻燃剂sp3碳比例,molecular_descriptor,molecular_descriptor,none,descriptor_fractioncsp3,Molecular descriptor retained at scope-specific parent level.,9
Tg,P_loading_x_Synergy,formulation_loading,0.5139944056508522,0.5139944056508522,0.0448707188315893,0.0448707188315893,1.0,0.8,0.6,0.4,16.0,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,(FR loading × P content) × synergy,（阻燃剂添加量×磷含量）×协同状态,formulation_interaction,interaction,none,p_loading_synergy,"Legacy-named interaction between total FR loading, formulation-level P content, and synergistic status.",10
Tg,P_S_loading_sum,formulation_loading,0.4840359975038174,0.4840359975038174,0.0294964156144831,0.0294964156144831,1.0,0.8,0.6,0.6,15.6,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,P–S loading–composition interaction,P–S添加量–组成交互,formulation_interaction,interaction_sum,none,p_s_loading,sum-type engineered interaction built from legacy loading×composition features; it is not a direct elemental-loading measurement.,11
Tg,Synergy_x_EP_matrix_Tg,formulation_interaction,0.437980504587922,0.437980504587922,0.0152108917144756,0.0152108917144756,1.0,0.6,0.6,0.6,17.8,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Synergy × EP matrix Tg,协同状态×未改性EP的Tg,formulation_interaction,interaction,none,synergy_ep_baseline,Interaction feature; do not merge with the EP baseline main effect.,12
Tg,P_N_loading_ratio,formulation_loading,0.4328088040100151,0.4328088040100151,0.0465382335337827,0.0465382335337827,1.0,1.0,0.6,0.4,16.2,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,P–N loading–composition interaction,P–N添加量–组成交互,formulation_interaction,interaction_ratio,none,p_n_loading,ratio-type engineered interaction built from legacy loading×composition features; it is not a direct elemental-loading measurement.,13
Tg,P_x_curing_FractionCSP3,molecular_descriptor,0.3775707180714074,0.3775707180714074,-0.0550909543346323,-0.0550909543346323,1.0,0.6,0.8,0.2,30.0,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,P content × curing-agent FractionCSP3,磷含量×固化剂sp3碳比例,molecular_interaction,interaction,none,p_curing_fractioncsp3,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,14
Tg,main_BertzCT,other,0.3660074088450105,0.4575092610562631,-0.0430735083344198,-0.0538418854180248,0.8,0.6,0.75,0.75,99.2,4,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Main FR BertzCT,主阻燃剂BertzCT,molecular_descriptor,molecular_descriptor,none,descriptor_bertzct,Molecular descriptor retained at scope-specific parent level.,15
Tg,P_S_loading_ratio,formulation_loading,0.3104545925001251,0.3104545925001251,-0.0280788212160694,-0.0280788212160694,1.0,0.6,0.8,0.2,22.0,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,P–S loading–composition interaction,P–S添加量–组成交互,formulation_interaction,interaction_ratio,none,p_s_loading,ratio-type engineered interaction built from legacy loading×composition features; it is not a direct elemental-loading measurement.,16
TS_MPa,EP_matrix_TS,ep_baseline,3.748408643447901,3.748408643447901,-0.7569695831387006,-0.7569695831387006,1.0,1.0,0.6,0.4,1.8,5,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\TS_MPa_SHAP_stable_features_filtered.csv,EP matrix TS,未改性EP的TS基线,ep_baseline,base_or_transform,none,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,1
TS_MPa,EP_matrix_TS_sq,ep_baseline,2.3492130969351552,2.3492130969351552,-0.3775539686879674,-0.3775539686879674,1.0,1.0,0.8,0.2,1.8,5,5,High,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\TS_MPa_SHAP_stable_features_filtered.csv,EP matrix TS,未改性EP的TS基线,ep_baseline,base_or_transform,square,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,2
TS_MPa,EP_matrix_TS_sqrt,ep_baseline,1.9824542200234048,1.9824542200234048,-0.2992090103486409,-0.2992090103486409,1.0,1.0,0.8,0.2,3.2,5,5,High,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\TS_MPa_SHAP_stable_features_filtered.csv,EP matrix TS,未改性EP的TS基线,ep_baseline,base_or_transform,sqrt,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,3
TS_MPa,Synergy_x_EP_matrix_TS,formulation_interaction,0.6740061919483751,0.6740061919483751,-0.1778355137815539,-0.1778355137815539,1.0,1.0,1.0,0.0,6.8,5,5,High,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\TS_MPa_SHAP_stable_features_filtered.csv,Synergy × EP matrix TS,协同状态×未改性EP的TS,formulation_interaction,interaction,none,synergy_ep_baseline,Interaction feature; do not merge with the EP baseline main effect.,4
TS_MPa,main_RotBonds,other,0.384041374688283,0.4800517183603537,0.0020788146321575,0.0025985182901969,0.8,0.6,0.75,0.75,49.0,4,5,Medium,results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\TS_MPa_SHAP_stable_features_filtered.csv,Main FR RotBonds,主阻燃剂可旋转键数,molecular_descriptor,molecular_descriptor,none,descriptor_rotbonds,Molecular descriptor retained at scope-specific parent level.,5
