task,target_cn,parent_variable,parent_variable_cn,parent_feature_group,mechanism_key,parent_stability_level,child_feature_count,child_features,dominant_child_feature,parent_importance_sum,parent_importance_max_child,parent_importance_mean_child,selected_feature_frequency_weighted,top20_frequency_weighted,direction_consistency_weighted,positive_direction_fraction_weighted,folds_present_max,n_shap_folds_max,average_output_direction,average_output_direction_cn,performance_direction_cn,physical_meaning_cn,mechanism_interpretation_cn,writing_caution_cn,literature_support_needed_cn,aggregation_caution,parent_importance_share_of_stable_sum,parent_rank_conservative,parent_rank_sum
THR,总热释放量（THR）,EP matrix THR,未改性EP的THR基线,ep_baseline,ep_baseline,Medium,3,EP_matrix_THR; EP_matrix_THR_sq; EP_matrix_THR_sqrt,EP_matrix_THR,7.65530862277199,3.347602687660149,2.551769540923997,1.0,0.9495981859302141,0.6,0.4,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征未改性环氧基体在相同指标上的初始水平与跨文献基体差异。,基线性能可决定阻燃改性后的绝对性能起点，因此模型可能首先利用基体初始差异，再学习阻燃剂带来的增量。该变量不是阻燃剂分子本身的机理证据。,应避免将其解释为DOPO结构效应；建议同时报告Delta任务或进行基线控制分析。,补充环氧基体组成、固化体系和初始燃烧性能对改性结果影响的文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.3885612379739561,1,1
THR,总热释放量（THR）,Synergy × EP matrix THR,协同状态×未改性EP的THR,formulation_interaction,synergy_ep_baseline,Medium,1,Synergy_x_EP_matrix_THR,Synergy_x_EP_matrix_THR,2.43863343568283,2.43863343568283,2.43863343568283,0.8,0.8,0.75,0.25,4,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.12377795245444867,2,2
THR,总热释放量（THR）,P content × curing-agent S presence,磷含量×固化剂含S,molecular_interaction,p_curing_element,Medium,1,P_x_CuringAgent_Has_S,P_x_CuringAgent_Has_S,1.523937209817703,1.523937209817703,1.523937209817703,1.0,1.0,0.6,0.6,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.07735062791327778,3,3
THR,总热释放量（THR）,Main FR fraction,主阻燃剂质量分数,formulation_loading,main_fraction,Medium,1,Main_FR_fraction,Main_FR_fraction,1.4992342137489658,1.4992342137489658,1.4992342137489658,1.0,0.6,0.6666666666666666,0.6666666666666666,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征阻燃剂总剂量或主/协同组分在配方中的比例。,剂量影响有效阻燃元素浓度、气相抑制、凝聚相成炭及分散状态；过高添加量也可能引起团聚、交联密度下降或力学损失，因此通常具有非线性和最优区间。,平均SHAP方向不能证明单调剂量效应，需结合依赖图和相同体系内的配方梯度。,补充DOPO添加量、协同配比与LOI/PHRR/THR/UL-94变化的剂量效应文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.07609677555968597,4,4
THR,总热释放量（THR）,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,p_curing_logp,High,1,P_x_curing_LogP,P_x_curing_LogP,1.3458845468765612,1.3458845468765612,1.3458845468765612,1.0,1.0,0.8,0.2,5,5,Predominantly negative,降低THR预测值,总体方向与目标优化方向一致,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.0683131917306046,5,5
THR,总热释放量（THR）,P content × curing-agent TPSA,磷含量×固化剂拓扑极性表面积,molecular_interaction,p_curing_tpsa,Medium,1,P_x_curing_TPSA,P_x_curing_TPSA,0.7939261879659099,0.7939261879659099,0.7939261879659099,1.0,1.0,0.6,0.4,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.0402973880815629,6,7
THR,总热释放量（THR）,P content × curing-agent HBA,磷含量×固化剂氢键受体数,molecular_interaction,p_curing_hba,Medium,1,P_x_curing_HBA,P_x_curing_HBA,0.7927312184398762,0.7927312184398762,0.7927312184398762,1.0,1.0,0.6,0.6,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.04023673489809808,7,8
THR,总热释放量（THR）,FR loading × P-content interaction,阻燃剂添加量×磷含量交互,formulation_interaction,loading_x_p_content,Medium,1,P_loading_real_sqrt,P_loading_real_sqrt,0.7506064517460281,0.7506064517460281,0.7506064517460281,1.0,0.8,0.6,0.4,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征父变量“阻燃剂添加量×磷含量交互”对应的配方、结构或测试信息。,该变量在多折模型中具有稳定贡献，说明模型重复利用了该信息；具体材料机理需结合原始结构、依赖图和文献验证。,SHAP仅反映模型依赖关系，不证明因果或单调关系。,根据该变量对应的化学结构或实验条件补充直接文献证据。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.03809860405289137,8,9
THR,总热释放量（THR）,FR loading × N-content interaction,阻燃剂添加量×氮含量交互,formulation_interaction,loading_x_n_content,High,1,N_loading_real_sqrt,N_loading_real_sqrt,0.547191068538355,0.547191068538355,0.547191068538355,1.0,0.8,0.8,0.2,5,5,Predominantly negative,降低THR预测值,总体方向与目标优化方向一致,表征父变量“阻燃剂添加量×氮含量交互”对应的配方、结构或测试信息。,该变量在多折模型中具有稳定贡献，说明模型重复利用了该信息；具体材料机理需结合原始结构、依赖图和文献验证。,SHAP仅反映模型依赖关系，不证明因果或单调关系。,根据该变量对应的化学结构或实验条件补充直接文献证据。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.027773829831901183,9,10
THR,总热释放量（THR）,Total FR loading,总阻燃剂添加量,formulation_loading,fr_loading,High,2,Loading_total_FR wt%; Loading_total_FR_sqrt,Loading_total_FR wt%,0.9360613260160526,0.4865199349737598,0.4680306630080263,1.0,0.7999999999999999,0.7999999999999999,0.19999999999999998,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征阻燃剂总剂量或主/协同组分在配方中的比例。,剂量影响有效阻燃元素浓度、气相抑制、凝聚相成炭及分散状态；过高添加量也可能引起团聚、交联密度下降或力学损失，因此通常具有非线性和最优区间。,平均SHAP方向不能证明单调剂量效应，需结合依赖图和相同体系内的配方梯度。,补充DOPO添加量、协同配比与LOI/PHRR/THR/UL-94变化的剂量效应文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.04751175498978619,10,6
