task,feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level,source_csv,parent_variable,parent_variable_cn,parent_feature_group,mapping_type,transform_tags,mechanism_key,mapping_note,child_importance_rank
LOI,P_x_curing_RotBonds,molecular_descriptor,0.86480993735327,0.86480993735327,-0.1266998239337863,-0.1266998239337863,1.0,0.8,0.8,0.2,5.0,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,P content × curing-agent RotBonds,磷含量×固化剂可旋转键数,molecular_interaction,interaction,none,p_curing_rotbonds,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,1
LOI,P_x_curing_LogP,molecular_descriptor,0.3152346985217714,0.3152346985217714,-0.0477323265731938,-0.0477323265731938,1.0,1.0,0.8,0.2,5.8,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,interaction,none,p_curing_logp,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,2
LOI,P_content_x_EP_matrix_LOI,formulation_interaction,0.2861531584257665,0.2861531584257665,-0.0227565647657923,-0.0227565647657923,1.0,1.0,0.6,0.4,6.0,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,P content × EP matrix LOI,磷含量×未改性EP的LOI,formulation_interaction,interaction,none,p_ep_baseline,Interaction feature; represents matrix-dependent phosphorus contribution.,3
LOI,P_x_curing_HBD,molecular_descriptor,0.2628805720287825,0.2628805720287825,-0.0337418191311772,-0.0337418191311772,1.0,1.0,0.8,0.2,7.2,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,P content × curing-agent HBD,磷含量×固化剂氢键供体数,molecular_interaction,interaction,none,p_curing_hbd,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,4
LOI,Synergy_x_EP_matrix_LOI,formulation_interaction,0.2474539658344018,0.3093174572930023,0.1026860758354237,0.1283575947942797,0.8,0.8,0.75,0.75,62.4,4,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,Synergy × EP matrix LOI,协同状态×未改性EP的LOI,formulation_interaction,interaction,none,synergy_ep_baseline,Interaction feature; do not merge with the EP baseline main effect.,5
LOI,P_loading_x_Synergy,formulation_loading,0.2076032165677233,0.2076032165677233,-0.0238874688130501,-0.0238874688130501,1.0,0.8,0.8,0.2,10.6,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,(FR loading × P content) × synergy,（阻燃剂添加量×磷含量）×协同状态,formulation_interaction,interaction,none,p_loading_synergy,"Legacy-named interaction between total FR loading, formulation-level P content, and synergistic status.",6
LOI,main_TPSA,molecular_descriptor,0.1993006852010656,0.1993006852010656,0.0165191719115354,0.0165191719115354,1.0,0.8,0.8,0.8,12.2,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,Main FR TPSA,主阻燃剂拓扑极性表面积,molecular_descriptor,molecular_descriptor,none,descriptor_tpsa,Molecular descriptor retained at scope-specific parent level.,7
LOI,P_Si_loading_ratio,formulation_loading,0.1954506949435529,0.1954506949435529,-0.0141634733148446,-0.0141634733148446,1.0,0.8,0.8,0.2,16.2,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,P–Si loading–composition interaction,P–Si添加量–组成交互,formulation_interaction,interaction_ratio,none,p_si_loading,ratio-type engineered interaction built from legacy loading×composition features; it is not a direct elemental-loading measurement.,8
LOI,EP_matrix_LOI,ep_baseline,0.193961720486077,0.193961720486077,-0.0055765997589996,-0.0055765997589996,1.0,1.0,0.6,0.6,8.6,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,EP matrix LOI,未改性EP的LOI基线,ep_baseline,base_or_transform,none,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,9
LOI,Cure_Temp_Max,curing_and_preparation,0.1716415933236848,0.1716415933236848,-0.0677133588585272,-0.0677133588585272,1.0,1.0,0.6,0.4,10.4,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,Maximum cure temperature,最高固化温度,curing_and_preparation,base_or_transform,none,cure_temperature,Base and mathematical transforms merged into one parent variable.,10
