feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
P_x_curing_LogP,molecular_descriptor,0.31523469852177144,0.31523469852177144,-0.04773232657319382,-0.04773232657319382,1.0,1.0,0.8,0.2,5.8,5,5
P_content_x_EP_matrix_LOI,formulation_interaction,0.2861531584257665,0.2861531584257665,-0.022756564765792388,-0.022756564765792388,1.0,1.0,0.6,0.4,6.0,5,5
P_x_curing_HBD,molecular_descriptor,0.2628805720287825,0.2628805720287825,-0.03374181913117721,-0.03374181913117721,1.0,1.0,0.8,0.2,7.2,5,5
EP_matrix_LOI,ep_baseline,0.19396172048607707,0.19396172048607707,-0.005576599758999679,-0.005576599758999679,1.0,1.0,0.6,0.6,8.6,5,5
Cure_Temp_Max,curing_and_preparation,0.17164159332368484,0.17164159332368484,-0.06771335885852722,-0.06771335885852722,1.0,1.0,0.6,0.4,10.4,5,5
P_x_curing_RotBonds,molecular_descriptor,0.86480993735327,0.86480993735327,-0.12669982393378634,-0.12669982393378634,1.0,0.8,0.8,0.2,5.0,5,5
P_loading_x_Synergy,formulation_loading,0.20760321656772335,0.20760321656772335,-0.02388746881305016,-0.02388746881305016,1.0,0.8,0.8,0.2,10.6,5,5
main_TPSA,molecular_descriptor,0.19930068520106564,0.19930068520106564,0.01651917191153545,0.01651917191153545,1.0,0.8,0.8,0.8,12.2,5,5
P_Si_loading_ratio,formulation_loading,0.19545069494355294,0.19545069494355294,-0.014163473314844622,-0.014163473314844622,1.0,0.8,0.8,0.2,16.2,5,5
EP_matrix_LOI_sq,ep_baseline,0.15601587475068313,0.15601587475068313,-0.013576699512836696,-0.013576699512836696,1.0,0.8,0.6,0.6,11.8,5,5
EP_matrix_LOI_sqrt,ep_baseline,0.13559376017191402,0.13559376017191402,-0.014859882446577915,-0.014859882446577915,1.0,0.8,0.6,0.6,16.6,5,5
Synergy_x_EP_matrix_LOI,formulation_interaction,0.24745396583440188,0.30931745729300236,0.10268607583542377,0.12835759479427972,0.8,0.8,0.75,0.75,62.4,4,5
Loading_x_Synergy,formulation_loading,0.1038087014929366,0.1038087014929366,-0.0033394772937368118,-0.0033394772937368118,1.0,0.6,0.8,0.2,20.6,5,5
P_N_loading_product,formulation_loading,0.0988733386555902,0.0988733386555902,0.00197428994290774,0.00197428994290774,1.0,0.6,0.6,0.4,33.6,5,5
main_morgan_r2_75,molecular_fingerprint,0.08324447341411698,0.08324447341411698,-0.004964454958585693,-0.004964454958585693,1.0,0.6,0.6,0.6,36.6,5,5
N_content_wt%_sq,elemental_composition,0.07196181007206223,0.07196181007206223,-0.010108828010524377,-0.010108828010524377,1.0,0.6,0.8,0.2,38.2,5,5
P_x_curing_AromaticRings,molecular_descriptor,0.1052602066732737,0.1052602066732737,-0.019825491493563652,-0.019825491493563652,1.0,0.4,0.6,0.4,28.8,5,5
N_loading_real_sqrt,formulation_loading,0.09423131176894696,0.09423131176894696,-0.003608935231323341,-0.003608935231323341,1.0,0.4,0.6,0.4,19.8,5,5
Preparation_Method_DOPO-based (Additive + Secondary Crosslinking),curing_and_preparation,0.07946739270265515,0.07946739270265515,-0.017399733904787152,-0.017399733904787152,1.0,0.4,0.8,0.2,21.8,5,5
main_morgan_r2_31,molecular_fingerprint,0.07801509182701408,0.07801509182701408,0.0057951089420896365,0.0057951089420896365,1.0,0.4,0.5,0.5,55.2,5,5
