feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
P_x_curing_RotBonds,molecular_descriptor,1.1235329126023372,-0.196410103924055,1,3,compact,GBDT,260,260
P_x_curing_LogP,molecular_descriptor,0.43479570348423696,-0.11137544113767542,2,3,compact,GBDT,260,260
Cure_Temp_Max,curing_and_preparation,0.29229916305591647,-0.29229916305591647,3,3,compact,GBDT,260,260
main_TPSA,molecular_descriptor,0.289203200852369,-0.03697590620787298,4,3,compact,GBDT,260,260
P_content_x_EP_matrix_LOI,formulation_interaction,0.2744574449811545,-0.03939995575308179,5,3,compact,GBDT,260,260
P_x_curing_HBD,molecular_descriptor,0.26969099706116456,-0.07339621499827548,6,3,compact,GBDT,260,260
P_loading_x_Synergy,formulation_loading,0.26539393572654174,-0.08822858375962826,7,3,compact,GBDT,260,260
EP_matrix_LOI_sq,ep_baseline,0.21618478913481035,0.1049098816819282,8,3,compact,GBDT,260,260
Synergy_x_EP_matrix_LOI,formulation_interaction,0.20931067036283726,0.15446083471411845,9,3,compact,GBDT,260,260
EP_matrix_LOI,ep_baseline,0.19952122988541499,0.07854013023432341,10,3,compact,GBDT,260,260
P_Si_loading_ratio,formulation_loading,0.19829803549374148,-0.037430209823780584,11,3,compact,GBDT,260,260
EP_matrix_LOI_sqrt,ep_baseline,0.1616224933156951,0.10934779954453308,12,3,compact,GBDT,260,260
N_loading_real,formulation_loading,0.15277843030557656,-0.05474443505802705,13,3,compact,GBDT,260,260
N_loading_real_sqrt,formulation_loading,0.13630619578166966,-0.05204916022097069,14,3,compact,GBDT,260,260
Preparation_Method_DOPO-based (Additive + Secondary Crosslinking),curing_and_preparation,0.11659881106526081,-0.06938799357196936,15,3,compact,GBDT,260,260
N_content_wt%_sq,elemental_composition,0.10151638735396175,-0.027883167023667044,16,3,compact,GBDT,260,260
N_content_wt%_sqrt,elemental_composition,0.09555195133098296,-0.02067688752793604,17,3,compact,GBDT,260,260
P_N_loading_product,formulation_loading,0.09399246366558747,-0.018508243379118435,18,3,compact,GBDT,260,260
N_content wt%,elemental_composition,0.09133731040379245,-0.03387914781251714,19,3,compact,GBDT,260,260
main_morgan_r2_31,molecular_fingerprint,0.09078787761378199,-0.005627555168854698,20,3,compact,GBDT,260,260
P_B_loading_ratio,formulation_loading,0.07345398655782143,-0.02402813233435155,21,3,compact,GBDT,260,260
P_x_curing_TPSA,molecular_descriptor,0.06892048187553874,-0.025420269373183438,22,3,compact,GBDT,260,260
N/P_ratio_sq,elemental_composition,0.06732312255648946,0.00784520371551884,23,3,compact,GBDT,260,260
main_morgan_r2_75,molecular_fingerprint,0.05778961768658416,0.005514969717349028,24,3,compact,GBDT,260,260
main_morgan_r2_110,molecular_fingerprint,0.05500933297858058,-0.013460769241468776,25,3,compact,GBDT,260,260
Preparation_Method_DOPO-based (Co-curing),molecular_descriptor,0.052000922644769604,0.007697366896965026,26,3,compact,GBDT,260,260
P_N_loading_sum,formulation_loading,0.05197088119250519,-0.0267134597171874,27,3,compact,GBDT,260,260
P_S_loading_sum,formulation_loading,0.047690862350993665,-0.013865224934286545,28,3,compact,GBDT,260,260
curing_morgan_r2_80,molecular_fingerprint,0.04545985314581126,0.004972958065983328,29,3,compact,GBDT,260,260
main_morgan_r2_11,molecular_fingerprint,0.04501394818226496,-0.020983318306971345,30,3,compact,GBDT,260,260
main_morgan_r2_126,molecular_fingerprint,0.04053568224629596,-0.018377576401043268,31,3,compact,GBDT,260,260
main_LogP,molecular_descriptor,0.03962627043869966,0.016690866540237836,32,3,compact,GBDT,260,260
curing_HBA,molecular_descriptor,0.03776240345711512,0.012424678510675826,33,3,compact,GBDT,260,260
Preparation_Method_DOPO-based (reactive),curing_and_preparation,0.03695885482813336,0.00548676665406674,34,3,compact,GBDT,260,260
P_x_curing_HBA,molecular_descriptor,0.034692388741403,-0.020196380148020884,35,3,compact,GBDT,260,260
