feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
EP_matrix_PHRR,ep_baseline,44.800209410158175,44.800209410158175,-1.8920715146294795,-1.8920715146294795,1.0,1.0,0.6,0.6,2.4,5,5
P_x_curing_HBA,molecular_descriptor,37.19900127196157,37.19900127196157,2.505574932023321,2.505574932023321,1.0,1.0,0.6,0.4,4.6,5,5
P_x_curing_TPSA,molecular_descriptor,29.314968410179574,29.314968410179574,-3.312111452752164,-3.312111452752164,1.0,1.0,0.6,0.4,4.8,5,5
EP_matrix_PHRR_sq,ep_baseline,26.836635195054367,26.836635195054367,1.0568748347104386,1.0568748347104386,1.0,1.0,0.6,0.6,4.4,5,5
Loading_total_FR wt%,formulation_loading,23.29554882700877,23.29554882700877,-3.2081493156641216,-3.2081493156641216,1.0,1.0,0.6,0.4,6.8,5,5
curing_morgan_r2_22,molecular_fingerprint,20.39879272866542,20.39879272866542,2.4295335706480228,2.4295335706480228,1.0,1.0,0.6,0.6,7.2,5,5
Cone_flux_sq,test_condition,7.647959280377417,7.647959280377417,0.0033204233141410854,0.0033204233141410854,1.0,1.0,0.6,0.6,15.6,5,5
EP_matrix_PHRR_sqrt,ep_baseline,26.554974793647194,26.554974793647194,4.45528036930956,4.45528036930956,1.0,0.8,0.6,0.6,13.2,5,5
Loading_total_FR_sqrt,formulation_loading,17.33826613670162,17.33826613670162,0.004867774054770813,0.004867774054770813,1.0,0.8,0.6,0.4,15.4,5,5
Cone_flux_kW_m2,test_condition,14.099315117982774,14.099315117982774,0.751531108474341,0.751531108474341,1.0,0.8,0.6,0.6,13.2,5,5
main_TPSA,molecular_descriptor,11.89371018393066,11.89371018393066,-1.145809979810477,-1.145809979810477,1.0,0.8,0.8,0.2,14.8,5,5
main_FractionCSP3,molecular_descriptor,11.708718839922678,11.708718839922678,-1.0626365206746011,-1.0626365206746011,1.0,0.8,0.8,0.2,14.6,5,5
Loading_total_FR_sq,formulation_loading,10.123119770074952,10.123119770074952,-0.09153823459516404,-0.09153823459516404,1.0,0.8,0.6,0.4,15.2,5,5
main_RotBonds,other,9.991003488375608,9.991003488375608,-2.067335461586844,-2.067335461586844,1.0,0.8,1.0,0.0,14.2,5,5
Synergy_x_EP_matrix_PHRR,formulation_interaction,7.759660575986456,7.759660575986456,1.3738239646616968,1.3738239646616968,1.0,0.8,0.6,0.6,17.6,5,5
Cure_Temp_Max,curing_and_preparation,10.678912717945014,10.678912717945014,1.371727241017982,1.371727241017982,1.0,0.6,0.6,0.6,16.8,5,5
main_MolWt,molecular_descriptor,10.04830743726907,10.04830743726907,-2.0871126976516807,-2.0871126976516807,1.0,0.6,0.8,0.2,20.2,5,5
main_LogP,molecular_descriptor,7.6044119651202395,7.6044119651202395,0.07952463227234921,0.07952463227234921,1.0,0.6,0.6,0.6,17.4,5,5
P_x_curing_LogP,molecular_descriptor,7.193656741907851,7.193656741907851,-0.6670708595139893,-0.6670708595139893,1.0,0.6,0.8,0.2,19.8,5,5
