task,outer_fold,view,requested_k,model,inner_primary,inner_secondary,inner_threshold,error
PHRR,1,compact,330,Ridge,-0.9253554947050933,-488.50233628840795,,
PHRR,1,compact,330,RF,0.5605816575223248,-233.37281860479592,,
PHRR,1,compact,330,ExtraTrees,0.5508741013580492,-235.93655309818803,,
PHRR,1,compact,330,GBDT,0.5968077214063532,-223.54619596576774,,
PHRR,1,compact,330,XGB,0.5863033206935508,-226.43950569692367,,
PHRR,1,compact,330,LGBM,0.5497568110284456,-236.2298404461079,,
PHRR,1,compact,330,SVR,0.14789912566805896,-324.98003880647235,,
PHRR,1,compact,330,SoftVote,0.5767923828874731,-229.02765089687227,,
PHRR,2,compact,330,Ridge,-151.60906057051744,-4438.66725430958,,
PHRR,2,compact,330,RF,0.5897074402709983,-230.14908390673733,,
PHRR,2,compact,330,ExtraTrees,0.6001118508791687,-227.21222610150772,,
PHRR,2,compact,330,GBDT,0.6088071200327706,-224.72836940669208,,
PHRR,2,compact,330,XGB,0.6082648776128089,-224.88406633137876,,
PHRR,2,compact,330,LGBM,0.5985738556952835,-227.648743102389,,
PHRR,2,compact,330,SVR,0.13935960798262925,-333.32914794564573,,
PHRR,2,compact,330,SoftVote,0.611290283680551,-224.01398306777378,,
PHRR,3,compact,330,Ridge,-0.5097056384658436,-407.90926537022375,,
PHRR,3,compact,330,RF,0.6278920022445011,-202.51254606842105,,
PHRR,3,compact,330,ExtraTrees,0.6360931274283856,-200.26846097502153,,
PHRR,3,compact,330,GBDT,0.6617974385126837,-193.06603513383772,,
PHRR,3,compact,330,XGB,0.6594923686696157,-193.72285300847216,,
PHRR,3,compact,330,LGBM,0.6478117084119763,-197.01753838485212,,
PHRR,3,compact,330,SVR,0.1786397255003661,-300.8737359276034,,
PHRR,3,compact,330,SoftVote,0.652797014725237,-195.61815428718882,,
PHRR,4,compact,330,Ridge,-1.0475141957197476,-513.7762117127719,,
PHRR,4,compact,330,RF,0.609939218800256,-224.24701695462278,,
PHRR,4,compact,330,ExtraTrees,0.6173289963689391,-222.11265792034177,,
PHRR,4,compact,330,GBDT,0.6169676755652345,-222.21749339018655,,
PHRR,4,compact,330,XGB,0.6103311190575567,-224.1343363761042,,
PHRR,4,compact,330,LGBM,0.6288330160660667,-218.74855879077887,,
PHRR,4,compact,330,SVR,0.1544984166779465,-330.15489757234803,,
PHRR,4,compact,330,SoftVote,0.6286599373337508,-218.79955512425417,,
PHRR,5,compact,330,Ridge,-0.4872348075017092,-441.0604226110953,,
PHRR,5,compact,330,RF,0.6094633098016766,-226.01602848957444,,
PHRR,5,compact,330,ExtraTrees,0.6122092802815564,-225.22003649836233,,
PHRR,5,compact,330,GBDT,0.6480074945346923,-214.57297716663734,,
PHRR,5,compact,330,XGB,0.636774974924712,-217.9697368479186,,
PHRR,5,compact,330,LGBM,0.6297194284217409,-220.07655614010383,,
PHRR,5,compact,330,SVR,0.15913744649684725,-331.64299217170736,,
PHRR,5,compact,330,SoftVote,0.6344874917678851,-218.6550139043451,,
