feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
EP_matrix_PHRR,ep_baseline,51.2599384965547,-18.596903575944808,1,2,compact,SoftVote,330,241
P_x_curing_HBA,molecular_descriptor,49.836559537820435,-5.078010501130715,2,2,compact,SoftVote,330,241
Loading_total_FR wt%,formulation_loading,29.446867521604723,-3.261467103192075,3,2,compact,SoftVote,330,241
EP_matrix_PHRR_sq,ep_baseline,26.360063191452834,-9.638564290137248,4,2,compact,SoftVote,330,241
P_x_curing_TPSA,molecular_descriptor,24.86508044949495,-4.083117682381524,5,2,compact,SoftVote,330,241
curing_morgan_r2_22,molecular_fingerprint,22.241895361847703,1.4946065100338477,6,2,compact,SoftVote,330,241
Cone_flux_kW_m2,test_condition,19.54298528996673,-8.559318105052249,7,2,compact,SoftVote,330,241
EP_matrix_PHRR_sqrt,ep_baseline,17.193305849862778,-6.5352950237409,8,2,compact,SoftVote,330,241
Cure_Temp_Max,curing_and_preparation,15.969197340170535,7.286765429845529,9,2,compact,SoftVote,330,241
P_x_curing_LogP,molecular_descriptor,15.371436833010941,-2.4106415583158056,10,2,compact,SoftVote,330,241
main_RotBonds,other,15.238250952530963,-5.412456823117491,11,2,compact,SoftVote,330,241
main_FractionCSP3,molecular_descriptor,13.587523535909224,-1.2699950045357238,12,2,compact,SoftVote,330,241
main_TPSA,molecular_descriptor,12.810416036259966,-4.099332019331214,13,2,compact,SoftVote,330,241
Loading_total_FR_sq,formulation_loading,11.574884400223198,-1.4903980146656652,14,2,compact,SoftVote,330,241
main_morgan_r2_107,molecular_fingerprint,10.5996010794127,3.8140632432979156,15,2,compact,SoftVote,330,241
Loading_total_FR_sqrt,formulation_loading,8.335178488892845,-1.2201100884297704,16,2,compact,SoftVote,330,241
P_content wt%,elemental_composition,7.084434309713945,-0.3128153064869892,17,2,compact,SoftVote,330,241
Cone_Thickness_mm,test_condition,7.055198873636341,0.2907874711710179,18,2,compact,SoftVote,330,241
Cone_flux_sq,test_condition,6.021541479620996,-2.719685785667066,19,2,compact,SoftVote,330,241
main_HBD,other,5.723552645350693,-0.6012001828523681,20,2,compact,SoftVote,330,241
P_x_curing_MolWt,molecular_descriptor,5.026484854845438,-0.1064737852372409,21,2,compact,SoftVote,330,241
main_morgan_r2_109,molecular_fingerprint,4.981392367971646,4.272303290913158,22,2,compact,SoftVote,330,241
main_LogP,molecular_descriptor,4.947810018097086,-2.533555425286823,23,2,compact,SoftVote,330,241
main_morgan_r2_116,molecular_fingerprint,4.70911805845948,-2.566620022543312,24,2,compact,SoftVote,330,241
main_morgan_r2_94,molecular_fingerprint,4.083398245923757,-0.8035121314010272,25,2,compact,SoftVote,330,241
main_morgan_r2_49,molecular_fingerprint,3.6300327757098354,0.28929693774259835,26,2,compact,SoftVote,330,241
P_x_curing_HeavyAtomCount,molecular_descriptor,3.4569927636804647,-0.13384154705045087,27,2,compact,SoftVote,330,241
curing_morgan_r2_39,molecular_fingerprint,3.2763947011017303,0.1928264694925637,28,2,compact,SoftVote,330,241
P_content_x_EP_matrix_PHRR,formulation_interaction,3.1708160828482916,-0.15598976374460977,29,2,compact,SoftVote,330,241
Synergy_x_EP_matrix_PHRR,formulation_interaction,2.9530278431775296,-0.7334704369167941,30,2,compact,SoftVote,330,241
