feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
EP_matrix_THR,ep_baseline,3.3476026876601486,3.3476026876601486,0.29638039411156375,0.29638039411156375,1.0,1.0,0.6,0.4,3.2,5,5
EP_matrix_THR_sq,ep_baseline,2.3784987258529293,2.3784987258529293,-0.1694585885395812,-0.1694585885395812,1.0,1.0,0.6,0.4,3.6,5,5
P_x_CuringAgent_Has_S,molecular_descriptor,1.523937209817703,1.523937209817703,0.06711591031398562,0.06711591031398562,1.0,1.0,0.6,0.6,5.0,5,5
P_x_curing_LogP,molecular_descriptor,1.3458845468765612,1.3458845468765612,-0.12753780830367387,-0.12753780830367387,1.0,1.0,0.8,0.2,7.0,5,5
P_x_curing_TPSA,molecular_descriptor,0.7939261879659099,0.7939261879659099,0.0010772952839857492,0.0010772952839857492,1.0,1.0,0.6,0.4,10.4,5,5
P_x_curing_HBA,molecular_descriptor,0.7927312184398762,0.7927312184398762,-0.08191810530049146,-0.08191810530049146,1.0,1.0,0.6,0.6,10.8,5,5
P_x_curing_MolWt,molecular_descriptor,0.4823076634937015,0.4823076634937015,0.005153464377730094,0.005153464377730094,1.0,1.0,0.6,0.4,13.6,5,5
EP_matrix_THR_sqrt,ep_baseline,1.9292072092589119,1.9292072092589119,-0.26252707782388807,-0.26252707782388807,1.0,0.8,0.6,0.4,8.2,5,5
P_x_curing_RingCount,molecular_descriptor,0.8961758707325762,0.8961758707325762,0.007011858413524237,0.007011858413524237,1.0,0.8,0.5,0.5,14.6,5,5
P_loading_real_sqrt,formulation_loading,0.7506064517460281,0.7506064517460281,0.003155119419631658,0.003155119419631658,1.0,0.8,0.6,0.4,13.0,5,5
N_loading_real_sqrt,formulation_loading,0.547191068538355,0.547191068538355,-0.026658234386424083,-0.026658234386424083,1.0,0.8,0.8,0.2,14.8,5,5
Loading_total_FR wt%,formulation_loading,0.48651993497375984,0.48651993497375984,-0.0905255654276493,-0.0905255654276493,1.0,0.8,0.8,0.2,15.8,5,5
Loading_total_FR_sqrt,formulation_loading,0.44954139104229285,0.44954139104229285,-0.05890512618208553,-0.05890512618208553,1.0,0.8,0.8,0.2,15.0,5,5
P_x_curing_HeavyAtomCount,molecular_descriptor,0.2534989765106986,0.2534989765106986,-0.02459168617778995,-0.02459168617778995,1.0,0.8,0.8,0.2,18.8,5,5
N/P ratio,elemental_composition,0.20920998727018064,0.20920998727018064,0.01412682912399851,0.01412682912399851,1.0,0.8,0.8,0.8,20.0,5,5
Synergy_x_EP_matrix_THR,formulation_interaction,2.43863343568283,3.0482917946035375,-0.36717930624091566,-0.4589741328011446,0.8,0.8,0.75,0.25,9.6,4,5
