feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
P_x_CuringAgent_Has_N,molecular_descriptor,0.012035820794691584,0.012035820794691584,-0.0014413189230519819,-0.0014413189230519819,1.0,1.0,1.0,0.0,8.2,5,5
P_loading_x_Synergy,formulation_loading,0.011713535364880713,0.011713535364880713,-0.0008256591700151899,-0.0008256591700151899,1.0,1.0,0.8,0.2,13.2,5,5
P_x_curing_LogP,molecular_descriptor,0.011005904979402726,0.011005904979402726,-0.0016699431948970593,-0.0016699431948970593,1.0,1.0,1.0,0.0,12.8,5,5
P_x_curing_AromaticRings,molecular_descriptor,0.010965772587001054,0.010965772587001054,-0.0011006305567049068,-0.0011006305567049068,1.0,1.0,0.8,0.2,7.2,5,5
P_x_curing_HBD,molecular_descriptor,0.010924584039996046,0.010924584039996046,-0.0014142471016913413,-0.0014142471016913413,1.0,1.0,0.8,0.2,7.4,5,5
Loading_x_Synergy,formulation_loading,0.008457614810918767,0.008457614810918767,-0.001084743878375835,-0.001084743878375835,1.0,1.0,0.8,0.2,9.8,5,5
Loading_total_FR_sqrt,formulation_loading,0.008690076426641873,0.008690076426641873,-0.0016399478584020813,-0.0016399478584020813,1.0,0.8,1.0,0.0,25.8,5,5
P_content_sqrt,elemental_composition,0.007872758782294329,0.007872758782294329,-0.0013043203168651477,-0.0013043203168651477,1.0,0.8,1.0,0.0,28.0,5,5
main_morgan_r3_21,molecular_fingerprint,0.007443936860260321,0.007443936860260321,-0.0010756382460723034,-0.0010756382460723034,1.0,0.8,1.0,0.0,43.0,5,5
P_loading_real_sqrt,formulation_loading,0.007222142222620893,0.007222142222620893,-0.0011362260557020722,-0.0011362260557020722,1.0,0.8,1.0,0.0,40.8,5,5
P_x_curing_RingCount,molecular_descriptor,0.0070126267853235485,0.0070126267853235485,-0.000818918686299752,-0.000818918686299752,1.0,0.8,1.0,0.0,17.8,5,5
P_x_curing_HeavyAtomCount,molecular_descriptor,0.006628218076284648,0.006628218076284648,-0.0011371647021771905,-0.0011371647021771905,1.0,0.8,1.0,0.0,18.0,5,5
