feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
Loading_total_FR_sqrt,formulation_loading,0.01359799505532714,-0.0012468436688551656,1,4,morgan_r3,ExtraTrees,,672
P_loading_real_sqrt,formulation_loading,0.012531632795869392,-0.0006327271302778117,2,4,morgan_r3,ExtraTrees,,672
Loading_total_FR wt%,formulation_loading,0.011290621019478768,0.00010598704894154334,3,4,morgan_r3,ExtraTrees,,672
Loading_x_Synergy,formulation_loading,0.011090047480173792,-0.0013762150521027666,4,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_21,molecular_fingerprint,0.009524428513695839,-0.001742947750820021,5,4,morgan_r3,ExtraTrees,,672
P_content_sqrt,elemental_composition,0.008879061453725912,-0.0007974991794278383,6,4,morgan_r3,ExtraTrees,,672
P_x_curing_AromaticRings,molecular_descriptor,0.008295415975088117,-0.001947285112314782,7,4,morgan_r3,ExtraTrees,,672
P_loading_x_Synergy,formulation_loading,0.008044848783602603,0.00033582391508646045,8,4,morgan_r3,ExtraTrees,,672
P_x_curing_MolWt,molecular_descriptor,0.008008783110531057,-0.00011287364414797761,9,4,morgan_r3,ExtraTrees,,672
P_content wt%,elemental_composition,0.007913870989157287,1.4392986490429904e-05,10,4,morgan_r3,ExtraTrees,,672
P_S_loading_sum,formulation_loading,0.007836314325418241,-0.00016001418181278885,11,4,morgan_r3,ExtraTrees,,672
Loading_total_FR_sq,formulation_loading,0.007752502006199294,-0.0002550675743230753,12,4,morgan_r3,ExtraTrees,,672
P_x_curing_LogP,molecular_descriptor,0.007598105104633797,-0.0013245059331144782,13,4,morgan_r3,ExtraTrees,,672
N_loading_real_sqrt,formulation_loading,0.007424467710663534,-7.641756759100973e-05,14,4,morgan_r3,ExtraTrees,,672
P_x_curing_RingCount,molecular_descriptor,0.007415706480947194,-0.00037245642193328455,15,4,morgan_r3,ExtraTrees,,672
P_x_curing_HBD,molecular_descriptor,0.007060959088674105,-0.0016316412694598547,16,4,morgan_r3,ExtraTrees,,672
P_x_CuringAgent_Has_N,molecular_descriptor,0.007060006013176303,-0.0018829131336631005,17,4,morgan_r3,ExtraTrees,,672
P_B_loading_sum,formulation_loading,0.006896642253171048,0.0003568012386378506,18,4,morgan_r3,ExtraTrees,,672
P_x_curing_RotBonds,molecular_descriptor,0.006892361496129569,-0.0012210501956461223,19,4,morgan_r3,ExtraTrees,,672
P_x_curing_HeavyAtomCount,molecular_descriptor,0.006870301593372822,-0.0003304836164658063,20,4,morgan_r3,ExtraTrees,,672
P_N_loading_sum,formulation_loading,0.006685231001306991,0.0004002222939252911,21,4,morgan_r3,ExtraTrees,,672
Main_FR_present,other,0.0062711746030739346,-0.002414889648102366,22,4,morgan_r3,ExtraTrees,,672
P_loading_real,formulation_loading,0.006078417452253134,0.00039073804316459593,23,4,morgan_r3,ExtraTrees,,672
curing_morgan_r3_204,molecular_fingerprint,0.005981169534693728,-0.0010697738538192189,24,4,morgan_r3,ExtraTrees,,672
curing_morgan_r3_39,molecular_fingerprint,0.0056809770663616005,-0.0011902083736494422,25,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_183,molecular_fingerprint,0.0055141432766195415,-0.0005561940848263374,26,4,morgan_r3,ExtraTrees,,672
P_B_loading_ratio,formulation_loading,0.005398031014751909,-0.00018943362537959015,27,4,morgan_r3,ExtraTrees,,672
P_Si_loading_ratio,formulation_loading,0.0053479628109875475,0.00035195709199688875,28,4,morgan_r3,ExtraTrees,,672
Has_P,elemental_composition,0.00525627598013999,-0.001975537107095735,29,4,morgan_r3,ExtraTrees,,672
curing_morgan_r3_89,molecular_fingerprint,0.004943094981472853,-0.0009507886625297599,30,4,morgan_r3,ExtraTrees,,672
P_Si_loading_sum,formulation_loading,0.00493221517298672,-0.00043319286080505023,31,4,morgan_r3,ExtraTrees,,672
Main_FR_fraction,formulation_loading,0.004546478248912094,-0.0017683530905935009,32,4,morgan_r3,ExtraTrees,,672
P_x_curing_FractionCSP3,molecular_descriptor,0.004522955288789345,-0.00034497303346762894,33,4,morgan_r3,ExtraTrees,,672
P_S_loading_ratio,formulation_loading,0.004483992578793809,0.000515638854488384,34,4,morgan_r3,ExtraTrees,,672
P_content_log,elemental_composition,0.0044566862896250736,0.0011457908144884108,35,4,morgan_r3,ExtraTrees,,672
P_x_curing_TPSA,molecular_descriptor,0.004397120079789639,-0.0003455606263914509,36,4,morgan_r3,ExtraTrees,,672
N_loading_real,formulation_loading,0.00437748345471429,0.00039243364276542365,37,4,morgan_r3,ExtraTrees,,672
P_content_sq,elemental_composition,0.004366682502278108,0.00012997986925076356,38,4,morgan_r3,ExtraTrees,,672
Synergy_flag(single=0&synergy=1),other,0.004317807051715777,-0.000659994837942119,39,4,morgan_r3,ExtraTrees,,672
curing_morgan_r3_80,molecular_fingerprint,0.004104379793805718,-0.000891824777287458,40,4,morgan_r3,ExtraTrees,,672
curing_morgan_r3_138,molecular_fingerprint,0.003951598580214233,-0.0006727332287793949,41,4,morgan_r3,ExtraTrees,,672
N_content wt%,elemental_composition,0.003920649826034778,0.000415393038202837,42,4,morgan_r3,ExtraTrees,,672
P_loading_real_sq,formulation_loading,0.003878204128988679,0.0004775755277765202,43,4,morgan_r3,ExtraTrees,,672
P_x_curing_HBA,molecular_descriptor,0.0037429297861295715,-0.0001061334318091016,44,4,morgan_r3,ExtraTrees,,672
curing_NOCount,molecular_descriptor,0.003693741072099909,-0.0005709107620634135,45,4,morgan_r3,ExtraTrees,,672
N_content_wt%_sqrt,elemental_composition,0.0036562854859369365,0.0001673245221713652,46,4,morgan_r3,ExtraTrees,,672
P_N_loading_product,formulation_loading,0.00364974102508688,0.0003482525856773726,47,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_326,molecular_fingerprint,0.0031495572758424126,-0.0006702804654831982,48,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_414,molecular_fingerprint,0.0028821514187905425,-0.00138185853974857,49,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_80,molecular_fingerprint,0.002796389517066148,-0.00026463454209268793,50,4,morgan_r3,ExtraTrees,,672
main_BalabanJ,other,0.002692497436758817,-0.0006933561798381603,51,4,morgan_r3,ExtraTrees,,672
N_content_wt%_sq,elemental_composition,0.002658466070163803,0.0008050854731894338,52,4,morgan_r3,ExtraTrees,,672
curing_LogP,molecular_descriptor,0.0025915084953140864,-0.0004942460107457056,53,4,morgan_r3,ExtraTrees,,672
curing_NumHeteroAtoms,molecular_descriptor,0.002443984092153452,-0.0005832499297573202,54,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_133,molecular_fingerprint,0.0024243808110334924,-0.0007176263351176083,55,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_182,molecular_fingerprint,0.002314879258080526,-0.002314879258080526,56,4,morgan_r3,ExtraTrees,,672
CuringAgent_Has_S,molecular_descriptor,0.0023016667453708796,-4.656563016782109e-05,57,4,morgan_r3,ExtraTrees,,672
curing_HBA,molecular_descriptor,0.0022742301503416553,-0.00041432921843068013,58,4,morgan_r3,ExtraTrees,,672
Synergy_type_P-N,other,0.0022640359886030564,-0.0002425674626608733,59,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_121,molecular_fingerprint,0.002238024240869549,-0.0005407028449455385,60,4,morgan_r3,ExtraTrees,,672
S_content_wt%_sqrt,elemental_composition,0.0021049297578410154,-0.0016699409184961188,61,4,morgan_r3,ExtraTrees,,672
