feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
EP_matrix_THR,ep_baseline,3.347602687660149,3.347602687660149,0.2963803941115637,0.2963803941115637,1.0,1.0,0.6,0.4,3.2,5,5,Medium
Synergy_x_EP_matrix_THR,formulation_interaction,2.43863343568283,3.048291794603537,-0.3671793062409156,-0.4589741328011446,0.8,0.8,0.75,0.25,9.6,4,5,Medium
EP_matrix_THR_sq,ep_baseline,2.3784987258529293,2.3784987258529293,-0.1694585885395812,-0.1694585885395812,1.0,1.0,0.6,0.4,3.6,5,5,Medium
EP_matrix_THR_sqrt,ep_baseline,1.929207209258912,1.929207209258912,-0.262527077823888,-0.262527077823888,1.0,0.8,0.6,0.4,8.2,5,5,Medium
P_x_CuringAgent_Has_S,molecular_descriptor,1.523937209817703,1.523937209817703,0.0671159103139856,0.0671159103139856,1.0,1.0,0.6,0.6,5.0,5,5,Medium
Main_FR_fraction,formulation_loading,1.4992342137489658,1.4992342137489658,0.062239591717442,0.062239591717442,1.0,0.6,0.6666666666666666,0.6666666666666666,14.8,5,5,Medium
P_x_curing_LogP,molecular_descriptor,1.3458845468765612,1.3458845468765612,-0.1275378083036738,-0.1275378083036738,1.0,1.0,0.8,0.2,7.0,5,5,High
P_x_curing_RingCount,molecular_descriptor,0.8961758707325762,0.8961758707325762,0.0070118584135242,0.0070118584135242,1.0,0.8,0.5,0.5,14.6,5,5,Low
Has_P,elemental_composition,0.8803551192904511,0.8803551192904511,0.0496810577801531,0.0496810577801531,1.0,0.4,0.6666666666666666,0.6666666666666666,18.8,5,5,Low
main_BalabanJ,other,0.8082861971226569,1.3471436618710948,-0.2750217341302477,-0.4583695568837462,0.6,0.6,1.0,0.0,19.4,3,5,Low
P_x_curing_TPSA,molecular_descriptor,0.7939261879659099,0.7939261879659099,0.0010772952839857,0.0010772952839857,1.0,1.0,0.6,0.4,10.4,5,5,Medium
P_x_curing_HBA,molecular_descriptor,0.7927312184398762,0.7927312184398762,-0.0819181053004914,-0.0819181053004914,1.0,1.0,0.6,0.6,10.8,5,5,Medium
P_loading_real_sqrt,formulation_loading,0.7506064517460281,0.7506064517460281,0.0031551194196316,0.0031551194196316,1.0,0.8,0.6,0.4,13.0,5,5,Medium
N_loading_real_sqrt,formulation_loading,0.547191068538355,0.547191068538355,-0.026658234386424,-0.026658234386424,1.0,0.8,0.8,0.2,14.8,5,5,High
Loading_total_FR wt%,formulation_loading,0.4865199349737598,0.4865199349737598,-0.0905255654276493,-0.0905255654276493,1.0,0.8,0.8,0.2,15.8,5,5,High
P_x_curing_MolWt,molecular_descriptor,0.4823076634937015,0.4823076634937015,0.00515346437773,0.00515346437773,1.0,1.0,0.6,0.4,13.6,5,5,Medium
Loading_total_FR_sqrt,formulation_loading,0.4495413910422928,0.4495413910422928,-0.0589051261820855,-0.0589051261820855,1.0,0.8,0.8,0.2,15.0,5,5,High
Loading_x_Synergy,formulation_loading,0.3393623874516377,0.4242029843145471,0.0024684365950445,0.0030855457438057,0.8,0.4,0.75,0.75,21.6,4,5,Low
N_content wt%,elemental_composition,0.3139277746529079,0.3139277746529079,0.0359687826722234,0.0359687826722234,1.0,0.4,0.6,0.6,20.2,5,5,Low
