feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
P_x_CuringAgent_Has_N,molecular_descriptor,0.0120358207946915,0.0120358207946915,-0.0014413189230519,-0.0014413189230519,1.0,1.0,1.0,0.0,8.2,5,5,High
P_loading_x_Synergy,formulation_loading,0.0117135353648807,0.0117135353648807,-0.0008256591700151,-0.0008256591700151,1.0,1.0,0.8,0.2,13.2,5,5,High
P_B_loading_sum,formulation_loading,0.0114161186242486,0.0114161186242486,-0.0014114809048391,-0.0014114809048391,1.0,0.4,0.6,0.4,22.2,5,5,Low
P_x_curing_LogP,molecular_descriptor,0.0110059049794027,0.0110059049794027,-0.001669943194897,-0.001669943194897,1.0,1.0,1.0,0.0,12.8,5,5,High
P_x_curing_AromaticRings,molecular_descriptor,0.010965772587001,0.010965772587001,-0.0011006305567049,-0.0011006305567049,1.0,1.0,0.8,0.2,7.2,5,5,High
P_x_curing_HBD,molecular_descriptor,0.010924584039996,0.010924584039996,-0.0014142471016913,-0.0014142471016913,1.0,1.0,0.8,0.2,7.4,5,5,High
P_N_loading_sum,formulation_loading,0.0105209260388066,0.0105209260388066,-0.0022635401447302,-0.0022635401447302,1.0,0.2,0.8,0.2,24.0,5,5,Low
main_morgan_r3_128,molecular_fingerprint,0.0091860941569908,0.0091860941569908,-0.0006566603541135,-0.0006566603541135,1.0,0.6,1.0,0.0,47.6,5,5,Medium
P_x_curing_FractionCSP3,molecular_descriptor,0.0089499485003468,0.0089499485003468,-0.0005255604651243,-0.0005255604651243,1.0,0.2,1.0,0.0,28.4,5,5,Low
Loading_total_FR_sqrt,formulation_loading,0.0086900764266418,0.0086900764266418,-0.001639947858402,-0.001639947858402,1.0,0.8,1.0,0.0,25.8,5,5,High
Loading_x_Synergy,formulation_loading,0.0084576148109187,0.0084576148109187,-0.0010847438783758,-0.0010847438783758,1.0,1.0,0.8,0.2,9.8,5,5,High
