task,outer_fold,AD_zone,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high
LOI,1,In_domain,19,0.7365184958922628,2.389912240901874,1.798724261535836,1.0779682548623555,,
LOI,1,Caution,68,0.6562574112136468,2.675637559909952,2.068667520613118,1.6780292206898793,,
LOI,1,Extrapolation,33,0.6709330735022345,3.292910545068507,2.602629593780674,1.8585057375485157,,
LOI,2,In_domain,28,0.8024042236937547,1.506137417064422,1.1955040113333537,1.218423030382846,,
LOI,2,Caution,58,0.605616111181579,2.272572805586686,1.6876898833840395,1.0227199320690232,,
LOI,2,Extrapolation,34,0.7684324799718366,2.5804371587612263,1.8402861042100869,1.133331710480288,,
LOI,3,In_domain,45,0.7046194490403666,2.3042126891204098,1.7785155780700905,1.2679779707719234,,
LOI,3,Caution,53,0.7350099289467089,2.1283725915880027,1.6692945708300302,1.531896529530549,,
LOI,3,Extrapolation,22,0.7315517014816608,2.6958167408647267,2.3331622924029882,2.3690729727510416,,
LOI,4,In_domain,15,0.8960419826069856,1.133555828848156,0.9519766324494625,0.7651176825855934,,
LOI,4,Caution,79,0.7923656850988999,2.300929044195476,1.7160305268969707,1.4646826578701422,,
LOI,4,Extrapolation,26,0.6442434733685325,2.8438397806114666,2.1859929331934635,1.5829580609788074,,
LOI,5,In_domain,36,0.6202100087083472,3.182723020681142,2.3396600072623346,1.4705581441574864,,
LOI,5,Caution,62,0.7100272326182332,3.6051614287766616,2.981034064349037,2.439753336842564,,
LOI,5,Extrapolation,21,0.7297012207762805,2.5322681354653875,2.0133791169119024,1.411550457172929,,
