task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high,reliable_threshold,caution_threshold
LOI,AD_zone_temp,Caution,268,0.7298750403703169,2.8733167367458456,2.200769918078832,1.7419800704835868,,,0.6,0.35
LOI,AD_zone_temp,Extrapolation,28,0.7291406819211061,2.3688634622845024,1.7909916653338236,1.3516842381047791,,,0.6,0.35
LOI,AD_zone_temp,In_domain,303,0.7001347453551761,2.413349595456794,1.8236230104580549,1.4511787449815046,,,0.6,0.35
LOI,AD_zone_temp,Caution,236,0.7331925737997883,2.8566292065596217,2.170806969802715,1.6752616158799682,,,0.6,0.4
LOI,AD_zone_temp,Extrapolation,60,0.6951996171493784,2.7199226874515143,2.1273943300172222,1.71238673488733,,,0.6,0.4
LOI,AD_zone_temp,In_domain,303,0.7001347453551761,2.413349595456794,1.8236230104580549,1.4511787449815046,,,0.6,0.4
LOI,AD_zone_temp,Caution,207,0.7439597303826693,2.842735862580062,2.1523384792482427,1.5850740740740576,,,0.6,0.45
LOI,AD_zone_temp,Extrapolation,89,0.6838511627243974,2.798312650452709,2.1844948255066052,1.7995481481481086,,,0.6,0.45
LOI,AD_zone_temp,In_domain,303,0.7001347453551761,2.413349595456794,1.8236230104580549,1.4511787449815046,,,0.6,0.45
LOI,AD_zone_temp,Caution,160,0.7406783475308839,2.8291765504251134,2.13157032740952,1.5490672619591166,,,0.6,0.5
LOI,AD_zone_temp,Extrapolation,136,0.7141854905122766,2.82977648384153,2.1978150903599336,1.7808338840493434,,,0.6,0.5
LOI,AD_zone_temp,In_domain,303,0.7001347453551761,2.413349595456794,1.8236230104580549,1.4511787449815046,,,0.6,0.5
LOI,AD_zone_temp,Caution,83,0.7505940797829886,3.115985958194149,2.387232518891362,1.7985072280882548,,,0.6,0.55
LOI,AD_zone_temp,Extrapolation,213,0.7125030970310707,2.709606593367125,2.0742432188098174,1.5850740740740576,,,0.6,0.55
LOI,AD_zone_temp,In_domain,303,0.7001347453551761,2.413349595456794,1.8236230104580549,1.4511787449815046,,,0.6,0.55
LOI,AD_zone_temp,Caution,353,0.7189234210093682,2.818181527801345,2.167503786565631,1.7071556218525572,,,0.65,0.35
LOI,AD_zone_temp,Extrapolation,28,0.7291406819211061,2.3688634622845024,1.7909916653338236,1.3516842381047791,,,0.65,0.35
LOI,AD_zone_temp,In_domain,218,0.7139226141288666,2.320398243462813,1.7304370346616975,1.3134866969003305,,,0.65,0.35
LOI,AD_zone_temp,Caution,321,0.7203871735623086,2.8001010017302157,2.14215870244854,1.6261528386925725,,,0.65,0.4
LOI,AD_zone_temp,Extrapolation,60,0.6951996171493784,2.7199226874515143,2.1273943300172222,1.71238673488733,,,0.65,0.4
LOI,AD_zone_temp,In_domain,218,0.7139226141288666,2.320398243462813,1.7304370346616975,1.3134866969003305,,,0.65,0.4
LOI,AD_zone_temp,Caution,292,0.7277691776380235,2.7843625541030397,2.126221108962078,1.6046908409061587,,,0.65,0.45
LOI,AD_zone_temp,Extrapolation,89,0.6838511627243974,2.798312650452709,2.1844948255066052,1.7995481481481086,,,0.65,0.45
LOI,AD_zone_temp,In_domain,218,0.7139226141288666,2.320398243462813,1.7304370346616975,1.3134866969003305,,,0.65,0.45
LOI,AD_zone_temp,Caution,245,0.7215295773627686,2.7639530818925637,2.1076479632574032,1.5850740740740576,,,0.65,0.5
LOI,AD_zone_temp,Extrapolation,136,0.7141854905122766,2.82977648384153,2.1978150903599336,1.7808338840493434,,,0.65,0.5
LOI,AD_zone_temp,In_domain,218,0.7139226141288666,2.320398243462813,1.7304370346616975,1.3134866969003305,,,0.65,0.5
LOI,AD_zone_temp,Caution,168,0.7227590030385858,2.883513449628145,2.22299284333645,1.7167403783280548,,,0.65,0.55
LOI,AD_zone_temp,Extrapolation,213,0.7125030970310707,2.709606593367125,2.0742432188098174,1.5850740740740576,,,0.65,0.55
LOI,AD_zone_temp,In_domain,218,0.7139226141288666,2.320398243462813,1.7304370346616975,1.3134866969003305,,,0.65,0.55
LOI,AD_zone_temp,Caution,85,0.6683861469140371,2.636806410559557,2.0626176307357724,1.617382885343961,,,0.65,0.6
LOI,AD_zone_temp,Extrapolation,296,0.7299297573714865,2.829452211304408,2.162007110386737,1.6752616158799682,,,0.65,0.6
LOI,AD_zone_temp,In_domain,218,0.7139226141288666,2.320398243462813,1.7304370346616975,1.3134866969003305,,,0.65,0.6
LOI,AD_zone_temp,Caution,428,0.7189054431496098,2.7268302974340575,2.09386361253753,1.6445093138718931,,,0.7,0.35
LOI,AD_zone_temp,Extrapolation,28,0.7291406819211061,2.3688634622845024,1.7909916653338236,1.3516842381047791,,,0.7,0.35
LOI,AD_zone_temp,In_domain,143,0.7115453718721669,2.3577067720090614,1.7216117765584253,1.2733215573108225,,,0.7,0.35
LOI,AD_zone_temp,Caution,396,0.7201926917968557,2.7041316661737995,2.067368012612062,1.6006419102841338,,,0.7,0.4
LOI,AD_zone_temp,Extrapolation,60,0.6951996171493784,2.7199226874515143,2.1273943300172222,1.71238673488733,,,0.7,0.4
LOI,AD_zone_temp,In_domain,143,0.7115453718721669,2.3577067720090614,1.7216117765584253,1.2733215573108225,,,0.7,0.4
LOI,AD_zone_temp,Caution,367,0.7265152059607227,2.6834041386574192,2.0487775294967907,1.5783159162468365,,,0.7,0.45
LOI,AD_zone_temp,Extrapolation,89,0.6838511627243974,2.798312650452709,2.1844948255066052,1.7995481481481086,,,0.7,0.45
LOI,AD_zone_temp,In_domain,143,0.7115453718721669,2.3577067720090614,1.7216117765584253,1.2733215573108225,,,0.7,0.45
LOI,AD_zone_temp,Caution,320,0.7210770820864711,2.651958196005833,2.0231829390826848,1.5688344735029602,,,0.7,0.5
LOI,AD_zone_temp,Extrapolation,136,0.7141854905122766,2.82977648384153,2.1978150903599336,1.7808338840493434,,,0.7,0.5
LOI,AD_zone_temp,In_domain,143,0.7115453718721669,2.3577067720090614,1.7216117765584253,1.2733215573108225,,,0.7,0.5
LOI,AD_zone_temp,Caution,243,0.7222963248084981,2.7032380520329307,2.076162910242464,1.6371743917037875,,,0.7,0.55
LOI,AD_zone_temp,Extrapolation,213,0.7125030970310707,2.709606593367125,2.0742432188098174,1.5850740740740576,,,0.7,0.55
LOI,AD_zone_temp,In_domain,143,0.7115453718721669,2.3577067720090614,1.7216117765584253,1.2733215573108225,,,0.7,0.55
LOI,AD_zone_temp,Caution,160,0.6900506021838433,2.4620163673805417,1.914795550755849,1.5736107169490374,,,0.7,0.6
LOI,AD_zone_temp,Extrapolation,296,0.7299297573714865,2.829452211304408,2.162007110386737,1.6752616158799682,,,0.7,0.6
