task,outer_fold,AD_zone,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high
PHRR,1,In_domain,21,0.6969935991715358,195.10777975185263,142.5641201651673,90.88025649638485,,
PHRR,1,Caution,48,0.6129188602736272,221.37326299908372,172.74951289026637,135.04525846602928,,
PHRR,1,Extrapolation,13,0.6762414957868366,115.05358494153441,98.77989934818325,108.58907395921176,,
PHRR,2,In_domain,18,0.7607656123269366,146.25496910645558,110.77383693974716,75.33806538407927,,
PHRR,2,Caution,39,0.6770083491812652,178.2125670526658,135.53413551502894,111.03335436627037,,
PHRR,2,Extrapolation,24,0.2397879768270752,251.66945442702405,186.85456480230516,191.09453874214256,,
PHRR,3,In_domain,21,-0.01824050418673684,239.3080916558678,178.5624004314087,133.44854826378946,,
PHRR,3,Caution,38,0.7515655538104385,192.5707356301655,166.16187817426638,167.21291141192341,,
PHRR,3,Extrapolation,22,0.3917797133039296,432.880773208712,291.97948947169766,148.59985467400122,,
PHRR,4,In_domain,15,0.25943495247639314,265.57481664382345,197.15644849156268,113.88229598864655,,
PHRR,4,Caution,46,0.6653565936452139,190.40022367330602,147.32222847873635,126.28379865853645,,
PHRR,4,Extrapolation,20,0.7782351229031605,140.7702742342513,113.00047390051857,99.16929004127951,,
PHRR,5,In_domain,38,0.6102194505134758,178.97689012775427,146.26315591044647,116.4831377283191,,
PHRR,5,Caution,30,0.6337537265807811,191.44896298844358,157.03872431607073,142.5428323345028,,
PHRR,5,Extrapolation,13,0.47539997750155105,270.7558601582192,192.57532017981504,66.88832914162117,,
