task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high,reliable_threshold,caution_threshold
PHRR,AD_zone_temp,Caution,187,0.6201122384099582,231.04988337036056,161.48935674655763,126.94631913987064,,,0.6,0.35
PHRR,AD_zone_temp,Extrapolation,15,0.37333465441582925,230.35907330118013,162.8240351413448,146.64644605882552,,,0.6,0.35
PHRR,AD_zone_temp,In_domain,204,0.5997985796747678,207.8692186559076,161.5082920595076,119.93524358812698,,,0.6,0.35
PHRR,AD_zone_temp,Caution,170,0.6526220261258285,222.8109196694011,154.75262711181816,118.99046332163746,,,0.6,0.4
PHRR,AD_zone_temp,Extrapolation,32,0.31356122217641635,270.36992146964377,197.90386342866748,164.56502045602227,,,0.6,0.4
PHRR,AD_zone_temp,In_domain,204,0.5997985796747678,207.8692186559076,161.5082920595076,119.93524358812698,,,0.6,0.4
PHRR,AD_zone_temp,Caution,134,0.6626971717369374,230.76816399216443,159.18430629963524,122.52911469140403,,,0.6,0.45
PHRR,AD_zone_temp,Extrapolation,68,0.44580960499778977,231.45219079291243,166.3260763908136,129.01492181200507,,,0.6,0.45
PHRR,AD_zone_temp,In_domain,204,0.5997985796747678,207.8692186559076,161.5082920595076,119.93524358812698,,,0.6,0.45
PHRR,AD_zone_temp,Caution,110,0.7010127116627758,181.27791968309194,142.59258712017663,130.36243919815817,,,0.6,0.5
PHRR,AD_zone_temp,Extrapolation,92,0.5282602661758395,279.05140890894,184.30093103811978,122.2649743413055,,,0.6,0.5
PHRR,AD_zone_temp,In_domain,204,0.5997985796747678,207.8692186559076,161.5082920595076,119.93524358812698,,,0.6,0.5
PHRR,AD_zone_temp,Caution,43,0.6531971283001375,199.99563402432605,162.09637964668298,140.28127155400932,,,0.6,0.55
PHRR,AD_zone_temp,Extrapolation,159,0.5817407363449031,238.6923459047049,161.45110637684957,117.58362954274037,,,0.6,0.55
PHRR,AD_zone_temp,In_domain,204,0.5997985796747678,207.8692186559076,161.5082920595076,119.93524358812698,,,0.6,0.55
PHRR,AD_zone_temp,Caution,242,0.6400549104361628,229.10688255771825,165.5400803376921,130.67055451839815,,,0.65,0.35
PHRR,AD_zone_temp,Extrapolation,15,0.37333465441582925,230.35907330118013,162.8240351413448,146.64644605882552,,,0.65,0.35
PHRR,AD_zone_temp,In_domain,149,0.5578682036350666,202.25252921749174,154.93625402700897,113.88229598864655,,,0.65,0.35
PHRR,AD_zone_temp,Caution,225,0.6650921343235189,222.70412975857684,160.7561615072191,129.29356851642746,,,0.65,0.4
PHRR,AD_zone_temp,Extrapolation,32,0.31356122217641635,270.36992146964377,197.90386342866748,164.56502045602227,,,0.65,0.4
PHRR,AD_zone_temp,In_domain,149,0.5578682036350666,202.25252921749174,154.93625402700897,113.88229598864655,,,0.65,0.4
PHRR,AD_zone_temp,Caution,189,0.6725433037653099,228.35717416002052,165.04172896437214,132.03894653447526,,,0.65,0.45
PHRR,AD_zone_temp,Extrapolation,68,0.44580960499778977,231.45219079291243,166.3260763908136,129.01492181200507,,,0.65,0.45
PHRR,AD_zone_temp,In_domain,149,0.5578682036350666,202.25252921749174,154.93625402700897,113.88229598864655,,,0.65,0.45
PHRR,AD_zone_temp,Caution,165,0.7085815981449568,195.93659098978543,154.83257159596752,132.85303318309525,,,0.65,0.5
PHRR,AD_zone_temp,Extrapolation,92,0.5282602661758395,279.05140890894,184.30093103811978,122.2649743413055,,,0.65,0.5
PHRR,AD_zone_temp,In_domain,149,0.5578682036350666,202.25252921749174,154.93625402700897,113.88229598864655,,,0.65,0.5
PHRR,AD_zone_temp,Caution,98,0.7089917771973677,212.8446548725068,171.75851076451613,141.14192683712128,,,0.65,0.55
PHRR,AD_zone_temp,Extrapolation,159,0.5817407363449031,238.6923459047049,161.45110637684957,117.58362954274037,,,0.65,0.55
PHRR,AD_zone_temp,In_domain,149,0.5578682036350666,202.25252921749174,154.93625402700897,113.88229598864655,,,0.65,0.55
PHRR,AD_zone_temp,Caution,55,0.6269930892995006,222.37372762274842,179.31254054754933,141.6565088928205,,,0.65,0.6
PHRR,AD_zone_temp,Extrapolation,202,0.6113787474038735,230.99865660107395,161.58846652834873,127.53318180348668,,,0.65,0.6
PHRR,AD_zone_temp,In_domain,149,0.5578682036350666,202.25252921749174,154.93625402700897,113.88229598864655,,,0.65,0.6
PHRR,AD_zone_temp,Caution,278,0.6328377924012487,225.49156297927064,165.08370015227294,129.60168383666743,,,0.7,0.35
PHRR,AD_zone_temp,Extrapolation,15,0.37333465441582925,230.35907330118013,162.8240351413448,146.64644605882552,,,0.7,0.35
PHRR,AD_zone_temp,In_domain,113,0.5584995766364477,203.1230989814056,152.68081990631816,113.86680715276395,,,0.7,0.35
PHRR,AD_zone_temp,Caution,261,0.6553031648864843,219.64874973457952,160.9299062825084,127.61474799255234,,,0.7,0.4
PHRR,AD_zone_temp,Extrapolation,32,0.31356122217641635,270.36992146964377,197.90386342866748,164.56502045602227,,,0.7,0.4
PHRR,AD_zone_temp,In_domain,113,0.5584995766364477,203.1230989814056,152.68081990631816,113.86680715276395,,,0.7,0.4
PHRR,AD_zone_temp,Caution,225,0.6612536295544821,223.98931832104654,164.5575821105632,131.4313098798889,,,0.7,0.45
PHRR,AD_zone_temp,Extrapolation,68,0.44580960499778977,231.45219079291243,166.3260763908136,129.01492181200507,,,0.7,0.45
PHRR,AD_zone_temp,In_domain,113,0.5584995766364477,203.1230989814056,152.68081990631816,113.86680715276395,,,0.7,0.45
PHRR,AD_zone_temp,Caution,201,0.6884065412448231,196.57869529084851,156.1191219599255,132.5002745854681,,,0.7,0.5
PHRR,AD_zone_temp,Extrapolation,92,0.5282602661758395,279.05140890894,184.30093103811978,122.2649743413055,,,0.7,0.5
PHRR,AD_zone_temp,In_domain,113,0.5584995766364477,203.1230989814056,152.68081990631816,113.86680715276395,,,0.7,0.5
