task,outer_fold,AD_zone,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high
THR,1,In_domain,21,0.6422278642468415,15.364538914482672,11.623512961453113,7.820101936658986,,
THR,1,Caution,39,0.20715541198837284,12.53803448904009,9.595299118916618,6.118305792885224,,
THR,1,Extrapolation,20,0.5666388746383735,16.42200680754033,10.264621137832663,4.606465855450857,,
THR,2,In_domain,22,0.5163788395635935,10.50434411768621,8.71189595374952,7.590735649775716,,
THR,2,Caution,47,0.5844188553019805,15.72572380380317,11.390325908155987,8.391545162891418,,
THR,2,Extrapolation,11,0.13225610089620743,26.12931137101494,17.91406518768981,13.322810447593142,,
THR,3,In_domain,11,0.2551032446550858,42.60885994522156,25.646292351881296,13.884476500010152,,
THR,3,Caution,40,0.5016577850156975,15.784018784763104,12.460325413541245,9.265030331429593,,
THR,3,Extrapolation,28,0.3580325564622283,19.5683077721674,12.049491010703662,8.038263336922377,,
THR,4,In_domain,15,0.7223874606841301,10.829849547794002,7.246464938271611,2.790951851852057,,
THR,4,Caution,38,0.5459093599987861,16.825348570297876,13.108361434844216,10.193700000000035,,
THR,4,Extrapolation,26,0.5989574259858539,10.465564925480063,7.85413946501905,5.273399889815931,,
THR,5,In_domain,28,0.5521104942669756,21.41446000215766,15.194833372126274,9.958938704118744,,
THR,5,Caution,34,-0.2765481566759622,25.76878173157854,17.282338268019743,11.965281744918734,,
THR,5,Extrapolation,17,0.2910082549869155,21.602122435171268,14.261886695999548,9.680069871700816,,
