task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high,reliable_threshold,caution_threshold
THR,AD_zone_temp,Caution,181,0.475158464942098,16.327648795998105,11.733895943676842,8.668228093861913,,,0.6,0.35
THR,AD_zone_temp,Extrapolation,23,0.37612275151572594,24.43768689175502,14.58460575826824,5.90834493965216,,,0.6,0.35
THR,AD_zone_temp,In_domain,193,0.4665728669356034,19.76893997098091,12.8125426571738,8.01625659316214,,,0.6,0.35
THR,AD_zone_temp,Caution,152,0.4860653749838142,17.217260882359334,12.305598915038885,8.862011847200833,,,0.6,0.4
THR,AD_zone_temp,Extrapolation,52,0.3718371220583877,18.04417991516819,11.32365506076476,7.362016047398249,,,0.6,0.4
THR,AD_zone_temp,In_domain,193,0.4665728669356034,19.76893997098091,12.8125426571738,8.01625659316214,,,0.6,0.4
THR,AD_zone_temp,Caution,136,0.4875954002584332,17.67253454242876,12.624178350651754,9.54151142171979,,,0.6,0.45
THR,AD_zone_temp,Extrapolation,68,0.3617164478687739,16.939977252563693,10.917541802309403,6.98332467683327,,,0.6,0.45
THR,AD_zone_temp,In_domain,193,0.4665728669356034,19.76893997098091,12.8125426571738,8.01625659316214,,,0.6,0.45
THR,AD_zone_temp,Caution,102,0.49634435139917477,16.44433816637454,12.479299119629866,10.325730527563707,,,0.6,0.5
THR,AD_zone_temp,Extrapolation,102,0.4219319640392648,18.366189897543208,11.631299882778743,6.855837772256137,,,0.6,0.5
THR,AD_zone_temp,In_domain,193,0.4665728669356034,19.76893997098091,12.8125426571738,8.01625659316214,,,0.6,0.5
THR,AD_zone_temp,Caution,43,0.2602375366523635,15.693609974227863,11.94655361746638,8.60386296296285,,,0.6,0.55
THR,AD_zone_temp,Extrapolation,161,0.4773388962931434,17.867410449486677,12.084343432885861,8.455942462276568,,,0.6,0.55
THR,AD_zone_temp,In_domain,193,0.4665728669356034,19.76893997098091,12.8125426571738,8.01625659316214,,,0.6,0.55
THR,AD_zone_temp,Caution,246,0.3861563220591958,17.587688878770795,12.305711765820647,8.68872732050255,,,0.65,0.35
THR,AD_zone_temp,Extrapolation,23,0.37612275151572594,24.43768689175502,14.58460575826824,5.90834493965216,,,0.65,0.35
THR,AD_zone_temp,In_domain,128,0.5570808588487988,19.281082987664004,12.261334408188851,7.772706177869978,,,0.65,0.35
THR,AD_zone_temp,Caution,217,0.3916759672153124,18.328693598599504,12.782585086047376,9.002933333333345,,,0.65,0.4
THR,AD_zone_temp,Extrapolation,52,0.3718371220583877,18.04417991516819,11.32365506076476,7.362016047398249,,,0.65,0.4
THR,AD_zone_temp,In_domain,128,0.5570808588487988,19.281082987664004,12.261334408188851,7.772706177869978,,,0.65,0.4
THR,AD_zone_temp,Caution,201,0.39088896013091856,18.703836420311198,13.036110369527409,9.609226547143194,,,0.65,0.45
THR,AD_zone_temp,Extrapolation,68,0.3617164478687739,16.939977252563693,10.917541802309403,6.98332467683327,,,0.65,0.45
THR,AD_zone_temp,In_domain,128,0.5570808588487988,19.281082987664004,12.261334408188851,7.772706177869978,,,0.65,0.45
THR,AD_zone_temp,Caution,167,0.36088395536142703,18.21752762957028,13.031487657416866,10.136559259259286,,,0.65,0.5
THR,AD_zone_temp,Extrapolation,102,0.4219319640392648,18.366189897543208,11.631299882778743,6.855837772256137,,,0.65,0.5
THR,AD_zone_temp,In_domain,128,0.5570808588487988,19.281082987664004,12.261334408188851,7.772706177869978,,,0.65,0.5
THR,AD_zone_temp,Caution,108,0.17658346069697806,18.86395345491969,13.121034575346526,8.803398148148098,,,0.65,0.55
THR,AD_zone_temp,Extrapolation,161,0.4773388962931434,17.867410449486677,12.084343432885861,8.455942462276568,,,0.65,0.55
THR,AD_zone_temp,In_domain,128,0.5570808588487988,19.281082987664004,12.261334408188851,7.772706177869978,,,0.65,0.55
THR,AD_zone_temp,Caution,65,0.1282332166759529,20.69604940805249,13.897998901328776,9.632810447593144,,,0.65,0.6
THR,AD_zone_temp,Extrapolation,204,0.45933233878655577,17.431769690463163,12.055299501204304,8.529902712619709,,,0.65,0.6
THR,AD_zone_temp,In_domain,128,0.5570808588487988,19.281082987664004,12.261334408188851,7.772706177869978,,,0.65,0.6
THR,AD_zone_temp,Caution,277,0.40977636034814635,17.17656998494307,12.074508632139864,8.475233227697544,,,0.7,0.35
THR,AD_zone_temp,Extrapolation,23,0.37612275151572594,24.43768689175502,14.58460575826824,5.90834493965216,,,0.7,0.35
THR,AD_zone_temp,In_domain,97,0.5378115311575212,20.797284051074683,12.907391830281538,8.01625659316214,,,0.7,0.35
THR,AD_zone_temp,Caution,248,0.4156604412866056,17.794682319137245,12.464736937028809,8.483989710291759,,,0.7,0.4
THR,AD_zone_temp,Extrapolation,52,0.3718371220583877,18.04417991516819,11.32365506076476,7.362016047398249,,,0.7,0.4
THR,AD_zone_temp,In_domain,97,0.5378115311575212,20.797284051074683,12.907391830281538,8.01625659316214,,,0.7,0.4
THR,AD_zone_temp,Caution,232,0.41635765321426044,18.092996379894156,12.662465435283934,8.548304577924412,,,0.7,0.45
THR,AD_zone_temp,Extrapolation,68,0.3617164478687739,16.939977252563693,10.917541802309403,6.98332467683327,,,0.7,0.45
THR,AD_zone_temp,In_domain,97,0.5378115311575212,20.797284051074683,12.907391830281538,8.01625659316214,,,0.7,0.45
THR,AD_zone_temp,Caution,198,0.3965721880784573,17.559977677138708,12.594405229795356,8.961883724524668,,,0.7,0.5
THR,AD_zone_temp,Extrapolation,102,0.4219319640392648,18.366189897543208,11.631299882778743,6.855837772256137,,,0.7,0.5
THR,AD_zone_temp,In_domain,97,0.5378115311575212,20.797284051074683,12.907391830281538,8.01625659316214,,,0.7,0.5
THR,AD_zone_temp,Caution,139,0.279312234273681,17.80426010511809,12.47845705646251,8.326677777777789,,,0.7,0.55
THR,AD_zone_temp,Extrapolation,161,0.4773388962931434,17.867410449486677,12.084343432885861,8.455942462276568,,,0.7,0.55
THR,AD_zone_temp,In_domain,97,0.5378115311575212,20.797284051074683,12.907391830281538,8.01625659316214,,,0.7,0.55
THR,AD_zone_temp,Caution,96,0.2783019886531478,18.672450541007134,12.716705471846192,7.949189000329824,,,0.7,0.6
THR,AD_zone_temp,Extrapolation,204,0.45933233878655577,17.431769690463163,12.055299501204304,8.529902712619709,,,0.7,0.6
THR,AD_zone_temp,In_domain,97,0.5378115311575212,20.797284051074683,12.907391830281538,8.01625659316214,,,0.7,0.6
THR,AD_zone_temp,Caution,323,0.44792783881974574,16.67377917986895,11.811328913776626,8.455942462276568,,,0.75,0.35
