task,outer_fold,AD_zone,n,Accuracy,Balanced_Accuracy,Macro_F1,ROC_AUC,PR_AUC,Brier,ECE,Accuracy_bootstrap_CI_low,Accuracy_bootstrap_CI_high
UL94_V0,1,In_domain,31,0.7741935483870968,0.7850877192982456,0.7703703703703704,0.9078947368421053,0.9134106126096974,0.13734460506111168,0.22308549107497921,,
UL94_V0,1,Caution,47,0.8297872340425532,0.8518518518518519,0.8297101449275363,0.9555555555555556,0.9473544501307662,0.11231474511683306,0.1728527764950289,,
UL94_V0,1,Extrapolation,36,0.8333333333333334,0.8359133126934984,0.8333333333333334,0.9411764705882353,0.9512615990706295,0.13359449667683754,0.16442180084044242,,
UL94_V0,2,In_domain,29,0.7586206896551724,0.7944444444444444,0.7478260869565218,0.8277777777777777,0.536363944697278,0.1913216992622548,0.2276694971231048,,
UL94_V0,2,Caution,57,0.7543859649122807,0.7518518518518519,0.7524813895781637,0.8444444444444444,0.7901363305480269,0.16662331575022013,0.17513601247515737,,
UL94_V0,2,Extrapolation,24,0.7083333333333334,0.6642857142857144,0.6606060606060606,0.8142857142857143,0.6938866688866688,0.19447400774372184,0.250328545869293,,
UL94_V0,3,In_domain,30,0.8666666666666667,0.8552036199095023,0.8611111111111112,0.9140271493212669,0.9063701873924543,0.13753073465454732,0.1622562438265996,,
UL94_V0,3,Caution,74,0.8108108108108109,0.8135964912280702,0.8095588235294118,0.8742690058479532,0.8506336993718727,0.14852254000579795,0.13352389384653174,,
UL94_V0,3,Extrapolation,24,0.6666666666666666,0.711111111111111,0.6666666666666666,0.7259259259259259,0.5948470012195501,0.20237513759820736,0.17254475415240364,,
UL94_V0,4,In_domain,19,0.8947368421052632,0.8944444444444444,0.8944444444444444,0.9777777777777779,0.9751543209876543,0.09490234237470867,0.19983196554363233,,
UL94_V0,4,Caution,55,0.7272727272727273,0.7275132275132274,0.7272727272727273,0.8452380952380953,0.8002054790647501,0.16579877024458872,0.13165290208033176,,
UL94_V0,4,Extrapolation,42,0.7380952380952381,0.7334096109839817,0.7343300747556067,0.8466819221967964,0.8206348791902645,0.16484401364648193,0.08798105962026771,,
UL94_V0,5,In_domain,40,0.775,0.8269230769230769,0.7737272155876807,0.8846153846153846,0.6906550615584228,0.16239578600123972,0.17878886041486555,,
UL94_V0,5,Caution,70,0.8,0.8214285714285714,0.7993447993447993,0.898809523809524,0.8136428451369384,0.1269381441567673,0.09529906737654009,,
UL94_V0,5,Extrapolation,21,0.7619047619047619,0.8076923076923077,0.7619047619047619,0.8461538461538461,0.7619148212898212,0.15252501400359533,0.1728729060523221,,
