task,grouping,group,n,Accuracy,Balanced_Accuracy,Macro_F1,ROC_AUC,PR_AUC,Brier,ECE,Accuracy_bootstrap_CI_low,Accuracy_bootstrap_CI_high,reliable_threshold,caution_threshold
UL94_V0,AD_zone_temp,Caution,281,0.7615658362989324,0.7640966921119593,0.7615175121920325,0.8319083969465649,0.7515210557547118,0.16252847377526883,0.06222340064776275,,,0.6,0.35
UL94_V0,AD_zone_temp,Extrapolation,28,0.6071428571428571,0.6122994652406417,0.6025806451612903,0.7112299465240641,0.6616340331651337,0.2067291720407745,0.1985415687021952,,,0.6,0.35
UL94_V0,AD_zone_temp,In_domain,290,0.8172413793103448,0.8258636788048552,0.8153953326367119,0.8843677822005994,0.7476667508598708,0.13449599910766255,0.06891444196753146,,,0.6,0.35
UL94_V0,AD_zone_temp,Caution,244,0.7745901639344263,0.7792847503373819,0.7744954714254508,0.8376518218623481,0.7572950684473547,0.15728507394110328,0.05940101675415821,,,0.6,0.4
UL94_V0,AD_zone_temp,Extrapolation,65,0.6461538461538462,0.6327220077220077,0.6336682185738789,0.7557915057915058,0.6777076129101134,0.2012516908671234,0.15628582062928606,,,0.6,0.4
UL94_V0,AD_zone_temp,In_domain,290,0.8172413793103448,0.8258636788048552,0.8153953326367119,0.8843677822005994,0.7476667508598708,0.13449599910766255,0.06891444196753146,,,0.6,0.4
UL94_V0,AD_zone_temp,Caution,212,0.7688679245283019,0.7709539502983878,0.7682439818843005,0.8312995457379532,0.763671100202145,0.16019336423621036,0.07758414285941448,,,0.6,0.45
UL94_V0,AD_zone_temp,Extrapolation,97,0.7010309278350515,0.6912024756852344,0.6903687396807925,0.7939876215738284,0.69279028703444,0.18039097659706843,0.08436566777346777,,,0.6,0.45
UL94_V0,AD_zone_temp,In_domain,290,0.8172413793103448,0.8258636788048552,0.8153953326367119,0.8843677822005994,0.7476667508598708,0.13449599910766255,0.06891444196753146,,,0.6,0.45
UL94_V0,AD_zone_temp,Caution,162,0.7469135802469136,0.7508785332314745,0.746440160335942,0.8210847975553858,0.7502674897250833,0.1666584118036545,0.09937867065789942,,,0.6,0.5
UL94_V0,AD_zone_temp,Extrapolation,147,0.7482993197278912,0.7472795497185741,0.7459954233409611,0.8296435272045029,0.7597910540261505,0.16639629412108978,0.05009009926395301,,,0.6,0.5
UL94_V0,AD_zone_temp,In_domain,290,0.8172413793103448,0.8258636788048552,0.8153953326367119,0.8843677822005994,0.7476667508598708,0.13449599910766255,0.06891444196753146,,,0.6,0.5
UL94_V0,AD_zone_temp,Caution,81,0.7654320987654321,0.7670731707317073,0.7618015787029871,0.8475609756097562,0.8049599760185903,0.15349340501325986,0.1268972303145686,,,0.6,0.55
UL94_V0,AD_zone_temp,Extrapolation,228,0.7412280701754386,0.7415966386554622,0.7397814101944096,0.816604419545596,0.7108318433283121,0.171166456762799,0.0634611142186892,,,0.6,0.55
UL94_V0,AD_zone_temp,In_domain,290,0.8172413793103448,0.8258636788048552,0.8153953326367119,0.8843677822005994,0.7476667508598708,0.13449599910766255,0.06891444196753146,,,0.6,0.55
UL94_V0,AD_zone_temp,Caution,364,0.7939560439560439,0.7962088178294574,0.7939544888486358,0.8577095445736433,0.7871691870569897,0.14857344790289703,0.06295004832572851,,,0.65,0.35
UL94_V0,AD_zone_temp,Extrapolation,28,0.6071428571428571,0.6122994652406417,0.6025806451612903,0.7112299465240641,0.6616340331651337,0.2067291720407745,0.1985415687021952,,,0.65,0.35
UL94_V0,AD_zone_temp,In_domain,207,0.782608695652174,0.7926356589147288,0.7772863120143455,0.8633472470681773,0.6909842647595358,0.1477951972725515,0.07818780010601036,,,0.65,0.35
UL94_V0,AD_zone_temp,Caution,327,0.8073394495412844,0.8108027006751688,0.8072240677490291,0.8638409602400601,0.7938196241146496,0.14308193256095772,0.06229334475962014,,,0.65,0.4
UL94_V0,AD_zone_temp,Extrapolation,65,0.6461538461538462,0.6327220077220077,0.6336682185738789,0.7557915057915058,0.6777076129101134,0.2012516908671234,0.15628582062928606,,,0.65,0.4
UL94_V0,AD_zone_temp,In_domain,207,0.782608695652174,0.7926356589147288,0.7772863120143455,0.8633472470681773,0.6909842647595358,0.1477951972725515,0.07818780010601036,,,0.65,0.4
UL94_V0,AD_zone_temp,Caution,295,0.8067796610169492,0.8083609271523179,0.8063435027467781,0.8620768947755704,0.8004881509303748,0.14363127838603582,0.06985128988068862,,,0.65,0.45
UL94_V0,AD_zone_temp,Extrapolation,97,0.7010309278350515,0.6912024756852344,0.6903687396807925,0.7939876215738284,0.69279028703444,0.18039097659706843,0.08436566777346777,,,0.65,0.45
UL94_V0,AD_zone_temp,In_domain,207,0.782608695652174,0.7926356589147288,0.7772863120143455,0.8633472470681773,0.6909842647595358,0.1477951972725515,0.07818780010601036,,,0.65,0.45
UL94_V0,AD_zone_temp,Caution,245,0.8,0.8025824102495662,0.7996662494785148,0.8592686507406914,0.795017792398854,0.14452610864488166,0.06751762689324517,,,0.65,0.5
UL94_V0,AD_zone_temp,Extrapolation,147,0.7482993197278912,0.7472795497185741,0.7459954233409611,0.8296435272045029,0.7597910540261505,0.16639629412108978,0.05009009926395301,,,0.65,0.5
UL94_V0,AD_zone_temp,In_domain,207,0.782608695652174,0.7926356589147288,0.7772863120143455,0.8633472470681773,0.6909842647595358,0.1477951972725515,0.07818780010601036,,,0.65,0.5
UL94_V0,AD_zone_temp,Caution,164,0.8353658536585366,0.8364569388665775,0.8343248400493882,0.8853190539937528,0.8358088100586702,0.12709268116998798,0.0916932009249284,,,0.65,0.55
UL94_V0,AD_zone_temp,Extrapolation,228,0.7412280701754386,0.7415966386554622,0.7397814101944096,0.816604419545596,0.7108318433283121,0.171166456762799,0.0634611142186892,,,0.65,0.55
UL94_V0,AD_zone_temp,In_domain,207,0.782608695652174,0.7926356589147288,0.7772863120143455,0.8633472470681773,0.6909842647595358,0.1477951972725515,0.07818780010601036,,,0.65,0.55
UL94_V0,AD_zone_temp,Caution,83,0.9036144578313253,0.9041811846689896,0.9034883720930232,0.9396051103368176,0.9024991427627843,0.10132811934703587,0.13685348019998544,,,0.65,0.6
