task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high,Accuracy,Balanced_Accuracy,Macro_F1,ROC_AUC,PR_AUC,Brier,ECE,Accuracy_bootstrap_CI_low,Accuracy_bootstrap_CI_high
LOI,AD_zone,In_domain,143,0.7115453718721669,2.3577067720090614,1.7216117765584253,1.2733215573108225,1.4638030949825318,1.9831153928106435,,,,,,,,,
LOI,AD_zone,Caution,320,0.7210770820864711,2.651958196005833,2.0231829390826848,1.5688344735029602,1.832943001799623,2.210273528814966,,,,,,,,,
LOI,AD_zone,Extrapolation,136,0.7141854905122766,2.82977648384153,2.1978150903599336,1.7808338840493434,1.9218579753755372,2.5185303444436062,,,,,,,,,
PHRR,AD_zone,In_domain,113,0.5584995766364477,203.1230989814056,152.68081990631816,113.86680715276395,128.58218941255907,177.26676357390096,,,,,,,,,
PHRR,AD_zone,Caution,201,0.6884065412448231,196.57869529084851,156.1191219599255,132.5002745854681,141.40321905784094,172.67242812237563,,,,,,,,,
PHRR,AD_zone,Extrapolation,92,0.5282602661758395,279.05140890894,184.30093103811978,122.2649743413055,144.42889153653277,227.72141000995447,,,,,,,,,
THR,AD_zone,In_domain,97,0.5378115311575212,20.797284051074683,12.907391830281538,8.01625659316214,10.08111395519617,16.49547304769074,,,,,,,,,
THR,AD_zone,Caution,198,0.3965721880784573,17.559977677138708,12.594405229795356,8.961883724524668,10.977494317725188,14.491347564592399,,,,,,,,,
THR,AD_zone,Extrapolation,102,0.4219319640392648,18.366189897543208,11.631299882778743,6.855837772256137,9.02103578941832,14.682696839258494,,,,,,,,,
UL94_V0,AD_zone,In_domain,149,,,,,,,0.8053691275167785,0.8190312738367658,0.8017980826567589,0.8573607932875668,0.6747907482846045,0.1492007383913109,0.09454651499559999,0.7449664429530202,0.8657718120805369
UL94_V0,AD_zone,Caution,303,,,,,,,0.7854785478547854,0.7903140901912616,0.7854692010239094,0.8653272503948062,0.7916860370305923,0.14446070109936912,0.0633384918196075,0.7392739273927392,0.8283828382838284
UL94_V0,AD_zone,Extrapolation,147,,,,,,,0.7482993197278912,0.7472795497185741,0.7459954233409611,0.8296435272045029,0.7597910540261505,0.16639629412108978,0.05009009926395301,0.6802721088435374,0.8095238095238095
