Formulation_ID,Candidate_ID,Candidate_Name,Source_Type,Design_Family,Synthesis_Level,synthesis_feasible,candidate_feasible,smiles_valid,contains_DOPO,is_unique,candidate_status,Record_ID,FR_main,FR_co,Curing_Agent,Preparation_Method,Preparation_Method_num,Synergy_flag(single=0&synergy=1),Synergy_type,Main_FR_fraction,Co_FR_fraction,SMILES_main,SMILES_co,SMILES_Curing_Agent,Loading_total_FR wt%,P_content wt%,N_content wt%,S_content wt%,B_content wt%,Si_content wt%,N/P ratio,S/P ratio,B/P ratio,Si/P ratio,Has_P,Has_N,Has_S,Has_B,Has_Si,CuringAgent_Has_N,CuringAgent_Has_S,CuringAgent_Has_P,CuringAgent_Has_B,CuringAgent_Has_F,CuringAgent_Has_Cl,Cure_Temp_Max,LOI_Thickness_mm,LOI,EP_matrix_LOI,Delta_LOI,UL94_Thickness_mm,UL94,UL94_num,Cone_Thickness_mm,Cone_flux_kW_m2,PHRR_kw_㎡,EP_matrix_PHRR,Delta_PHRR,THR_MJ_㎡,EP_matrix_THR,Delta_THR,Tg_℃,EP_matrix_Tg,Delta_Tg,Char_yield_％_700C,EP_matrix_CY,Delta_CY,TS_MPa,EP_matrix_TS,Delta_TS,FS_MPa,EP_matrix_FS,Delta_FS,FR_main_BDE_Kcal/mol,FR_main_BDE_KJ/mol,BDE_Type,Reference,pred_Canonical_SMILES,pred_Bond_Type,pred_selected_model_task,pred_selected_model_name,pred_selected_target_mode,pred_selected_k_best,pred_BDE_pred_kJ_mol,pred_BDE_pred_std_kJ_mol,pred_confidence_note,pred_prediction_agreement_note,pred_pcpn_alltypes_abs_diff_kJ_mol,pred_BDE_pred_pc_pn_kJ_mol,pred_BDE_pred_pc_pn_std_kJ_mol,pred_BDE_model_pc_pn,pred_BDE_target_mode_pc_pn,pred_BDE_k_best_pc_pn,FR_main_BDE_pred_kJ_mol,FR_main_BDE_pred_std_kJ_mol,FR_main_BDE_model_task,FR_main_BDE_model_name,FR_main_BDE_target_mode,FR_main_BDE_k_best,FR_main_BDE_confidence_note,FR_main_BDE_prediction_agreement_note,FR_main_BDE_pcpn_alltypes_diff_kJ_mol,FR_main_BDE_pc_pn_pred_kJ_mol,FR_main_BDE_pc_pn_pred_std_kJ_mol,FR_main_BDE_final_kJ_mol,FR_main_BDE_available,FR_main_BDE_source,FR_main_BDE_low_confidence
FORM_000001,NEW_01,APD-2DOPO,designed,P-N,B,True,True,True,True,True,Candidate,,APD-2DOPO,,DDM,DOPO-based (additive),0,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(P3(=O)Oc4ccccc4-c4ccccc43)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,3.42,0.3126687554328335,0.21209165383939912,0.0,0.0,0.0,0.6783269839219991,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000002,NEW_01,APD-2DOPO,designed,P-N,B,True,True,True,True,True,Candidate,,APD-2DOPO,,DDM,DOPO-based (additive),0,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(P3(=O)Oc4ccccc4-c4ccccc43)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,7.0,0.6399652888976125,0.43410572423268834,0.0,0.0,0.0,0.6783269839219992,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000003,NEW_01,APD-2DOPO,designed,P-N,B,True,True,True,True,True,Candidate,,APD-2DOPO,,DDM,DOPO-based (additive),0,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(P3(=O)Oc4ccccc4-c4ccccc43)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,10.0,0.9142361269965892,0.6201510346181262,0.0,0.0,0.0,0.6783269839219992,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000004,CAND_001,APN-DOPO-monoamide,designed,P-N,B,True,True,True,True,True,Candidate,,APN-DOPO-monoamide,,DDM,DOPO-based (additive),0,1,P-N,100.00%,0.00%,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)ccc1C(N)=O,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,3.42,0.22002600488526272,0.29849915255645465,0.0,0.0,0.0,1.3566539678439984,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000005,CAND_001,APN-DOPO-monoamide,designed,P-N,B,True,True,True,True,True,Candidate,,APN-DOPO-monoamide,,DDM,DOPO-based (additive),0,1,P-N,100.00%,0.00%,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)ccc1C(N)=O,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,7.0,0.45034562403416345,0.6109631777471294,0.0,0.0,0.0,1.3566539678439984,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000006,CAND_001,APN-DOPO-monoamide,designed,P-N,B,True,True,True,True,True,Candidate,,APN-DOPO-monoamide,,DDM,DOPO-based (additive),0,1,P-N,100.00%,0.00%,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)ccc1C(N)=O,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,10.0,0.6433508914773765,0.8728045396387563,0.0,0.0,0.0,1.3566539678439982,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000007,CAND_003,PBD-monoamide,designed,P-N,B,True,True,True,True,True,Candidate,,PBD-monoamide,,DDM,DOPO-based (additive),0,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5ccc(C(N)=O)c(C#N)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,3.42,0.2079193847077862,0.28207465825550093,0.0,0.0,0.0,1.3566539678439984,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000008,CAND_003,PBD-monoamide,designed,P-N,B,True,True,True,True,True,Candidate,,PBD-monoamide,,DDM,DOPO-based (additive),0,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5ccc(C(N)=O)c(C#N)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,7.0,0.4255659920919601,0.5773457917510253,0.0,0.0,0.0,1.3566539678439984,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000009,CAND_003,PBD-monoamide,designed,P-N,B,True,True,True,True,True,Candidate,,PBD-monoamide,,DDM,DOPO-based (additive),0,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5ccc(C(N)=O)c(C#N)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,10.0,0.6079514172742286,0.8247797025014647,0.0,0.0,0.0,1.3566539678439986,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000010,CAND_004,TDCA-DOPO-2-amino,designed,P-N,B,True,True,True,True,True,Candidate,,TDCA-DOPO-2-amino,,DDM,DOPO-based (Co-curing),2,1,P-N,100.00%,0.00%,Nc1ccc2c(c1)-c1ccccc1P(=O)(C(OP(=O)(c1ccccc1)c1ccccc1)c1ccc(C(OP(=O)(c3ccccc3)c3ccccc3)P3(=O)Oc4ccccc4-c4ccccc43)cc1)O2,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,4.0,0.50474255363572,0.05706341567746764,0.0,0.0,0.0,0.1130544973203332,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,170.0,3.0,,24.0,,3.0,,,3.0,35.0,,1208.0,,,88.0,,,164.3,,,16.5,,,58.7,,,101.3,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
