Candidate_ID,Preparation_Method,condition_source,loading_source,loadings_wt_percent,cone_fluxes_kW_m2,Curing_Agent,SMILES_Curing_Agent,Cure_Temp_Max,LOI_Thickness_mm,UL94_Thickness_mm,Cone_Thickness_mm
NEW_01,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_001,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_003,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_004,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_005,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_006,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_007,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_008,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_009,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_010,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_011,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_012,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
