Metric,Value
Top10_overlap_n,9.0
Top10_overlap_fraction,0.9
Top10_Jaccard,0.8181818181818182
Top20_overlap_n,19.0
Top20_overlap_fraction,0.95
Top20_Jaccard,0.9047619047619048
Top30_overlap_n,30.0
Top30_overlap_fraction,1.0
Top30_Jaccard,1.0
Top50_overlap_n,49.0
Top50_overlap_fraction,0.98
Top50_Jaccard,0.9607843137254902
n_flux50_eligible_molecules,213.0
n_flux35_eligible_molecules,213.0
n_common_eligible_molecules,213.0
spearman_rank_correlation,0.9910354385171902
median_abs_rank_shift,1.0
mean_abs_rank_shift,2.948356807511737
max_abs_rank_shift,80.0
pareto_flux50,110.0
pareto_flux35,108.0
pareto_intersection,108.0
pareto_jaccard,0.9818181818181818
final_priority_candidates,19.0
