task,seed,split_id,repeat,fold,k_best,model,target_mode,model_variant,test_R2,test_RMSE,test_MAE,n_samples,test_size,selected_features,split
pc_pn,1,1,1,1,1100,SoftVote_local,raw,SoftVote_local__raw,0.8062524668444848,18.02720340483862,13.648722042306197,239,,1100,repeated_kfold
pc_pn,2,2,1,2,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8392264984306882,18.634157283968662,12.989727564102543,239,,1200,repeated_kfold
pc_pn,3,3,1,3,1200,SoftVote_local,raw,SoftVote_local__raw,0.8044146352648907,17.438618408560743,13.187070297621753,239,,1200,repeated_kfold
pc_pn,4,4,1,4,1100,SoftVote_local,raw,SoftVote_local__raw,0.75880985621368,22.957579025437173,16.088507264698865,239,,1100,repeated_kfold
pc_pn,5,5,1,5,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7701051027121136,19.978912635909506,14.448445171849336,239,,1100,repeated_kfold
pc_pn,6,6,2,1,1100,SoftVote_local,raw,SoftVote_local__raw,0.7471322762617765,20.4490251586432,14.538395259443831,239,,1100,repeated_kfold
pc_pn,7,7,2,2,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7881844122660351,20.3159006504761,14.385216346153825,239,,1200,repeated_kfold
pc_pn,8,8,2,3,1200,SoftVote_local,raw,SoftVote_local__raw,0.7673527578463852,18.120177501374503,13.326594945837527,239,,1200,repeated_kfold
pc_pn,9,9,2,4,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7965042889428581,18.091853295630344,14.015480769230706,239,,1200,repeated_kfold
pc_pn,10,10,2,5,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8073466577072754,22.649896999331446,14.499918166939382,239,,1300,repeated_kfold
pc_pn,11,11,3,1,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7903908585286907,21.505434247990987,14.669671474358951,239,,1100,repeated_kfold
pc_pn,12,12,3,2,1300,SoftVote_local,raw,SoftVote_local__raw,0.7294695994088465,19.894333514725894,15.027076424641352,239,,1300,repeated_kfold
pc_pn,13,13,3,3,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.762311776218566,20.780671453959776,15.53113782051292,239,,1300,repeated_kfold
pc_pn,14,14,3,4,1300,SoftVote_local,raw,SoftVote_local__raw,0.7707403082944754,18.065645647560828,12.39364037712223,239,,1300,repeated_kfold
pc_pn,15,15,3,5,1100,SoftVote_local,raw,SoftVote_local__raw,0.8320997468841409,20.51182866176753,15.135433356359593,239,,1100,repeated_kfold
pc_pn,16,16,4,1,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7831478708624968,22.528556740264275,17.2265705128204,239,,1100,repeated_kfold
pc_pn,17,17,4,2,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7700389218088222,22.235799996108966,15.682483974358925,239,,1200,repeated_kfold
pc_pn,18,18,4,3,1200,SoftVote_local,raw,SoftVote_local__raw,0.6576119202672013,21.306104612253687,15.094552533625297,239,,1200,repeated_kfold
pc_pn,19,19,4,4,1300,SoftVote_local,raw,SoftVote_local__raw,0.7764527155266656,19.19900274084717,13.489031642168518,239,,1300,repeated_kfold
pc_pn,20,20,4,5,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8658556315112752,15.96431011666158,11.545253682487651,239,,1200,repeated_kfold
pc_pn,21,21,5,1,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8513424143763753,16.409599059131082,11.283870192307624,239,,1200,repeated_kfold
pc_pn,22,22,5,2,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.6416988807011841,26.613583391938906,17.394815705128156,239,,1200,repeated_kfold
pc_pn,23,23,5,3,1300,SoftVote_local,raw,SoftVote_local__raw,0.8149728433825065,18.321389626938206,14.940727311234932,239,,1300,repeated_kfold
pc_pn,24,24,5,4,1300,SoftVote_local,raw,SoftVote_local__raw,0.7679875800353124,21.53900667483703,15.056208795528107,239,,1300,repeated_kfold
pc_pn,25,25,5,5,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8782448161898173,14.639786899690064,10.883551554828134,239,,1200,repeated_kfold
