task,ID,Canonical_SMILES,Bond_Type,Target_Bond_Label_clean,Target_Bond_Subtype,Target_X_atom_class,appeared_in_test_n,BDE_true_mean_kJ_mol,BDE_pred_mean_kJ_mol,abs_error_mean_kJ_mol,abs_error_max_kJ_mol,abs_error_median_kJ_mol,selected_model,selected_target_mode,selected_k_best,error_rank_in_task,manual_check_reason
pc_pn,236,O=P1(Nc2ncccn2)Oc2ccccc2-c2ccccc21,P-N,DOPO_P-N,DOPO_P-N_aryl_amine_N,aryl_amine_N,5,404.2,330.3506636788235,73.84933632117651,79.24839600252466,73.27342576982647,SoftVote_local,raw,1200,1,mean_abs_error >= 50.0 kJ/mol
pc_pn,230,O=P(Oc1ccccc1)(Oc1ccccc1)OC(c1ccc(C(OP(=O)(Oc2ccccc2)Oc2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)P1(=O)Oc2ccccc2-c2ccccc21,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,360.7,292.76866339865273,67.93133660134728,72.29643499066827,67.63508746365454,SoftVote_local,raw,1200,2,mean_abs_error >= 50.0 kJ/mol
pc_pn,242,O=P1(C(Nc2ccc(NC(c3c[nH]c4ccccc34)P3(=O)Oc4ccccc4-c4ccccc43)cc2)c2c[nH]c3ccccc23)Oc2ccccc2-c2ccccc21,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,325.9,259.9879147528087,65.9120852471913,72.26940372960766,65.02157055282919,SoftVote_local,raw,1200,3,mean_abs_error >= 50.0 kJ/mol
pc_pn,177,O=C1CC(P2(=O)Oc3ccccc3-c3ccccc32)C(=O)N1c1ccc(OCC(O)Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,P-C,DOPO_P-C_external,DOPO_P-C_alicyclic_sp3,alicyclic_sp3_C,5,372.8,309.94916918330597,62.85083081669404,70.33472783774408,63.42187764632604,SoftVote_local,raw,1200,4,mean_abs_error >= 50.0 kJ/mol
pc_pn,197,O=C1c2ccccc2C(=O)c2cc(N(CP3(=O)Oc4ccccc4-c4ccccc43)CP3(=O)Oc4ccccc4-c4ccccc43)ccc21,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,386.6,326.1036295747225,60.496370425277476,66.08057204091841,60.31128966267937,SoftVote_local,raw,1200,5,mean_abs_error >= 50.0 kJ/mol
pc_pn,2,Cc1ccc(S(=O)(=O)NP2(=O)Oc3ccccc3-c3ccccc32)cc1,P-N,DOPO_P-N,DOPO_P-N_sulfonamide_N,sulfonamide_N,5,401.2,341.6157389800302,59.5842610199698,74.70249535868703,61.231046255944875,SoftVote_local,raw,1200,6,mean_abs_error >= 50.0 kJ/mol
pc_pn,186,CC(C)(c1ccc(O)c(CN(CP2(=O)Oc3ccccc3-c3ccccc32)c2cccc(Oc3ccc(C#N)c(C#N)c3)c2)c1)c1ccc(O)c(CN(CP2(=O)Oc3ccccc3-c3ccccc32)c2cccc(Oc3ccc(C#N)c(C#N)c3)c2)c1,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,267.4,324.5264356852965,57.126435685296556,60.55290888438037,57.96789997266552,SoftVote_local,raw,1200,7,mean_abs_error >= 50.0 kJ/mol
pc_pn,170,O=P1(Nc2nccs2)Oc2ccccc2-c2ccccc21,P-N,DOPO_P-N,DOPO_P-N_aryl_amine_N,aryl_amine_N,5,305.9,355.2008868722175,49.300886872217504,65.6619190269617,51.50330914711776,SoftVote_local,raw,1200,8,top-20 error sample in task
pc_pn,149,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5ccc(C#N)c(C#N)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,319.7,272.36195733495924,47.338042665040746,54.00061100970896,43.49036858521765,SoftVote_local,raw,1200,9,top-20 error sample in task
pc_pn,213,O=C(CC(CP1(=O)Oc2ccccc2-c2ccccc21)C(=O)O)OCc1ccc(OP2(Oc3ccc(COC(=O)CC(CP4(=O)Oc5ccccc5-c5ccccc54)C(=O)O)cc3)=NP(Oc3ccc(COC(=O)CC(CP4(=O)Oc5ccccc5-c5ccccc54)C(=O)O)cc3)(Oc3ccc(COC(=O)CC(CP4(=O)Oc5ccccc5-c5ccccc54)C(=O)O)cc3)=NP(Oc3ccc(COC(=O)CC(CP4(=O)Oc5ccccc5-c5ccccc54)C(=O)O)cc3)(Oc3ccc(COC(=O)CC(CP4(=O)Oc5ccccc5-c5ccccc54)C(=O)O)cc3)=N2)cc1,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,280.3,327.2183350818675,46.9183350818675,63.22927517026625,49.3817338916856,SoftVote_local,raw,1200,10,top-20 error sample in task
