task,seed,split_id,repeat,fold,k_best,model,target_mode,model_variant,test_R2,test_RMSE,test_MAE,n_samples,test_size,selected_features,split
pc_pn,1,1,1,1,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7935508914239285,18.60873169443625,14.571738782051307,239,,1100,repeated_kfold
pc_pn,1,1,1,1,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7976062256129446,18.425057121093463,14.182940705128253,239,,1100,repeated_kfold
pc_pn,1,1,1,1,1100,SoftVote_local,raw,SoftVote_local__raw,0.8062524668444848,18.02720340483862,13.648722042306197,239,,1100,repeated_kfold
pc_pn,1,1,1,1,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7986547899592151,18.377266752519784,14.377684294871813,239,,1200,repeated_kfold
pc_pn,1,1,1,1,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7967686503092971,18.463142382583353,14.269214743589801,239,,1200,repeated_kfold
pc_pn,1,1,1,1,1200,SoftVote_local,raw,SoftVote_local__raw,0.7983391255812093,18.391666838250075,14.063120794997593,239,,1200,repeated_kfold
pc_pn,1,1,1,1,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7966548841049199,18.468309370254723,14.606674679487199,239,,1300,repeated_kfold
pc_pn,1,1,1,1,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8031233007206664,18.17219665442013,13.642972756410309,239,,1300,repeated_kfold
pc_pn,1,1,1,1,1300,SoftVote_local,raw,SoftVote_local__raw,0.7921112444051095,18.673501804712096,13.996727752976213,239,,1300,repeated_kfold
pc_pn,2,2,1,2,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.796899962226087,20.943898460485496,14.518541666666641,239,,1100,repeated_kfold
pc_pn,2,2,1,2,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8350418410511455,18.87510699132152,13.1711177884615,239,,1100,repeated_kfold
pc_pn,2,2,1,2,1100,SoftVote_local,raw,SoftVote_local__raw,0.8040493407834631,20.57197017550038,14.907500651713663,239,,1100,repeated_kfold
pc_pn,2,2,1,2,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.8007036900741709,20.746849206197908,14.613092948717915,239,,1200,repeated_kfold
pc_pn,2,2,1,2,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8392264984306882,18.634157283968662,12.989727564102543,239,,1200,repeated_kfold
pc_pn,2,2,1,2,1200,SoftVote_local,raw,SoftVote_local__raw,0.8097032977113038,20.27300617939312,14.39739742699422,239,,1200,repeated_kfold
pc_pn,2,2,1,2,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7897754978559777,21.308073585739336,14.788405448717953,239,,1300,repeated_kfold
pc_pn,2,2,1,2,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8264857022710987,19.35843100727026,13.560568910256416,239,,1300,repeated_kfold
pc_pn,2,2,1,2,1300,SoftVote_local,raw,SoftVote_local__raw,0.8066743160929871,20.433713468335377,14.516987310919712,239,,1300,repeated_kfold
pc_pn,3,3,1,3,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7640250876849789,19.154764378058612,14.493349358974294,239,,1100,repeated_kfold
pc_pn,3,3,1,3,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7654898024579514,19.095224279945047,14.459350961538389,239,,1100,repeated_kfold
pc_pn,3,3,1,3,1100,SoftVote_local,raw,SoftVote_local__raw,0.7945629458918062,17.872416916043402,13.715776619266657,239,,1100,repeated_kfold
