task,model,k_best,Bond_Type,n,MAE,MedAE
pc_pn,ExtraTrees_sqrt_local,1100,P-N,50,37.69086153846137,35.22961538461513
pc_pn,ExtraTrees_sqrt_local,1100,P-C,1145,13.733014052177767,10.018461538461167
pc_pn,ExtraTrees_sqrt_local,1200,P-N,50,38.35206153846139,37.079230769230605
pc_pn,ExtraTrees_sqrt_local,1200,P-C,1145,13.663308252155371,9.772307692307777
pc_pn,ExtraTrees_sqrt_local,1300,P-N,50,37.8479692307691,35.539423076922674
pc_pn,ExtraTrees_sqrt_local,1300,P-C,1145,13.659566565894039,9.841538461539017
pc_pn,RF_sqrt_local,1100,P-N,50,36.444176923076846,35.19153846153853
pc_pn,RF_sqrt_local,1100,P-C,1145,14.130030399731238,10.206153846153711
pc_pn,RF_sqrt_local,1200,P-N,50,37.318707692307534,38.09442307692308
pc_pn,RF_sqrt_local,1200,P-C,1145,14.046618239838736,10.295000000000016
pc_pn,RF_sqrt_local,1300,P-N,50,37.04964615384607,38.30557692307693
pc_pn,RF_sqrt_local,1300,P-C,1145,14.239291568693297,10.353076923077197
pc_pn,SoftVote_local,1100,P-N,50,34.92382729902745,30.323091839701448
pc_pn,SoftVote_local,1100,P-C,1145,13.715526161242172,9.680960851248528
pc_pn,SoftVote_local,1200,P-N,50,35.52186793412489,31.97310271609328
pc_pn,SoftVote_local,1200,P-C,1145,13.688594926378379,9.785398814107623
pc_pn,SoftVote_local,1300,P-N,50,35.427725469020544,32.445592222478666
pc_pn,SoftVote_local,1300,P-C,1145,13.725038858287038,9.571305657722007
