task,model,k_best,Target_Bond_Subtype,n,MAE,MedAE
pc_pn,ExtraTrees_sqrt_local,1100,DOPO_P-N_sulfonamide_N,5,61.43230769230782,58.90769230769263
pc_pn,ExtraTrees_sqrt_local,1100,DOPO_P-N_aryl_amine_N,25,38.356246153845674,35.42384615384566
pc_pn,ExtraTrees_sqrt_local,1100,DOPO_P-N_alkyl_amine_N,20,30.92376923076937,32.96923076923059
pc_pn,ExtraTrees_sqrt_local,1100,DOPO_P-C_alicyclic_sp3,40,29.116413461538464,29.38846153846137
pc_pn,ExtraTrees_sqrt_local,1100,DOPO_P-C_aromatic,5,22.381230769230342,23.71769230769155
pc_pn,ExtraTrees_sqrt_local,1100,DOPO_P-C_aliphatic_sp3,1100,13.134307634032593,9.610576923076806
pc_pn,ExtraTrees_sqrt_local,1200,DOPO_P-N_sulfonamide_N,5,60.67700000000009,62.247692307692546
pc_pn,ExtraTrees_sqrt_local,1200,DOPO_P-N_aryl_amine_N,25,39.31232307692267,38.77807692307641
pc_pn,ExtraTrees_sqrt_local,1200,DOPO_P-N_alkyl_amine_N,20,31.570500000000134,30.7975000000001
pc_pn,ExtraTrees_sqrt_local,1200,DOPO_P-C_alicyclic_sp3,40,28.948471153846146,29.17826923076987
pc_pn,ExtraTrees_sqrt_local,1200,DOPO_P-C_aromatic,5,23.262230769230428,23.017692307691675
pc_pn,ExtraTrees_sqrt_local,1200,DOPO_P-C_aliphatic_sp3,1100,13.06385268065264,9.59557692307726
pc_pn,ExtraTrees_sqrt_local,1300,DOPO_P-N_sulfonamide_N,5,60.16923076923092,61.50230769230791
pc_pn,ExtraTrees_sqrt_local,1300,DOPO_P-N_aryl_amine_N,25,39.07446153846112,34.308076923075646
pc_pn,ExtraTrees_sqrt_local,1300,DOPO_P-N_alkyl_amine_N,20,30.73453846153862,32.09173076923071
pc_pn,ExtraTrees_sqrt_local,1300,DOPO_P-C_alicyclic_sp3,40,29.51645192307698,29.20750000000058
pc_pn,ExtraTrees_sqrt_local,1300,DOPO_P-C_aromatic,5,25.04876923076889,23.762692307692078
pc_pn,ExtraTrees_sqrt_local,1300,DOPO_P-C_aliphatic_sp3,1100,13.03118344988341,9.361923076922835
