Rank,Candidate,Design family,Loading (wt%),Pred. LOI (%),Pred. PHRR (kW·m^-2),Pred. THR (MJ·m^-2),Pred. V-0 probability,Pred. Tg (°C),Pred. TS (MPa)
1,TDCA-DOPO-3-boronic-acid,P-B,10.0,35.38,529.13,56.37,0.677,154.27,73.18
2,PBD-trimethoxysilyl,P-N-Si,5.29,40.97,410.71,82.11,0.705,189.35,58.78
3,PAD-NH-methyl,P-N-S,10.0,36.47,655.51,62.83,0.695,149.63,73.96
4,BDO-hydroxymethyl,P-N-S,10.0,36.2,704.44,62.6,0.697,148.46,79.75
5,PBD-NH-methyl,P-N,10.0,36.47,693.15,63.67,0.701,157.32,71.0
6,DSD-trimethoxysilyl,P-N-Si-S,10.0,42.05,346.96,75.26,0.659,179.99,59.66
7,PAD-carboxamide,P-N-S,10.0,35.9,703.72,62.83,0.699,150.0,75.1
8,DSD-triethoxysilyl,P-N-Si-S,10.0,42.05,367.91,76.97,0.662,180.22,59.66
9,DIB-NH-methyl,P-N,10.0,36.41,709.87,62.6,0.688,150.38,74.5
10,PAD-hydroxymethyl,P-N-S,10.0,35.11,680.75,62.83,0.703,149.64,75.1
