rank,candidate_id,candidate_name,design_family,smiles_used,ranking_source_file,structure_source_file,drawing_backend
1,CAND_013,TDCA-DOPO-3-boronic-acid,P-B,O=P(Oc1ccccc1)(Oc1ccccc1)OC(c1ccc(C(OP(=O)(Oc2ccccc2)Oc2ccccc2)P2(=O)Oc3ccc(B(O)O)cc3-c3ccccc32)cc1)P1(=O)Oc2ccccc2-c2ccccc21,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\final_priority_combined\final_priority_candidates_combined.csv,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\combined_flux50\candidate_best_per_molecule.csv,Matplotlib + RDKit core (no rdMolDraw2D)
2,CAND_R2_050,PBD-trimethoxysilyl,P-N-Si,CO[Si](OC)(OC)c1cc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5ccc(C#N)c(C#N)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C#N)c1C#N,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\final_priority_combined\final_priority_candidates_combined.csv,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\combined_flux50\candidate_best_per_molecule.csv,Matplotlib + RDKit core (no rdMolDraw2D)
3,CAND_R2_239,PAD-NH-methyl,P-N-S,CN(c1nc2ccccc2s1)C(c1ccc(OP(=O)(Oc2ccc(C(Nc3nc4ccccc4s3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)c2ccccc2)cc1)P1(=O)Oc2ccccc2-c2ccccc21,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\final_priority_combined\final_priority_candidates_combined.csv,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\combined_flux50\candidate_best_per_molecule.csv,Matplotlib + RDKit core (no rdMolDraw2D)
4,CAND_R2_319,BDO-hydroxymethyl,P-N-S,O=P1(CC(Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2ccc(CO)s2)Oc2ccccc2-c2ccccc21,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\final_priority_combined\final_priority_candidates_combined.csv,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\combined_flux50\candidate_best_per_molecule.csv,Matplotlib + RDKit core (no rdMolDraw2D)
5,CAND_R2_067,PBD-NH-methyl,P-N,CN(c1cccc(Oc2ccc(C#N)c(C#N)c2)c1)C(c1ccc(C(Nc2cccc(Oc3ccc(C#N)c(C#N)c3)c2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)P1(=O)Oc2ccccc2-c2ccccc21,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\final_priority_combined\final_priority_candidates_combined.csv,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\combined_flux50\candidate_best_per_molecule.csv,Matplotlib + RDKit core (no rdMolDraw2D)
6,CAND_R2_180,DSD-trimethoxysilyl,P-N-Si-S,CO[Si](OC)(OC)c1ccc(C(Nc2ccc(S(=O)(=O)c3ccc(NC(c4ccccc4O)P4(=O)Oc5ccccc5-c5ccccc54)cc3)cc2)P2(=O)Oc3ccccc3-c3ccccc32)c(O)c1,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\final_priority_combined\final_priority_candidates_combined.csv,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\combined_flux50\candidate_best_per_molecule.csv,Matplotlib + RDKit core (no rdMolDraw2D)
7,CAND_R2_227,PAD-carboxamide,P-N-S,NC(=O)c1ccc2nc(NC(c3ccc(OP(=O)(Oc4ccc(C(Nc5nc6ccccc6s5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)c4ccccc4)cc3)P3(=O)Oc4ccccc4-c4ccccc43)sc2c1,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\final_priority_combined\final_priority_candidates_combined.csv,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\combined_flux50\candidate_best_per_molecule.csv,Matplotlib + RDKit core (no rdMolDraw2D)
8,CAND_R2_181,DSD-triethoxysilyl,P-N-Si-S,CCO[Si](OCC)(OCC)c1ccc(C(Nc2ccc(S(=O)(=O)c3ccc(NC(c4ccccc4O)P4(=O)Oc5ccccc5-c5ccccc54)cc3)cc2)P2(=O)Oc3ccccc3-c3ccccc32)c(O)c1,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\final_priority_combined\final_priority_candidates_combined.csv,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\combined_flux50\candidate_best_per_molecule.csv,Matplotlib + RDKit core (no rdMolDraw2D)
9,CAND_R2_141,DIB-NH-methyl,P-N,CN(c1ccc(NC(c2c[nH]cn2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)C(c1c[nH]cn1)P1(=O)Oc2ccccc2-c2ccccc21,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\final_priority_combined\final_priority_candidates_combined.csv,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\combined_flux50\candidate_best_per_molecule.csv,Matplotlib + RDKit core (no rdMolDraw2D)
10,CAND_R2_226,PAD-hydroxymethyl,P-N-S,O=P(Oc1ccc(C(Nc2nc3ccccc3s2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)(Oc1ccc(C(Nc2nc3ccc(CO)cc3s2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)c1ccccc1,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\final_priority_combined\final_priority_candidates_combined.csv,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\06_ReverseDesign\FINAL_fixed\combined_flux50\candidate_best_per_molecule.csv,Matplotlib + RDKit core (no rdMolDraw2D)
