task,split,outer_fold,score,source
LOI,molecule,1,0.6744742949853715,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,molecule,2,0.716373502930443,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,molecule,3,0.7239671185198906,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,molecule,4,0.7706237383570309,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,molecule,5,0.6970358798658709,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,reference,1,0.7112108022761632,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\reference\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,reference,2,0.8437599282394271,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\reference\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,reference,3,0.7042649603065825,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\reference\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,reference,4,0.6723306474634974,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\reference\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,reference,5,0.6149175755026516,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\reference\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,scaffold,1,0.6868349838859172,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\scaffold\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,scaffold,2,0.6565873787903627,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\scaffold\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,scaffold,3,0.7244878014762307,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\scaffold\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,scaffold,4,0.7646618600740436,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\scaffold\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,scaffold,5,0.7060246938399819,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\scaffold\formulation\without_BDE\LOI_outer_fold_metrics.csv
PHRR,molecule,1,0.6430469331952922,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
