task,outer_fold,score,source
LOI,1,0.6744742949853715,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,2,0.716373502930443,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,3,0.7239671185198906,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,4,0.7706237383570309,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,5,0.6970358798658709,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
PHRR,1,0.6430469331952922,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,2,0.6235968101164486,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,3,0.5352254971909841,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,4,0.6195957869303628,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,5,0.5964415003305019,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
THR,1,0.5823455926661751,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,2,0.5263592453596957,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,3,0.4226313786943589,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,4,0.6036418168502191,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,5,0.2813793348706696,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
