task,scenario,scenario_label,outer_fold,metric,source
LOI,all,Combined,1,0.7197979712749825,results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,all,Combined,2,0.7159800274990118,results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,all,Combined,3,0.719758740682492,results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,all,Combined,4,0.780348986325727,results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
LOI,all,Combined,5,0.6711918511170911,results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_fold_metrics.csv
PHRR,all,Combined,1,0.6380254500387859,results\scientific_validation\FINAL_information_source_ablation_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,all,Combined,2,0.6196364877319991,results\scientific_validation\FINAL_information_source_ablation_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,all,Combined,3,0.5397009410767093,results\scientific_validation\FINAL_information_source_ablation_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,all,Combined,4,0.6281650939923853,results\scientific_validation\FINAL_information_source_ablation_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,all,Combined,5,0.590652099530881,results\scientific_validation\FINAL_information_source_ablation_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_fold_metrics.csv
THR,all,Combined,1,0.5823455926661751,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,all,Combined,2,0.5263592453596957,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,all,Combined,3,0.4226313786943589,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,all,Combined,4,0.6036418168502191,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
