task,outer_fold,without_BDE,with_BDE,delta,metric
LOI,1.0,0.6744742949853715,0.6524707546147327,-0.022003540370638786,outer_R2
LOI,2.0,0.716373502930443,0.7229528056777996,0.00657930274735663,outer_R2
LOI,3.0,0.7239671185198906,0.717441390330966,-0.006525728188924607,outer_R2
LOI,4.0,0.7706237383570309,0.7818858567561481,0.011262118399117171,outer_R2
LOI,5.0,0.6970358798658709,0.6929340258697686,-0.0041018539961023,outer_R2
PHRR,1.0,0.6430469331952922,0.6345977596534251,-0.008449173541867028,outer_R2
PHRR,2.0,0.6235968101164486,0.6111438427590229,-0.012452967357425737,outer_R2
PHRR,3.0,0.5352254971909841,0.5364625843047015,0.0012370871137173944,outer_R2
PHRR,4.0,0.6195957869303628,0.6598339222209255,0.04023813529056275,outer_R2
PHRR,5.0,0.5964415003305019,0.5955779358134197,-0.0008635645170822492,outer_R2
THR,1.0,0.5823455926661751,0.5658856010227588,-0.016459991643416383,outer_R2
THR,2.0,0.5263592453596957,0.5221692713442558,-0.004189974015439857,outer_R2
THR,3.0,0.4226313786943589,0.4139669972630545,-0.00866438143130438,outer_R2
THR,4.0,0.6036418168502191,0.6244112700689921,0.020769453218772993,outer_R2
THR,5.0,0.2813793348706696,0.2909964873363581,0.009617152465688505,outer_R2
Tg,1.0,0.4787625714051408,0.5033438270915538,0.024581255686413006,outer_R2
Tg,2.0,0.4575670731619888,0.4625495384275124,0.004982465265523595,outer_R2
Tg,3.0,0.69014725145503,0.6757508004205249,-0.014396451034505042,outer_R2
Tg,4.0,0.5183058274178801,0.5258417434702258,0.007535916052345715,outer_R2
Tg,5.0,0.4610734002890431,0.4798078164762734,0.01873441618723032,outer_R2
TS_MPa,1.0,0.5581165386193077,0.5456936359830511,-0.012422902636256561,outer_R2
TS_MPa,2.0,0.4985967762113538,0.5235610602339618,0.024964284022607974,outer_R2
TS_MPa,3.0,0.3687965751536805,0.384558583038859,0.01576200788517851,outer_R2
TS_MPa,4.0,0.3661167741090224,0.4567270180799182,0.09061024397089584,outer_R2
TS_MPa,5.0,0.5191226361339438,0.5462434877666829,0.02712085163273903,outer_R2
UL94_V0,1.0,0.8156618156618156,0.8156618156618156,0.0,outer_Macro_F1
UL94_V0,2.0,0.7367521367521368,0.759744623655914,0.0229924869037772,outer_Macro_F1
UL94_V0,3.0,0.796875,0.796875,0.0,outer_Macro_F1
UL94_V0,4.0,0.7579731743666169,0.7658317757009345,0.007858601334317594,outer_Macro_F1
UL94_V0,5.0,0.7856474988312295,0.7921490274431451,0.006501528611915552,outer_Macro_F1
