field,missing_rate_percent
LOI,0.0
UL-94,0.0
EP baseline LOI,0.0
Cure temperature,0.8347245409015025
LOI thickness,8.681135225375627
UL-94 thickness,9.84974958263773
Cone thickness,17.362270450751254
Cone flux,17.529215358931552
PHRR,32.220367278797994
EP baseline PHRR,32.7212020033389
THR,33.7228714524207
EP baseline THR,34.223706176961606
Tg,40.40066777963272
EP baseline Tg,40.56761268781302
EP baseline TS,57.26210350584308
TS,57.26210350584308
EP baseline FS,61.93656093489148
FS,61.93656093489148
Char yield,67.2787979966611
EP baseline char,67.2787979966611
