task,rank,model,view,K,metric,mean,std,n_repeats,source_type
LOI,1,GBDT,compact,260,outer_fold_model_selection_frequency,3.0,0.0,5,FINAL_outer_fold_model_selection_frequency
LOI,2,ExtraTrees,compact,260,outer_fold_model_selection_frequency,1.0,0.0,5,FINAL_outer_fold_model_selection_frequency
LOI,3,SoftVote,compact,260,outer_fold_model_selection_frequency,1.0,0.0,5,FINAL_outer_fold_model_selection_frequency
PHRR,1,GBDT,compact,330,outer_fold_model_selection_frequency,3.0,0.0,5,FINAL_outer_fold_model_selection_frequency
PHRR,2,SoftVote,compact,330,outer_fold_model_selection_frequency,1.0,0.0,5,FINAL_outer_fold_model_selection_frequency
PHRR,3,LGBM,compact,330,outer_fold_model_selection_frequency,1.0,0.0,5,FINAL_outer_fold_model_selection_frequency
THR,1,GBDT,descriptors,30,outer_fold_model_selection_frequency,3.0,0.0,5,FINAL_outer_fold_model_selection_frequency
THR,2,ExtraTrees,descriptors,30,outer_fold_model_selection_frequency,1.0,0.0,5,FINAL_outer_fold_model_selection_frequency
THR,3,LGBM,descriptors,30,outer_fold_model_selection_frequency,1.0,0.0,5,FINAL_outer_fold_model_selection_frequency
UL94_V0,1,ExtraTrees,morgan_r3,all,outer_fold_model_selection_frequency,4.0,0.0,5,FINAL_outer_fold_model_selection_frequency
UL94_V0,2,GBDT,morgan_r3,all,outer_fold_model_selection_frequency,1.0,0.0,5,FINAL_outer_fold_model_selection_frequency
Tg,1,XGB,morgan_r3,270,outer_fold_model_selection_frequency,3.0,0.0,5,FINAL_outer_fold_model_selection_frequency
Tg,2,SoftVote,morgan_r3,270,outer_fold_model_selection_frequency,2.0,0.0,5,FINAL_outer_fold_model_selection_frequency
TS_MPa,1,GBDT,compact,140,outer_fold_model_selection_frequency,2.0,0.0,5,FINAL_outer_fold_model_selection_frequency
TS_MPa,2,XGB,compact,140,outer_fold_model_selection_frequency,1.0,0.0,5,FINAL_outer_fold_model_selection_frequency
TS_MPa,3,RF,compact,140,outer_fold_model_selection_frequency,1.0,0.0,5,FINAL_outer_fold_model_selection_frequency
TS_MPa,4,SoftVote,compact,140,outer_fold_model_selection_frequency,1.0,0.0,5,FINAL_outer_fold_model_selection_frequency
