source_file,task,feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,P_x_curing_RotBonds,molecular_descriptor,0.86480993735327,0.86480993735327,-0.1266998239337863,-0.1266998239337863,1.0,0.8,0.8,0.2,5.0,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,P_x_curing_LogP,molecular_descriptor,0.3152346985217714,0.3152346985217714,-0.0477323265731938,-0.0477323265731938,1.0,1.0,0.8,0.2,5.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,P_x_curing_HBD,molecular_descriptor,0.2628805720287825,0.2628805720287825,-0.0337418191311772,-0.0337418191311772,1.0,1.0,0.8,0.2,7.2,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,P_loading_x_Synergy,formulation_loading,0.2076032165677233,0.2076032165677233,-0.0238874688130501,-0.0238874688130501,1.0,0.8,0.8,0.2,10.6,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,main_TPSA,molecular_descriptor,0.1993006852010656,0.1993006852010656,0.0165191719115354,0.0165191719115354,1.0,0.8,0.8,0.8,12.2,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,P_Si_loading_ratio,formulation_loading,0.1954506949435529,0.1954506949435529,-0.0141634733148446,-0.0141634733148446,1.0,0.8,0.8,0.2,16.2,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,P_content_x_EP_matrix_LOI,formulation_interaction,0.2861531584257665,0.2861531584257665,-0.0227565647657923,-0.0227565647657923,1.0,1.0,0.6,0.4,6.0,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,Synergy_x_EP_matrix_LOI,formulation_interaction,0.2474539658344018,0.3093174572930023,0.1026860758354237,0.1283575947942797,0.8,0.8,0.75,0.75,62.4,4,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,EP_matrix_LOI,ep_baseline,0.193961720486077,0.193961720486077,-0.0055765997589996,-0.0055765997589996,1.0,1.0,0.6,0.6,8.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,Cure_Temp_Max,curing_and_preparation,0.1716415933236848,0.1716415933236848,-0.0677133588585272,-0.0677133588585272,1.0,1.0,0.6,0.4,10.4,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,EP_matrix_LOI_sq,ep_baseline,0.1560158747506831,0.1560158747506831,-0.0135766995128366,-0.0135766995128366,1.0,0.8,0.6,0.6,11.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,EP_matrix_LOI_sqrt,ep_baseline,0.135593760171914,0.135593760171914,-0.0148598824465779,-0.0148598824465779,1.0,0.8,0.6,0.6,16.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,Loading_x_Synergy,formulation_loading,0.1038087014929366,0.1038087014929366,-0.0033394772937368,-0.0033394772937368,1.0,0.6,0.8,0.2,20.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,P_N_loading_product,formulation_loading,0.0988733386555902,0.0988733386555902,0.0019742899429077,0.0019742899429077,1.0,0.6,0.6,0.4,33.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,main_morgan_r2_75,molecular_fingerprint,0.0832444734141169,0.0832444734141169,-0.0049644549585856,-0.0049644549585856,1.0,0.6,0.6,0.6,36.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,LOI,N_content_wt%_sq,elemental_composition,0.0719618100720622,0.0719618100720622,-0.0101088280105243,-0.0101088280105243,1.0,0.6,0.8,0.2,38.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,main_TPSA,molecular_descriptor,11.89371018393066,11.89371018393066,-1.145809979810477,-1.145809979810477,1.0,0.8,0.8,0.2,14.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,main_FractionCSP3,molecular_descriptor,11.708718839922678,11.708718839922678,-1.0626365206746011,-1.0626365206746011,1.0,0.8,0.8,0.2,14.6,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,main_RotBonds,other,9.991003488375608,9.991003488375608,-2.067335461586844,-2.067335461586844,1.0,0.8,1.0,0.0,14.2,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,EP_matrix_PHRR,ep_baseline,44.800209410158175,44.800209410158175,-1.8920715146294795,-1.8920715146294795,1.0,1.0,0.6,0.6,2.4,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,P_x_curing_HBA,molecular_descriptor,37.19900127196157,37.19900127196157,2.505574932023321,2.505574932023321,1.0,1.0,0.6,0.4,4.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,P_x_curing_TPSA,molecular_descriptor,29.31496841017957,29.31496841017957,-3.312111452752164,-3.312111452752164,1.0,1.0,0.6,0.4,4.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,EP_matrix_PHRR_sq,ep_baseline,26.836635195054367,26.836635195054367,1.0568748347104386,1.0568748347104386,1.0,1.0,0.6,0.6,4.4,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,EP_matrix_PHRR_sqrt,ep_baseline,26.5549747936472,26.5549747936472,4.45528036930956,4.45528036930956,1.0,0.8,0.6,0.6,13.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,Loading_total_FR wt%,formulation_loading,23.29554882700877,23.29554882700877,-3.2081493156641216,-3.2081493156641216,1.0,1.0,0.6,0.4,6.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,curing_morgan_r2_22,molecular_fingerprint,20.39879272866542,20.39879272866542,2.4295335706480228,2.4295335706480228,1.0,1.0,0.6,0.6,7.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,Loading_total_FR_sqrt,formulation_loading,17.33826613670162,17.33826613670162,0.0048677740547708,0.0048677740547708,1.0,0.8,0.6,0.4,15.4,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,Cone_flux_kW_m2,test_condition,14.099315117982774,14.099315117982774,0.751531108474341,0.751531108474341,1.0,0.8,0.6,0.6,13.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,Cure_Temp_Max,curing_and_preparation,10.678912717945014,10.678912717945014,1.371727241017982,1.371727241017982,1.0,0.6,0.6,0.6,16.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,Loading_total_FR_sq,formulation_loading,10.123119770074952,10.123119770074952,-0.091538234595164,-0.091538234595164,1.0,0.8,0.6,0.4,15.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,main_MolWt,molecular_descriptor,10.04830743726907,10.04830743726907,-2.0871126976516807,-2.0871126976516807,1.0,0.6,0.8,0.2,20.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,Synergy_x_EP_matrix_PHRR,formulation_interaction,7.759660575986456,7.759660575986456,1.3738239646616968,1.3738239646616968,1.0,0.8,0.6,0.6,17.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,Cone_flux_sq,test_condition,7.647959280377417,7.647959280377417,0.003320423314141,0.003320423314141,1.0,1.0,0.6,0.6,15.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,main_LogP,molecular_descriptor,7.604411965120239,7.604411965120239,0.0795246322723492,0.0795246322723492,1.0,0.6,0.6,0.6,17.4,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,P_x_curing_LogP,molecular_descriptor,7.193656741907851,7.193656741907851,-0.6670708595139893,-0.6670708595139893,1.0,0.6,0.8,0.2,19.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,main_morgan_r2_107,molecular_fingerprint,6.696162717102999,6.696162717102999,-0.5472845828179158,-0.5472845828179158,1.0,0.6,0.6,0.4,27.0,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,PHRR,P_x_curing_MolWt,molecular_descriptor,5.4617755821703415,5.4617755821703415,0.4772549311400825,0.4772549311400825,1.0,0.6,0.6,0.4,19.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_curing_LogP,molecular_descriptor,1.3458845468765612,1.3458845468765612,-0.1275378083036738,-0.1275378083036738,1.0,1.0,0.8,0.2,7.0,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,N_loading_real_sqrt,formulation_loading,0.547191068538355,0.547191068538355,-0.026658234386424,-0.026658234386424,1.0,0.8,0.8,0.2,14.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,Loading_total_FR wt%,formulation_loading,0.4865199349737598,0.4865199349737598,-0.0905255654276493,-0.0905255654276493,1.0,0.8,0.8,0.2,15.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,Loading_total_FR_sqrt,formulation_loading,0.4495413910422928,0.4495413910422928,-0.0589051261820855,-0.0589051261820855,1.0,0.8,0.8,0.2,15.0,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_curing_HeavyAtomCount,molecular_descriptor,0.2534989765106986,0.2534989765106986,-0.0245916861777899,-0.0245916861777899,1.0,0.8,0.8,0.2,18.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,N/P ratio,elemental_composition,0.2092099872701806,0.2092099872701806,0.0141268291239985,0.0141268291239985,1.0,0.8,0.8,0.8,20.0,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,EP_matrix_THR,ep_baseline,3.347602687660149,3.347602687660149,0.2963803941115637,0.2963803941115637,1.0,1.0,0.6,0.4,3.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,Synergy_x_EP_matrix_THR,formulation_interaction,2.43863343568283,3.048291794603537,-0.3671793062409156,-0.4589741328011446,0.8,0.8,0.75,0.25,9.6,4,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,EP_matrix_THR_sq,ep_baseline,2.3784987258529293,2.3784987258529293,-0.1694585885395812,-0.1694585885395812,1.0,1.0,0.6,0.4,3.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,EP_matrix_THR_sqrt,ep_baseline,1.929207209258912,1.929207209258912,-0.262527077823888,-0.262527077823888,1.0,0.8,0.6,0.4,8.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_CuringAgent_Has_S,molecular_descriptor,1.523937209817703,1.523937209817703,0.0671159103139856,0.0671159103139856,1.0,1.0,0.6,0.6,5.0,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,Main_FR_fraction,formulation_loading,1.4992342137489658,1.4992342137489658,0.062239591717442,0.062239591717442,1.0,0.6,0.6666666666666666,0.6666666666666666,14.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_curing_TPSA,molecular_descriptor,0.7939261879659099,0.7939261879659099,0.0010772952839857,0.0010772952839857,1.0,1.0,0.6,0.4,10.4,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_curing_HBA,molecular_descriptor,0.7927312184398762,0.7927312184398762,-0.0819181053004914,-0.0819181053004914,1.0,1.0,0.6,0.6,10.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_loading_real_sqrt,formulation_loading,0.7506064517460281,0.7506064517460281,0.0031551194196316,0.0031551194196316,1.0,0.8,0.6,0.4,13.0,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_curing_MolWt,molecular_descriptor,0.4823076634937015,0.4823076634937015,0.00515346437773,0.00515346437773,1.0,1.0,0.6,0.4,13.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_CuringAgent_Has_N,molecular_descriptor,0.2432540555273287,0.2432540555273287,-0.0315090602188857,-0.0315090602188857,1.0,0.6,0.8,0.2,19.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,N_content_wt%_sqrt,elemental_composition,0.2298936247615285,0.2298936247615285,0.0258917423570433,0.0258917423570433,1.0,0.6,0.8,0.8,19.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_CuringAgent_Has_N,molecular_descriptor,0.0120358207946915,0.0120358207946915,-0.0014413189230519,-0.0014413189230519,1.0,1.0,1.0,0.0,8.2,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_loading_x_Synergy,formulation_loading,0.0117135353648807,0.0117135353648807,-0.0008256591700151,-0.0008256591700151,1.0,1.0,0.8,0.2,13.2,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_curing_LogP,molecular_descriptor,0.0110059049794027,0.0110059049794027,-0.001669943194897,-0.001669943194897,1.0,1.0,1.0,0.0,12.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_curing_AromaticRings,molecular_descriptor,0.010965772587001,0.010965772587001,-0.0011006305567049,-0.0011006305567049,1.0,1.0,0.8,0.2,7.2,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_curing_HBD,molecular_descriptor,0.010924584039996,0.010924584039996,-0.0014142471016913,-0.0014142471016913,1.0,1.0,0.8,0.2,7.4,5,5,High
