source_file,task,outer_fold,split_strategy,screening_mode,row_policy,use_BDE,descriptor_mode,use_V7_formula_features,selected_view,selected_requested_k,selected_effective_k,n_features_after_variance,selected_model,inner_primary,inner_secondary,n_train,n_test,n_train_groups,n_test_groups,group_overlap,outer_R2,outer_RMSE,outer_MAE,n_test_neat,n_test_modified,outer_modified_R2,outer_modified_RMSE,outer_modified_MAE,conformal_alpha,conformal_q,conformal_n_calibration,outer_PICP,outer_MPIW,outer_modified_PICP,outer_modified_MPIW,selected_threshold,outer_Accuracy,outer_Balanced_Accuracy,outer_Macro_F1,outer_Weighted_F1,outer_Brier,outer_ECE,outer_TN,outer_FP,outer_FN,outer_TP,outer_ROC_AUC,outer_PR_AUC,outer_modified_Accuracy,outer_modified_Balanced_Accuracy,outer_modified_Macro_F1,outer_modified_Weighted_F1,outer_modified_Brier,outer_modified_ECE,outer_modified_TN,outer_modified_FP,outer_modified_FN,outer_modified_TP,outer_modified_ROC_AUC,outer_modified_PR_AUC
results\scientific_validation\FINAL_exploratory_fixed_baseline_inclusive_5x5\Char_yield\molecule\formulation\without_BDE\Char_yield_outer_fold_metrics.csv,Char_yield,1,molecule,formulation,baseline_inclusive,0,advanced,1,full_interaction,100.0,100,366,LGBM,0.4902577464096441,-3.384854387329365,156,40,41,11,0,-0.008624710328702,7.230385335616987,4.20118198949538,10,30,-0.2237028699329166,7.72318734989127,4.574364082313704,0.05,7.792650871023536,32.0,0.875,15.585301742047074,0.8666666666666667,15.585301742047076,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_exploratory_fixed_baseline_inclusive_5x5\Char_yield\molecule\formulation\without_BDE\Char_yield_outer_fold_metrics.csv,Char_yield,2,molecule,formulation,baseline_inclusive,0,advanced,1,full_interaction,100.0,100,380,SVR,0.342879259458752,-4.56703258236286,157,39,42,10,0,-0.2617422705144867,4.157696138537777,3.19483018740009,10,29,-0.7281735079365892,4.08551778028344,3.3475174546343056,0.05,16.125472177625404,32.0,1.0,32.25094435525081,1.0,32.25094435525081,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_exploratory_fixed_baseline_inclusive_5x5\Char_yield\molecule\formulation\without_BDE\Char_yield_outer_fold_metrics.csv,Char_yield,3,molecule,formulation,baseline_inclusive,0,advanced,1,full_interaction,100.0,100,388,SVR,0.1009986457485108,-5.175535590195476,157,39,42,10,0,0.5914422399199943,3.373889199368247,2.5720913574340134,10,29,0.4678565255006441,3.7417713721970527,2.910935483537582,0.05,13.95781359856881,32.0,1.0,27.91562719713762,1.0,27.915627197137617,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_exploratory_fixed_baseline_inclusive_5x5\Char_yield\molecule\formulation\without_BDE\Char_yield_outer_fold_metrics.csv,Char_yield,4,molecule,formulation,baseline_inclusive,0,advanced,1,full_interaction,100.0,100,351,SVR,0.3501162394190544,-4.502687589951772,157,39,42,10,0,0.4406672086301751,3.467239840929558,2.812773470872497,9,30,0.339539955525863,3.838017156401382,3.2027695302036987,0.05,8.291034131517371,32.0,0.9743589743589745,16.58206826303475,0.9666666666666668,16.58206826303474,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_exploratory_fixed_baseline_inclusive_5x5\Char_yield\molecule\formulation\without_BDE\Char_yield_outer_fold_metrics.csv,Char_yield,5,molecule,formulation,baseline_inclusive,0,advanced,1,full_interaction,100.0,100,362,RF,0.1033142444358348,-5.284245176177976,157,39,41,11,0,0.527083975624876,3.1534813430118875,2.318274590151983,9,30,0.295768535487687,3.427529429752311,2.495329757747548,0.05,13.721998129251691,32.0,1.0,27.443996258503383,1.0,27.443996258503383,,,,,,,,,,,,,,,,,,,,,,,,,
results\archive\FINAL_Delta_fixed_5x5_before_sign_fix\Delta_CY\molecule\formulation\without_BDE\Delta_CY_outer_fold_metrics.csv,Delta_CY,1,molecule,formulation,baseline_inclusive,0,advanced,0,descriptors,180.0,137,137,SVR,0.2630719096304379,-3.959858905464073,118,30,42,10,0,-0.6729280826966366,2.5397820073111825,2.055003456558457,0,30,-0.6729280826966366,2.5397820073111825,2.055003456558457,0.05,11.817505733109396,24.0,1.0,23.635011466218785,1.0,23.635011466218785,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_Delta_fixed_5x5\Delta_CY\molecule\formulation\without_BDE\Delta_CY_outer_fold_metrics.csv,Delta_CY,1,molecule,formulation,baseline_inclusive,0,advanced,0,descriptors,180.0,136,136,SVR,0.264052701127146,-3.9572229026380215,118,30,42,10,0,-0.7121412229566668,2.569375616497251,2.085876914594257,0,30,-0.7121412229566668,2.569375616497251,2.085876914594257,0.05,11.869409243705364,24.0,1.0,23.73881848741073,1.0,23.73881848741073,,,,,,,,,,,,,,,,,,,,,,,,,
results\archive\FINAL_Delta_fixed_5x5_before_sign_fix\Delta_CY\molecule\formulation\without_BDE\Delta_CY_outer_fold_metrics.csv,Delta_CY,2,molecule,formulation,baseline_inclusive,0,advanced,0,descriptors,180.0,138,138,GBDT,0.1879886017204225,-3.503078549367104,118,30,41,11,0,0.512807500295382,3.6136206402627344,2.909087362881156,0,30,0.512807500295382,3.6136206402627344,2.909087362881156,0.05,4.90489694412841,24.0,0.8333333333333334,9.80979388825682,0.8333333333333334,9.80979388825682,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_Delta_fixed_5x5\Delta_CY\molecule\formulation\without_BDE\Delta_CY_outer_fold_metrics.csv,Delta_CY,2,molecule,formulation,baseline_inclusive,0,advanced,0,descriptors,180.0,137,137,RF,0.1969177522238157,-3.483764792355722,118,30,41,11,0,0.5243994037159083,3.5703719058102537,2.811297295540437,0,30,0.5243994037159083,3.5703719058102537,2.811297295540437,0.05,6.226452290249435,24.0,0.9,12.452904580498869,0.9,12.452904580498869,,,,,,,,,,,,,,,,,,,,,,,,,
results\archive\FINAL_Delta_fixed_5x5_before_sign_fix\Delta_CY\molecule\formulation\without_BDE\Delta_CY_outer_fold_metrics.csv,Delta_CY,3,molecule,formulation,baseline_inclusive,0,advanced,0,descriptors,180.0,119,119,SoftVote,0.16029552958788,-3.915535811701996,118,30,41,11,0,0.5466807599063019,2.8224540658235284,2.1994994195029447,0,30,0.5466807599063019,2.8224540658235284,2.1994994195029447,0.05,12.815091154869716,24.0,1.0,25.630182309739432,1.0,25.630182309739432,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_Delta_fixed_5x5\Delta_CY\molecule\formulation\without_BDE\Delta_CY_outer_fold_metrics.csv,Delta_CY,3,molecule,formulation,baseline_inclusive,0,advanced,0,descriptors,180.0,118,118,SoftVote,0.1536434600480647,-3.931014492802268,118,30,41,11,0,0.5576070044094832,2.788232131890513,2.175632941216688,0,30,0.5576070044094832,2.788232131890513,2.175632941216688,0.05,13.052276646464628,24.0,1.0,26.104553292929257,1.0,26.104553292929257,,,,,,,,,,,,,,,,,,,,,,,,,
results\archive\FINAL_Delta_fixed_5x5_before_sign_fix\Delta_CY\molecule\formulation\without_BDE\Delta_CY_outer_fold_metrics.csv,Delta_CY,4,molecule,formulation,baseline_inclusive,0,advanced,0,descriptors,180.0,140,140,ExtraTrees,0.4094033996059772,-3.0899029333569885,119,29,42,10,0,-0.2097767908926597,5.211233584567035,3.216415006385698,0,29,-0.2097767908926597,5.211233584567035,3.216415006385698,0.05,8.287355555555553,24.0,0.896551724137931,16.57471111111111,0.896551724137931,16.57471111111111,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_Delta_fixed_5x5\Delta_CY\molecule\formulation\without_BDE\Delta_CY_outer_fold_metrics.csv,Delta_CY,4,molecule,formulation,baseline_inclusive,0,advanced,0,descriptors,180.0,139,139,ExtraTrees,0.4311385013046519,-3.032512752394195,119,29,42,10,0,-0.2157976218460446,5.224185153606026,3.235641558109836,0,29,-0.2157976218460446,5.224185153606026,3.235641558109836,0.05,8.182533333333346,24.0,0.896551724137931,16.36506666666669,0.896551724137931,16.36506666666669,,,,,,,,,,,,,,,,,,,,,,,,,
