Task,Task type,Frozen view,K,group rule,Formal n,main metric
LOI,regression,compact,260,Main FR + synergist,599,R²
PHRR,regression,compact,330,Main FR + synergist,406,R²
THR,regression,descriptors,30,Main FR + synergist,397,R²
UL-94 V-0,classification,morgan r3,all,Main FR + synergist,599,Macro-F1
Tg,regression,morgan r3,270,Main FR + synergist + curing agent,357,R²
Char yield,regression,full interaction,100,Main FR + synergist,196,R²
TS,regression,compact,140,Main FR + synergist + curing agent,256,R²
FS,regression,morgan r3,240,Main FR + synergist + curing agent,228,R²
ΔLOI,regression,descriptors,30,Main FR + synergist,468,R²
ΔPHRR,regression,maccs,240,Main FR + synergist,289,R²
ΔTHR,regression,descriptors,120,Main FR + synergist,283,R²
ΔCY,regression,descriptors,180,Main FR + synergist,148,R²
