Task type,Model,Implementation,Fixed settings
regression,Ridge,Ridge,alpha=1.0
regression,RF,RandomForestRegressor,n estimators=350; min samples leaf=2
regression,ExtraTrees,ExtraTreesRegressor,n estimators=450; min samples leaf=2
regression,GBDT,GradientBoostingRegressor,alpha=0.9; n estimators=220; max depth=2; learning rate=0.03; min samples leaf=1; subsample=0.85
regression,XGB,XGBRegressor,n estimators=300; max depth=3; learning rate=0.03; subsample=0.8; colsample bytree=0.75; reg alpha=0.3; reg lambda=2.0
regression,LGBM,LGBMRegressor,n estimators=300; max depth=-1; learning rate=0.03; subsample=0.8; colsample bytree=0.75; num leaves=11; min child samples=12; reg alpha=0.3; reg lambda=2.0
regression,SVR,SVR,C=5.0; epsilon=0.1; kernel=rbf
regression,SoftVote,VotingRegressor,—
classification,Logistic,LogisticRegression,C=1.0; class weight=balanced
classification,RF,RandomForestClassifier,n estimators=350; min samples leaf=2; class weight=balanced
classification,ExtraTrees,ExtraTreesClassifier,n estimators=450; min samples leaf=2; class weight=balanced
classification,GBDT,GradientBoostingClassifier,n estimators=220; max depth=2; learning rate=0.03; min samples leaf=1; subsample=0.85
classification,XGB,XGBClassifier,n estimators=300; max depth=3; learning rate=0.03; subsample=0.8; colsample bytree=0.75; reg alpha=0.3; reg lambda=2.0
classification,LGBM,LGBMClassifier,n estimators=300; max depth=-1; learning rate=0.03; subsample=0.8; colsample bytree=0.75; num leaves=11; min child samples=12; reg alpha=0.3; reg lambda=2.0
classification,SVC,SVC,C=5.0; kernel=rbf; class weight=balanced; probability=True
classification,SoftVote,VotingClassifier,voting=soft
all,Non-empty column selector,preprocessing,Fit on each training fold only
all,Median imputation,preprocessing,Fit on each training fold only
all,Duplicate-column removal,preprocessing,Fit on each training fold only
all,VarianceThreshold,preprocessing,threshold=1e-8; fit on each training fold only
all,SelectKBest,preprocessing,f regression for regression; f classif for classification
linear/kernel,StandardScaler,preprocessing,"Ridge, SVR, Logistic and SVC only"
