Rank,Candidate ID,Candidate name,Design family,Loading (wt%),Pred. LOI (%),Pred. PHRR (kW m^-2),Pred. THR (MJ m^-2),Pred. V-0 probability,Pred. Tg (°C),Pred. TS (MPa),Smax
1,CAND_013,TDCA-DOPO-3-boronic-acid,P-B,10.0,35.377,529.134,56.365,0.677,154.267,73.177,0.774
2,CAND_R2_050,PBD-trimethoxysilyl,P-N-Si,5.29,40.971,410.713,82.109,0.705,189.354,58.782,0.783
3,CAND_R2_239,PAD-NH-methyl,P-N-S,10.0,36.468,655.506,62.832,0.695,149.63,73.964,0.796
4,CAND_R2_319,BDO-hydroxymethyl,P-N-S,10.0,36.202,704.436,62.601,0.697,148.461,79.751,0.827
5,CAND_R2_067,PBD-NH-methyl,P-N,10.0,36.47,693.151,63.667,0.701,157.316,70.997,0.769
6,CAND_R2_180,DSD-trimethoxysilyl,P-N-Si-S,10.0,42.051,346.959,75.261,0.659,179.99,59.665,0.769
7,CAND_R2_227,PAD-carboxamide,P-N-S,10.0,35.902,703.72,62.832,0.699,149.996,75.096,0.818
8,CAND_R2_181,DSD-triethoxysilyl,P-N-Si-S,10.0,42.051,367.912,76.973,0.662,180.219,59.665,0.737
9,CAND_R2_141,DIB-NH-methyl,P-N,10.0,36.412,709.87,62.601,0.688,150.38,74.5,0.738
10,CAND_R2_226,PAD-hydroxymethyl,P-N-S,10.0,35.112,680.75,62.832,0.703,149.636,75.096,0.833
11,CAND_R2_193,DSD-OH-acetyl-all,P-N-S,10.0,35.183,701.308,63.733,0.697,156.716,74.252,0.705
12,CAND_R2_130,DIB-boronic-acid,P-N-B,10.0,35.962,727.681,62.601,0.691,151.744,75.011,0.788
13,CAND_R2_228,PAD-boronic-acid,P-N-B-S,10.0,35.239,708.749,62.832,0.703,151.429,74.991,0.826
14,CAND_R2_047,PBD-carboxamide,P-N,10.0,35.87,765.044,62.293,0.701,159.129,72.129,0.798
15,CAND_004,TDCA-DOPO-2-amino,P-N,10.19,34.734,558.653,61.991,0.693,157.46,63.557,0.792
16,CAND_R2_263,TDCA-DOPO-3-carboxamide,P-N,10.0,34.227,604.554,56.365,0.684,153.83,72.846,0.823
17,CAND_R2_264,TDCA-DOPO-3-boronic-acid,P-B,10.0,34.189,599.264,56.365,0.681,153.86,73.177,0.833
18,CAND_R2_076,TDCA-DOPO-2-carboxamide,P-N,10.0,34.444,603.931,56.114,0.685,152.505,71.906,0.813
19,CAND_R2_048,PBD-boronic-acid,P-N-B,10.0,35.282,745.321,62.293,0.702,158.227,72.129,0.806
